,s-2,s-1,a,r,none
0,2,3,0,1,
1,3,0,5,1,
2,0,5,0,0,
3,5,0,5,-1,
4,0,5,2,0,
5,5,2,0,1,
6,2,0,3,1,
7,0,3,4,0,
8,3,4,1,0,
9,4,1,0,1,
10,1,0,2,0,
11,0,2,0,0,
12,2,0,3,0,
13,0,3,0,0,
14,3,0,0,1,
15,0,0,3,-1,
16,0,3,5,-1,
17,3,5,2,0,
18,5,2,0,-1,
19,2,0,5,0,
20,0,5,0,1,
21,5,0,3,1,
22,0,3,1,-1,
23,3,1,3,0,
24,1,3,0,1,
25,3,0,0,1,
26,0,0,4,0,
27,0,4,0,1,
28,4,0,5,1,
29,0,5,2,0,
30,5,2,1,0,
31,2,1,0,0,
32,1,0,3,1,
33,0,3,3,0,
34,3,3,2,0,
35,3,2,3,1,
36,2,3,4,1,
37,3,4,2,0,
38,4,2,1,0,
39,2,1,2,1,
40,1,2,0,0,
41,2,0,1,0,
42,0,1,4,0,
43,1,4,3,0,
44,4,3,3,1,
45,3,3,2,0,
46,3,2,2,1,
47,2,2,5,0,
48,2,5,0,0,
49,5,0,3,0,
50,0,3,4,1,
51,3,4,1,0,
52,4,1,5,1,
53,1,5,5,0,
54,5,5,0,1,
55,5,0,3,0,
56,0,3,4,-1,
57,3,4,4,0,
58,4,4,2,0,
59,4,2,5,0,
60,2,5,4,0,
61,5,4,1,1,
62,4,1,4,1,
63,1,4,5,1,
64,4,5,2,0,
65,5,2,5,1,
66,2,5,2,1,
67,5,2,0,1,
68,2,0,0,1,
69,0,0,1,1,
70,0,1,3,1,
71,1,3,0,1,
72,3,0,0,1,
73,0,0,1,0,
74,0,1,3,-1,
75,1,3,3,1,
76,3,3,3,1,
77,3,3,0,0,
78,3,0,5,-1,
79,0,5,1,1,
80,5,1,1,0,
81,1,1,5,-1,
82,1,5,1,1,
83,5,1,0,1,
84,1,0,0,1,
85,0,0,1,0,
86,0,1,5,-1,
87,1,5,2,1,
88,5,2,0,0,
89,2,0,5,0,
90,0,5,4,1,
91,5,4,4,0,
92,4,4,1,1,
93,4,1,4,0,
94,1,4,2,0,
95,4,2,4,-1,
96,2,4,2,0,
97,4,2,1,0,
98,2,1,5,0,
99,1,5,3,0,
100,5,3,4,0,
101,3,4,0,0,
102,4,0,4,1,
103,0,4,5,0,
104,4,5,3,0,
105,5,3,5,1,
106,3,5,3,1,
107,5,3,3,1,
108,3,3,2,0,
109,3,2,2,0,
110,2,2,0,0,
111,2,0,2,0,
112,0,2,4,1,
113,2,4,1,0,
114,4,1,5,0,
115,1,5,0,0,
116,5,0,0,1,
117,0,0,3,0,
118,0,3,4,1,
119,3,4,2,0,
120,4,2,5,0,
