,s-2,s-1,a,r,none
0,2,0,3,1,
1,0,3,0,1,
2,3,0,4,0,
3,0,4,2,1,
4,4,2,4,0,
5,2,4,3,1,
6,4,3,1,1,
7,3,1,2,0,
8,1,2,0,0,
9,2,0,2,1,
10,0,2,4,-1,
11,2,4,4,0,
12,4,4,3,1,
13,4,3,0,0,
14,3,0,0,0,
15,0,0,1,1,
16,0,1,0,1,
17,1,0,4,0,
18,0,4,2,1,
19,4,2,3,1,
20,2,3,1,1,
21,3,1,5,0,
22,1,5,4,1,
23,5,4,4,0,
24,4,4,0,1,
25,4,0,5,0,
26,0,5,2,1,
27,5,2,1,1,
28,2,1,3,-1,
29,1,3,2,0,
30,3,2,5,-1,
31,2,5,0,0,
32,5,0,5,0,
33,0,5,3,1,
34,5,3,3,0,
35,3,3,4,1,
36,3,4,0,0,
37,4,0,2,0,
38,0,2,5,0,
39,2,5,5,0,
40,5,5,0,1,
41,5,0,3,0,
42,0,3,0,1,
43,3,0,0,1,
44,0,0,1,0,
45,0,1,0,1,
46,1,0,3,0,
47,0,3,0,0,
48,3,0,4,0,
49,0,4,2,1,
50,4,2,1,0,
51,2,1,2,1,
52,1,2,3,0,
53,2,3,5,1,
54,3,5,1,1,
55,5,1,5,-1,
56,1,5,1,1,
57,5,1,5,0,
58,1,5,1,1,
59,5,1,1,1,
60,1,1,0,0,
61,1,0,3,0,
62,0,3,5,0,
63,3,5,1,0,
64,5,1,4,-1,
65,1,4,0,1,
66,4,0,2,1,
67,0,2,4,1,
68,2,4,3,0,
69,4,3,1,0,
70,3,1,3,0,
71,1,3,2,1,
72,3,2,3,-1,
73,2,3,1,0,
74,3,1,5,1,
75,1,5,1,1,
76,5,1,3,0,
77,1,3,4,0,
78,3,4,0,0,
79,4,0,2,1,
80,0,2,2,0,
81,2,2,2,0,
82,2,2,0,0,
83,2,0,2,0,
84,0,2,5,1,
85,2,5,1,0,
86,5,1,1,1,
87,1,1,2,0,
88,1,2,1,0,
89,2,1,2,1,
90,1,2,4,1,
91,2,4,0,1,
92,4,0,3,1,
93,0,3,3,0,
94,3,3,2,0,
95,3,2,0,1,
96,2,0,2,0,
97,0,2,3,0,
98,2,3,0,0,
99,3,0,4,0,
100,0,4,2,1,
101,4,2,4,0,
102,2,4,2,1,
103,4,2,2,0,
104,2,2,0,1,
105,2,0,0,1,
106,0,0,1,0,
107,0,1,0,1,
