,s-2,s-1,a,r,none
0,4,0,1,1,
1,0,1,0,1,
2,1,0,3,0,
3,0,3,1,0,
4,3,1,0,1,
5,1,0,3,1,
6,0,3,1,0,
7,3,1,1,0,
8,1,1,0,0,
9,1,0,3,0,
10,0,3,0,0,
11,3,0,4,1,
12,0,4,1,0,
13,4,1,2,1,
14,1,2,0,1,
15,2,0,4,1,
16,0,4,0,1,
17,4,0,1,-1,
18,0,1,0,1,
19,1,0,1,0,
20,0,1,1,-1,
21,1,1,4,1,
22,1,4,1,1,
23,4,1,2,1,
24,1,2,0,1,
25,2,0,5,1,
26,0,5,2,1,
27,5,2,4,-1,
28,2,4,2,0,
29,4,2,1,1,
30,2,1,3,0,
31,1,3,4,1,
32,3,4,3,0,
33,4,3,2,0,
34,3,2,1,1,
35,2,1,3,1,
36,1,3,3,1,
37,3,3,2,1,
38,3,2,3,0,
39,2,3,1,0,
40,3,1,4,0,
41,1,4,5,-1,
42,4,5,2,1,
43,5,2,1,0,
44,2,1,0,1,
45,1,0,1,0,
46,0,1,5,1,
47,1,5,0,0,
48,5,0,4,1,
49,0,4,0,1,
50,4,0,2,1,
51,0,2,2,0,
52,2,2,4,0,
53,2,4,4,0,
54,4,4,1,1,
55,4,1,1,1,
56,1,1,5,0,
57,1,5,4,-1,
58,5,4,1,0,
59,4,1,3,0,
60,1,3,3,0,
61,3,3,3,0,
62,3,3,1,0,
63,3,1,3,0,
64,1,3,1,0,
65,3,1,2,0,
66,1,2,4,1,
67,2,4,2,1,
68,4,2,1,0,
69,2,1,0,1,
70,1,0,2,0,
71,0,2,0,0,
72,2,0,0,1,
73,0,0,1,1,
74,0,1,0,0,
75,1,0,3,0,
76,0,3,1,0,
77,3,1,5,1,
78,1,5,0,1,
79,5,0,3,0,
80,0,3,0,0,
81,3,0,5,0,
82,0,5,2,1,
83,5,2,1,0,
84,2,1,0,0,
85,1,0,4,0,
86,0,4,0,1,
87,4,0,5,0,
88,0,5,2,1,
89,5,2,0,1,
90,2,0,3,1,
91,0,3,5,1,
92,3,5,5,0,
93,5,5,5,0,
94,5,5,4,1,
95,5,4,2,0,
96,4,2,2,0,
97,2,2,1,1,
98,2,1,0,1,
99,1,0,4,0,
100,0,4,3,1,
101,4,3,2,1,
