,s-2,s-1,a,r,none
0,1,1,2,1,
1,1,2,5,0,
2,2,5,5,0,
3,5,5,1,0,
4,5,1,0,1,
5,1,0,4,0,
6,0,4,2,0,
7,4,2,3,0,
8,2,3,1,0,
9,3,1,5,1,
10,1,5,0,0,
11,5,0,2,0,
12,0,2,4,1,
13,2,4,1,0,
14,4,1,4,1,
15,1,4,3,0,
16,4,3,1,1,
17,3,1,2,1,
18,1,2,5,0,
19,2,5,2,1,
20,5,2,2,0,
21,2,2,5,-1,
22,2,5,5,0,
23,5,5,5,0,
24,5,5,4,1,
25,5,4,1,-1,
26,4,1,1,1,
27,1,1,0,0,
28,1,0,5,0,
29,0,5,3,1,
30,5,3,2,0,
31,3,2,2,0,
32,2,2,2,0,
33,2,2,3,1,
34,2,3,5,1,
35,3,5,5,0,
36,5,5,5,0,
37,5,5,3,0,
38,5,3,3,0,
39,3,3,0,1,
40,3,0,5,-1,
41,0,5,3,0,
42,5,3,4,1,
43,3,4,4,0,
44,4,4,1,0,
45,4,1,1,-1,
46,1,1,1,0,
47,1,1,0,0,
48,1,0,5,0,
49,0,5,2,1,
50,5,2,2,1,
51,2,2,2,0,
52,2,2,4,1,
53,2,4,4,0,
54,4,4,2,0,
55,4,2,1,0,
56,2,1,4,0,
57,1,4,4,0,
58,4,4,3,0,
59,4,3,3,0,
60,3,3,1,0,
61,3,1,2,1,
62,1,2,0,1,
63,2,0,0,1,
64,0,0,5,-1,
65,0,5,3,1,
66,5,3,1,0,
67,3,1,2,0,
68,1,2,3,0,
69,2,3,3,1,
70,3,3,3,0,
71,3,3,1,0,
72,3,1,3,0,
73,1,3,0,0,
74,3,0,2,0,
75,0,2,1,0,
76,2,1,4,1,
77,1,4,2,0,
78,4,2,0,1,
79,2,0,0,1,
80,0,0,3,1,
81,0,3,3,0,
82,3,3,2,0,
83,3,2,2,0,
84,2,2,4,-1,
85,2,4,0,0,
86,4,0,4,1,
87,0,4,2,1,
88,4,2,5,0,
89,2,5,0,0,
90,5,0,4,1,
91,0,4,2,1,
92,4,2,5,1,
93,2,5,5,0,
94,5,5,2,-1,
95,5,2,2,0,
96,2,2,2,0,
97,2,2,4,0,
98,2,4,5,1,
99,4,5,3,1,
100,5,3,4,1,
101,3,4,5,0,
102,4,5,3,1,
103,5,3,2,1,
104,3,2,1,1,
105,2,1,1,-1,
106,1,1,5,0,
107,1,5,2,1,
108,5,2,5,0,
109,2,5,2,0,
110,5,2,3,0,
111,2,3,1,-1,
112,3,1,3,0,
113,1,3,0,0,
114,3,0,1,1,
115,0,1,0,1,
116,1,0,5,1,
117,0,5,4,0,
118,5,4,5,0,
119,4,5,3,0,
120,5,3,1,0,
121,3,1,2,1,
122,1,2,2,1,
123,2,2,3,-1,
124,2,3,1,1,
125,3,1,5,1,
126,1,5,4,0,
127,5,4,4,0,
128,4,4,5,0,
129,4,5,3,0,
130,5,3,0,1,
131,3,0,5,0,
132,0,5,3,-1,
133,5,3,5,0,
134,3,5,1,1,
135,5,1,5,0,
136,1,5,4,1,
137,5,4,3,0,
138,4,3,4,1,
139,3,4,1,0,
140,4,1,1,0,
141,1,1,3,0,
142,1,3,3,0,
143,3,3,4,0,
144,3,4,3,1,
145,4,3,2,1,
146,3,2,2,0,
147,2,2,4,0,
148,2,4,1,0,
149,4,1,3,0,
150,1,3,5,1,
151,3,5,1,-1,
152,5,1,3,1,
153,1,3,0,0,
154,3,0,0,1,
155,0,0,4,1,
156,0,4,4,0,
157,4,4,3,1,
158,4,3,2,0,
159,3,2,1,1,
160,2,1,4,0,
161,1,4,0,0,
162,4,0,4,0,
163,0,4,1,1,
164,4,1,2,-1,
165,1,2,2,0,
166,2,2,4,-1,
167,2,4,0,1,
168,4,0,3,1,
169,0,3,4,0,
170,3,4,4,0,
171,4,4,3,1,
172,4,3,3,1,
173,3,3,0,0,
174,3,0,1,0,
175,0,1,3,0,
176,1,3,4,0,
177,3,4,0,1,
178,4,0,5,1,
179,0,5,1,1,
180,5,1,0,1,
181,1,0,0,0,
182,0,0,0,1,
183,0,0,0,1,
184,0,0,0,1,
185,0,0,4,1,
186,0,4,4,0,
187,4,4,1,0,
188,4,1,4,0,
189,1,4,2,0,
190,4,2,5,0,
191,2,5,1,0,
192,5,1,4,0,
193,1,4,2,0,
194,4,2,2,0,
195,2,2,3,1,
196,2,3,3,0,
197,3,3,3,1,
