,s-2,s-1,a,r,none
0,1,3,3,1,
1,3,3,2,0,
2,3,2,1,0,
3,2,1,5,0,
4,1,5,4,1,
5,5,4,2,0,
6,4,2,2,0,
7,2,2,4,0,
8,2,4,0,0,
9,4,0,4,1,
10,0,4,0,0,
11,4,0,2,0,
12,0,2,1,0,
13,2,1,1,-1,
14,1,1,4,0,
15,1,4,4,0,
16,4,4,4,0,
17,4,4,5,0,
18,4,5,2,1,
19,5,2,4,1,
20,2,4,0,0,
21,4,0,0,0,
22,0,0,0,1,
23,0,0,3,1,
24,0,3,4,0,
25,3,4,3,1,
26,4,3,4,0,
27,3,4,4,0,
28,4,4,2,1,
29,4,2,3,1,
30,2,3,2,0,
31,3,2,4,0,
32,2,4,3,1,
33,4,3,4,-1,
34,3,4,3,0,
35,4,3,0,1,
36,3,0,1,1,
37,0,1,1,-1,
38,1,1,0,1,
39,1,0,4,0,
40,0,4,3,-1,
41,4,3,1,1,
42,3,1,3,1,
43,1,3,3,0,
44,3,3,1,0,
45,3,1,3,0,
46,1,3,3,1,
47,3,3,0,0,
48,3,0,1,1,
49,0,1,5,1,
50,1,5,5,0,
51,5,5,4,-1,
52,5,4,2,1,
53,4,2,0,1,
54,2,0,0,1,
55,0,0,5,0,
56,0,5,1,0,
57,5,1,3,0,
58,1,3,4,0,
59,3,4,2,0,
60,4,2,5,-1,
61,2,5,4,0,
62,5,4,0,0,
63,4,0,5,1,
64,0,5,4,0,
65,5,4,1,1,
66,4,1,0,1,
67,1,0,3,1,
68,0,3,5,0,
69,3,5,3,0,
70,5,3,2,0,
71,3,2,3,0,
72,2,3,3,1,
73,3,3,2,0,
74,3,2,4,0,
75,2,4,3,-1,
76,4,3,1,1,
77,3,1,3,0,
78,1,3,2,1,
79,3,2,1,0,
80,2,1,5,0,
81,1,5,5,0,
82,5,5,0,0,
83,5,0,3,0,
84,0,3,0,1,
85,3,0,2,1,
86,0,2,3,0,
87,2,3,4,0,
88,3,4,1,0,
89,4,1,1,-1,
90,1,1,3,1,
91,1,3,2,0,
92,3,2,5,1,
93,2,5,3,0,
94,5,3,2,0,
95,3,2,1,1,
96,2,1,5,0,
97,1,5,0,0,
98,5,0,0,1,
99,0,0,1,1,
100,0,1,4,-1,
101,1,4,0,1,
102,4,0,3,0,
103,0,3,4,1,
104,3,4,2,0,
105,4,2,3,1,
106,2,3,4,1,
107,3,4,2,0,
108,4,2,2,0,
109,2,2,5,0,
110,2,5,3,-1,
111,5,3,4,0,
112,3,4,4,0,
113,4,4,3,1,
114,4,3,0,1,
115,3,0,1,0,
116,0,1,2,0,
117,1,2,2,0,
118,2,2,5,0,
119,2,5,2,0,
120,5,2,5,0,
121,2,5,2,0,
122,5,2,4,0,
123,2,4,3,0,
124,4,3,5,1,
125,3,5,1,1,
126,5,1,5,1,
127,1,5,4,1,
128,5,4,2,0,
129,4,2,1,0,
130,2,1,3,0,
131,1,3,3,0,
132,3,3,1,1,
133,3,1,3,1,
134,1,3,3,1,
135,3,3,1,0,
136,3,1,3,1,
137,1,3,3,1,
138,3,3,1,-1,
139,3,1,3,1,
140,1,3,1,1,
141,3,1,5,0,
142,1,5,4,0,
143,5,4,3,0,
144,4,3,3,0,
145,3,3,2,1,
146,3,2,2,1,
147,2,2,0,0,
148,2,0,0,1,
149,0,0,0,1,
150,0,0,2,0,
151,0,2,2,0,
152,2,2,0,1,
153,2,0,4,1,
154,0,4,4,1,
155,4,4,4,0,
156,4,4,4,0,
157,4,4,5,0,
158,4,5,3,1,
159,5,3,2,0,
160,3,2,5,1,
161,2,5,2,1,
162,5,2,2,0,
163,2,2,1,0,
164,2,1,0,0,
165,1,0,5,-1,
166,0,5,5,0,
167,5,5,3,0,
168,5,3,5,1,
169,3,5,0,0,
170,5,0,3,1,
171,0,3,0,1,
172,3,0,2,0,
173,0,2,3,0,
174,2,3,1,1,
175,3,1,0,0,
176,1,0,0,1,
177,0,0,2,1,
178,0,2,2,0,
179,2,2,0,1,
180,2,0,4,0,
181,0,4,4,0,
182,4,4,2,0,
183,4,2,4,-1,
184,2,4,0,1,
185,4,0,2,1,
186,0,2,5,0,
187,2,5,0,1,
188,5,0,3,1,
189,0,3,4,1,
190,3,4,0,1,
191,4,0,0,1,
192,0,0,2,1,
193,0,2,1,1,
194,2,1,0,0,
195,1,0,0,1,
196,0,0,3,1,
197,0,3,4,1,
198,3,4,5,0,
199,4,5,1,0,
200,5,1,3,1,
201,1,3,1,1,
202,3,1,3,0,
203,1,3,3,1,
204,3,3,3,1,
205,3,3,1,0,
206,3,1,3,1,
207,1,3,5,0,
208,3,5,0,0,
209,5,0,4,1,
210,0,4,5,1,
211,4,5,1,0,
212,5,1,4,0,
213,1,4,1,1,
214,4,1,1,1,
215,1,1,5,0,
216,1,5,0,0,
217,5,0,3,1,
218,0,3,4,1,
219,3,4,1,0,
220,4,1,5,0,
221,1,5,4,0,
222,5,4,3,0,
223,4,3,0,0,
224,3,0,1,0,
225,0,1,5,0,
226,1,5,3,-1,
227,5,3,2,1,
228,3,2,5,0,
229,2,5,2,0,
230,5,2,1,0,
231,2,1,3,1,
232,1,3,3,1,
233,3,3,1,0,
234,3,1,0,0,
235,1,0,5,1,
236,0,5,5,0,
237,5,5,1,0,
238,5,1,3,-1,
239,1,3,2,1,
240,3,2,1,1,
241,2,1,0,0,
242,1,0,1,-1,
243,0,1,1,0,
244,1,1,5,0,
245,1,5,4,1,
246,5,4,4,0,
247,4,4,0,0,
248,4,0,5,1,
249,0,5,2,0,
250,5,2,1,0,
251,2,1,2,1,
252,1,2,3,1,
253,2,3,3,0,
254,3,3,2,0,
255,3,2,3,0,
256,2,3,2,1,
257,3,2,1,0,
258,2,1,5,1,
259,1,5,2,0,
260,5,2,4,1,
261,2,4,0,0,
262,4,0,4,1,
263,0,4,0,1,
264,4,0,3,-1,
265,0,3,3,1,
266,3,3,1,0,
267,3,1,2,1,
268,1,2,5,0,
269,2,5,1,0,
270,5,1,0,0,
271,1,0,4,0,
272,0,4,0,0,
273,4,0,0,1,
274,0,0,1,0,
275,0,1,2,0,
276,1,2,3,0,
277,2,3,4,1,
278,3,4,5,1,
279,4,5,2,1,
280,5,2,4,-1,
281,2,4,1,0,
282,4,1,5,1,
283,1,5,3,1,
284,5,3,2,1,
285,3,2,5,1,
286,2,5,1,0,
287,5,1,1,1,
288,1,1,5,-1,
289,1,5,4,0,
290,5,4,1,0,
291,4,1,5,0,
