,s-2,s-1,a,r,none
0,3,3,0,0,
1,3,0,5,0,
2,0,5,5,0,
3,5,5,4,0,
4,5,4,3,0,
5,4,3,5,0,
6,3,5,0,0,
7,5,0,4,0,
8,0,4,2,0,
9,4,2,1,0,
10,2,1,2,0,
11,1,2,4,0,
12,2,4,0,1,
13,4,0,5,1,
14,0,5,3,0,
15,5,3,0,1,
16,3,0,3,0,
17,0,3,2,1,
18,3,2,5,1,
19,2,5,3,1,
20,5,3,0,0,
21,3,0,5,-1,
22,0,5,5,0,
23,5,5,4,1,
24,5,4,4,0,
25,4,4,4,0,
26,4,4,5,0,
27,4,5,5,0,
28,5,5,5,0,
29,5,5,2,1,
30,5,2,0,0,
31,2,0,1,1,
32,0,1,0,0,
33,1,0,2,1,
34,0,2,1,0,
35,2,1,3,1,
36,1,3,4,1,
37,3,4,4,0,
38,4,4,1,0,
39,4,1,0,1,
40,1,0,5,0,
41,0,5,3,0,
42,5,3,1,1,
43,3,1,1,1,
44,1,1,3,0,
45,1,3,4,0,
46,3,4,4,0,
47,4,4,1,0,
48,4,1,2,1,
49,1,2,0,0,
50,2,0,0,1,
51,0,0,4,1,
52,0,4,4,0,
53,4,4,4,0,
54,4,4,2,1,
55,4,2,4,1,
56,2,4,2,1,
57,4,2,4,1,
58,2,4,5,0,
59,4,5,3,0,
60,5,3,3,0,
61,3,3,2,0,
62,3,2,1,0,
63,2,1,3,0,
64,1,3,1,1,
65,3,1,1,1,
66,1,1,3,0,
67,1,3,3,0,
68,3,3,4,1,
69,3,4,0,1,
70,4,0,5,-1,
71,0,5,4,1,
72,5,4,0,0,
73,4,0,2,0,
74,0,2,5,0,
75,2,5,0,1,
76,5,0,1,0,
77,0,1,1,0,
78,1,1,2,1,
79,1,2,0,0,
80,2,0,4,1,
81,0,4,4,0,
82,4,4,2,1,
83,4,2,4,1,
84,2,4,2,1,
85,4,2,4,0,
86,2,4,2,1,
87,4,2,4,0,
88,2,4,3,-1,
89,4,3,0,1,
90,3,0,0,1,
91,0,0,5,-1,
92,0,5,4,-1,
93,5,4,5,0,
94,4,5,4,-1,
95,5,4,3,-1,
96,4,3,0,1,
97,3,0,4,-1,
98,0,4,1,1,
99,4,1,3,1,
100,1,3,1,1,
101,3,1,3,0,
102,1,3,1,0,
103,3,1,4,1,
104,1,4,5,-1,
105,4,5,5,0,
106,5,5,4,1,
107,5,4,2,0,
108,4,2,4,1,
109,2,4,4,0,
110,4,4,3,1,
111,4,3,0,0,
112,3,0,4,1,
113,0,4,3,1,
114,4,3,0,0,
115,3,0,3,1,
116,0,3,4,-1,
117,3,4,5,0,
118,4,5,3,0,
119,5,3,4,1,
120,3,4,1,1,
121,4,1,2,0,
122,1,2,0,0,
123,2,0,0,1,
124,0,0,1,0,
125,0,1,2,0,
126,1,2,0,0,
127,2,0,4,1,
128,0,4,1,-1,
129,4,1,5,1,
130,1,5,0,0,
131,5,0,5,1,
132,0,5,0,0,
133,5,0,1,0,
134,0,1,3,0,
135,1,3,4,1,
136,3,4,0,1,
137,4,0,4,1,
138,0,4,5,1,
139,4,5,5,0,
140,5,5,4,0,
141,5,4,5,1,
142,4,5,5,0,
143,5,5,1,0,
144,5,1,5,1,
145,1,5,0,0,
146,5,0,5,0,
147,0,5,1,0,
148,5,1,4,1,
149,1,4,1,1,
150,4,1,2,0,
151,1,2,1,0,
152,2,1,3,1,
153,1,3,4,-1,
154,3,4,3,0,
155,4,3,1,1,
156,3,1,1,1,
157,1,1,5,0,
158,1,5,2,1,
159,5,2,0,1,
160,2,0,4,0,
161,0,4,3,-1,
162,4,3,3,0,
163,3,3,0,0,
164,3,0,0,1,
165,0,0,3,0,
166,0,3,4,-1,
167,3,4,3,1,
168,4,3,1,1,
169,3,1,1,1,
170,1,1,1,0,
171,1,1,0,1,
172,1,0,3,-1,
173,0,3,3,1,
174,3,3,1,0,
175,3,1,1,-1,
176,1,1,1,0,
177,1,1,0,1,
178,1,0,5,0,
179,0,5,0,1,
180,5,0,3,0,
181,0,3,1,0,
182,3,1,3,1,
183,1,3,2,1,
184,3,2,5,0,
185,2,5,5,0,
186,5,5,2,1,
187,5,2,2,0,
188,2,2,1,0,
