,s-2,s-1,a,r,none
0,2,4,3,1,
1,4,3,0,0,
2,3,0,4,-1,
3,0,4,4,0,
4,4,4,3,1,
5,4,3,4,1,
6,3,4,2,1,
7,4,2,4,0,
8,2,4,0,0,
9,4,0,0,1,
10,0,0,3,0,
11,0,3,4,0,
12,3,4,5,0,
13,4,5,4,-1,
14,5,4,1,0,
15,4,1,2,0,
16,1,2,2,0,
17,2,2,3,-1,
18,2,3,5,0,
19,3,5,4,-1,
20,5,4,5,0,
21,4,5,2,-1,
22,5,2,1,0,
23,2,1,1,1,
24,1,1,0,0,
25,1,0,1,1,
26,0,1,3,0,
27,1,3,5,-1,
28,3,5,2,1,
29,5,2,4,-1,
30,2,4,4,0,
31,4,4,4,0,
32,4,4,2,0,
33,4,2,5,0,
34,2,5,2,0,
35,5,2,2,1,
36,2,2,0,1,
37,2,0,5,1,
38,0,5,3,0,
39,5,3,2,1,
40,3,2,3,0,
41,2,3,0,1,
42,3,0,0,1,
43,0,0,3,0,
44,0,3,3,1,
45,3,3,0,1,
46,3,0,0,1,
47,0,0,0,1,
48,0,0,1,0,
49,0,1,4,1,
50,1,4,3,1,
51,4,3,5,-1,
52,3,5,2,1,
53,5,2,5,1,
54,2,5,1,0,
55,5,1,4,1,
56,1,4,3,0,
57,4,3,3,1,
58,3,3,5,0,
59,3,5,2,1,
60,5,2,3,0,
61,2,3,5,-1,
62,3,5,2,1,
63,5,2,2,0,
64,2,2,2,1,
65,2,2,0,0,
66,2,0,0,1,
67,0,0,3,0,
68,0,3,0,0,
69,3,0,3,1,
70,0,3,4,0,
71,3,4,0,1,
72,4,0,4,-1,
73,0,4,0,1,
74,4,0,2,0,
75,0,2,5,1,
76,2,5,0,0,
77,5,0,3,1,
78,0,3,0,0,
79,3,0,1,1,
80,0,1,2,1,
81,1,2,1,0,
82,2,1,2,0,
83,1,2,2,0,
84,2,2,4,0,
85,2,4,3,1,
86,4,3,3,1,
87,3,3,5,-1,
88,3,5,0,0,
89,5,0,3,1,
90,0,3,4,0,
91,3,4,5,0,
92,4,5,1,0,
93,5,1,3,0,
94,1,3,3,1,
95,3,3,2,1,
96,3,2,1,1,
97,2,1,2,1,
98,1,2,4,-1,
99,2,4,1,1,
100,4,1,1,1,
101,1,1,0,1,
102,1,0,1,1,
103,0,1,1,0,
104,1,1,4,1,
105,1,4,4,0,
106,4,4,3,1,
107,4,3,3,0,
108,3,3,4,1,
109,3,4,1,0,
110,4,1,0,1,
111,1,0,0,1,
112,0,0,1,1,
113,0,1,4,0,
114,1,4,0,1,
115,4,0,2,0,
116,0,2,2,0,
117,2,2,1,1,
118,2,1,2,0,
119,1,2,5,1,
120,2,5,2,0,
121,5,2,2,1,
122,2,2,4,1,
123,2,4,0,0,
124,4,0,5,1,
125,0,5,0,1,
126,5,0,3,-1,
127,0,3,4,0,
128,3,4,4,0,
129,4,4,1,1,
130,4,1,3,0,
131,1,3,3,1,
132,3,3,0,1,
133,3,0,3,0,
134,0,3,1,0,
135,3,1,5,0,
136,1,5,2,0,
137,5,2,5,0,
138,2,5,5,0,
139,5,5,2,0,
140,5,2,3,0,
141,2,3,4,1,
142,3,4,2,1,
143,4,2,2,0,
144,2,2,5,1,
145,2,5,3,1,
146,5,3,4,0,
147,3,4,0,0,
148,4,0,5,1,
149,0,5,2,1,
150,5,2,1,0,
151,2,1,5,1,
152,1,5,0,1,
153,5,0,0,1,
154,0,0,1,1,
155,0,1,2,0,
156,1,2,0,1,
157,2,0,3,1,
158,0,3,5,0,
159,3,5,5,0,
160,5,5,3,1,
161,5,3,3,0,
162,3,3,2,1,
163,3,2,0,1,
164,2,0,0,1,
165,0,0,1,1,
166,0,1,1,1,
167,1,1,4,1,
168,1,4,1,0,
169,4,1,0,1,
170,1,0,4,-1,
171,0,4,0,1,
172,4,0,0,1,
173,0,0,1,0,
174,0,1,2,1,
175,1,2,0,0,
176,2,0,4,-1,
177,0,4,0,0,
178,4,0,5,-1,
179,0,5,5,0,
180,5,5,0,1,
181,5,0,2,1,
182,0,2,4,0,
183,2,4,4,0,
184,4,4,2,1,
185,4,2,5,0,
186,2,5,3,0,
187,5,3,3,0,
188,3,3,2,0,
189,3,2,3,1,
190,2,3,2,0,
191,3,2,0,0,
192,2,0,0,1,
193,0,0,5,1,
194,0,5,4,0,
