,s-2,s-1,a,r,none
0,1,2,4,1,
1,2,4,4,0,
2,4,4,1,0,
3,4,1,1,0,
4,1,1,5,0,
5,1,5,5,0,
6,5,5,2,0,
7,5,2,4,0,
8,2,4,1,0,
9,4,1,4,1,
10,1,4,1,1,
11,4,1,0,0,
12,1,0,1,1,
13,0,1,5,1,
14,1,5,2,1,
15,5,2,3,0,
16,2,3,1,1,
17,3,1,3,0,
18,1,3,4,0,
19,3,4,5,1,
20,4,5,3,-1,
21,5,3,2,0,
22,3,2,1,1,
23,2,1,4,0,
24,1,4,0,0,
25,4,0,3,0,
26,0,3,4,-1,
27,3,4,3,0,
28,4,3,3,0,
29,3,3,3,1,
30,3,3,5,1,
31,3,5,4,0,
32,5,4,1,0,
33,4,1,4,0,
34,1,4,3,1,
35,4,3,5,0,
36,3,5,5,0,
37,5,5,1,0,
38,5,1,0,0,
39,1,0,5,0,
40,0,5,5,0,
41,5,5,4,0,
42,5,4,0,1,
43,4,0,3,-1,
44,0,3,3,1,
45,3,3,3,1,
46,3,3,0,0,
47,3,0,3,0,
48,0,3,5,1,
49,3,5,2,0,
50,5,2,5,0,
51,2,5,5,0,
52,5,5,5,0,
53,5,5,3,0,
54,5,3,5,0,
55,3,5,1,0,
56,5,1,1,1,
57,1,1,3,0,
58,1,3,2,1,
59,3,2,4,0,
60,2,4,2,0,
61,4,2,2,0,
62,2,2,1,0,
63,2,1,5,0,
64,1,5,4,1,
65,5,4,4,0,
66,4,4,2,1,
67,4,2,1,0,
68,2,1,0,0,
69,1,0,3,1,
70,0,3,0,1,
71,3,0,0,1,
72,0,0,5,0,
73,0,5,1,1,
74,5,1,5,0,
75,1,5,3,0,
76,5,3,0,1,
77,3,0,1,0,
78,0,1,5,0,
79,1,5,1,1,
80,5,1,5,1,
81,1,5,1,1,
82,5,1,3,0,
83,1,3,5,0,
84,3,5,1,1,
85,5,1,3,0,
86,1,3,5,0,
87,3,5,1,1,
88,5,1,0,1,
89,1,0,1,0,
90,0,1,5,1,
91,1,5,4,0,
92,5,4,3,1,
93,4,3,4,0,
94,3,4,4,0,
95,4,4,2,1,
96,4,2,0,1,
97,2,0,4,0,
98,0,4,5,0,
99,4,5,3,0,
100,5,3,0,1,
101,3,0,4,0,
102,0,4,3,-1,
103,4,3,2,0,
104,3,2,1,1,
105,2,1,3,0,
106,1,3,0,0,
107,3,0,4,1,
108,0,4,0,0,
109,4,0,3,0,
110,0,3,3,1,
111,3,3,5,1,
112,3,5,3,0,
113,5,3,4,1,
114,3,4,5,0,
115,4,5,2,0,
116,5,2,1,-1,
117,2,1,0,1,
118,1,0,1,0,
119,0,1,5,0,
120,1,5,2,1,
121,5,2,1,0,
122,2,1,4,0,
123,1,4,1,0,
124,4,1,0,0,
125,1,0,4,1,
126,0,4,2,0,
127,4,2,4,1,
128,2,4,3,0,
129,4,3,2,1,
130,3,2,4,1,
131,2,4,1,0,
132,4,1,1,0,
133,1,1,4,0,
134,1,4,3,1,
135,4,3,4,0,
136,3,4,5,0,
137,4,5,3,1,
138,5,3,3,1,
139,3,3,3,0,
140,3,3,3,0,
141,3,3,2,1,
142,3,2,5,-1,
143,2,5,0,1,
144,5,0,3,1,
145,0,3,5,1,
146,3,5,5,0,
147,5,5,1,-1,
148,5,1,5,1,
149,1,5,5,0,
150,5,5,0,0,
151,5,0,3,0,
152,0,3,5,0,
153,3,5,3,0,
154,5,3,1,0,
155,3,1,1,-1,
156,1,1,2,1,
157,1,2,4,0,
158,2,4,1,1,
159,4,1,0,1,
160,1,0,5,0,
161,0,5,1,0,
162,5,1,5,0,
163,1,5,1,0,
164,5,1,5,0,
165,1,5,4,0,
166,5,4,5,1,
167,4,5,2,0,
168,5,2,0,0,
169,2,0,4,0,
170,0,4,2,1,
171,4,2,4,-1,
172,2,4,2,1,
173,4,2,0,1,
174,2,0,5,1,
175,0,5,2,0,
176,5,2,2,0,
177,2,2,5,0,
178,2,5,2,0,
179,5,2,1,-1,
