,s-2,s-1,a,r,none
0,4,4,1,0,
1,4,1,0,0,
2,1,0,3,0,
3,0,3,5,0,
4,3,5,0,0,
5,5,0,5,0,
6,0,5,2,1,
7,5,2,0,1,
8,2,0,1,1,
9,0,1,4,0,
10,1,4,4,0,
11,4,4,4,0,
12,4,4,1,1,
13,4,1,4,0,
14,1,4,1,1,
15,4,1,1,0,
16,1,1,1,-1,
17,1,1,1,-1,
18,1,1,5,0,
19,1,5,3,0,
20,5,3,3,0,
21,3,3,3,1,
22,3,3,2,1,
23,3,2,4,0,
24,2,4,2,0,
25,4,2,4,1,
26,2,4,2,1,
27,4,2,4,-1,
28,2,4,3,0,
29,4,3,4,1,
30,3,4,2,1,
31,4,2,5,1,
32,2,5,4,-1,
33,5,4,5,0,
34,4,5,0,1,
35,5,0,1,1,
36,0,1,3,1,
37,1,3,0,0,
38,3,0,1,0,
39,0,1,3,1,
40,1,3,3,1,
41,3,3,2,1,
42,3,2,4,-1,
43,2,4,3,0,
44,4,3,4,1,
45,3,4,2,1,
46,4,2,1,1,
47,2,1,4,0,
48,1,4,1,0,
49,4,1,1,1,
50,1,1,3,1,
51,1,3,1,0,
52,3,1,0,1,
53,1,0,4,0,
54,0,4,2,1,
55,4,2,5,0,
56,2,5,0,1,
57,5,0,0,1,
58,0,0,1,1,
59,0,1,0,0,
60,1,0,1,0,
61,0,1,4,1,
62,1,4,1,0,
63,4,1,5,0,
64,1,5,4,0,
65,5,4,3,1,
66,4,3,3,0,
67,3,3,4,-1,
68,3,4,3,0,
69,4,3,3,0,
70,3,3,2,1,
71,3,2,0,1,
72,2,0,1,0,
73,0,1,1,-1,
74,1,1,3,0,
75,1,3,5,1,
76,3,5,3,1,
77,5,3,0,1,
78,3,0,4,-1,
79,0,4,2,1,
80,4,2,0,1,
81,2,0,1,1,
82,0,1,1,1,
83,1,1,0,0,
84,1,0,1,0,
85,0,1,2,0,
86,1,2,2,0,
87,2,2,4,1,
88,2,4,3,0,
89,4,3,4,-1,
90,3,4,0,0,
91,4,0,1,0,
92,0,1,3,1,
93,1,3,1,0,
94,3,1,5,-1,
95,1,5,2,0,
96,5,2,3,0,
97,2,3,3,1,
98,3,3,2,0,
99,3,2,2,0,
100,2,2,2,0,
101,2,2,4,-1,
102,2,4,0,1,
103,4,0,1,0,
104,0,1,3,-1,
105,1,3,1,0,
106,3,1,3,0,
107,1,3,1,0,
108,3,1,3,0,
109,1,3,3,1,
110,3,3,2,0,
111,3,2,2,0,
112,2,2,5,1,
113,2,5,2,0,
114,5,2,4,1,
115,2,4,2,0,
116,4,2,1,1,
117,2,1,4,1,
118,1,4,4,0,
119,4,4,5,0,
120,4,5,3,0,
121,5,3,2,1,
122,3,2,3,-1,
123,2,3,5,0,
124,3,5,2,1,
125,5,2,4,0,
126,2,4,0,1,
127,4,0,5,1,
128,0,5,2,0,
129,5,2,5,1,
130,2,5,3,0,
131,5,3,2,0,
132,3,2,2,0,
133,2,2,1,1,
134,2,1,4,1,
135,1,4,3,0,
136,4,3,4,1,
137,3,4,0,0,
138,4,0,0,1,
139,0,0,4,0,
140,0,4,2,1,
141,4,2,1,0,
142,2,1,5,1,
143,1,5,3,-1,
144,5,3,0,0,
145,3,0,5,1,
146,0,5,2,1,
147,5,2,5,-1,
148,2,5,5,0,
149,5,5,1,1,
150,5,1,4,1,
151,1,4,4,0,
152,4,4,0,1,
153,4,0,1,0,
154,0,1,3,0,
155,1,3,3,1,
156,3,3,2,1,
157,3,2,2,0,
158,2,2,1,0,
159,2,1,2,1,
160,1,2,2,0,
161,2,2,1,1,
162,2,1,3,0,
163,1,3,1,1,
164,3,1,5,0,
165,1,5,1,1,
166,5,1,4,1,
167,1,4,4,0,
168,4,4,1,1,
169,4,1,4,0,
170,1,4,5,1,
171,4,5,5,0,
172,5,5,0,0,
173,5,0,3,0,
174,0,3,0,1,
175,3,0,1,1,
176,0,1,1,1,
177,1,1,5,-1,
178,1,5,3,0,
179,5,3,0,0,
180,3,0,0,1,
181,0,0,3,0,
182,0,3,5,1,
183,3,5,2,1,
184,5,2,4,0,
185,2,4,0,0,
186,4,0,5,0,
187,0,5,1,0,
188,5,1,3,1,
189,1,3,3,1,
190,3,3,2,1,
191,3,2,4,1,
192,2,4,5,1,
193,4,5,0,0,
194,5,0,0,1,
195,0,0,0,1,
196,0,0,1,-1,
197,0,1,3,0,
198,1,3,3,0,
199,3,3,2,1,
200,3,2,0,0,
201,2,0,3,0,
202,0,3,0,1,
203,3,0,0,1,
204,0,0,5,1,
205,0,5,3,0,
206,5,3,1,0,
207,3,1,0,1,
208,1,0,5,1,
209,0,5,5,0,
210,5,5,5,0,
211,5,5,1,0,
212,5,1,1,0,
213,1,1,1,1,
214,1,1,3,1,
215,1,3,3,0,
216,3,3,2,1,
217,3,2,5,0,
218,2,5,5,0,
219,5,5,1,1,
220,5,1,4,-1,
221,1,4,1,-1,
222,4,1,1,1,
223,1,1,3,1,
224,1,3,3,1,
225,3,3,0,0,
226,3,0,3,0,
227,0,3,5,1,
228,3,5,0,1,
229,5,0,0,1,
230,0,0,0,0,
231,0,0,2,1,
232,0,2,0,0,
233,2,0,0,1,
234,0,0,4,0,
235,0,4,2,0,
236,4,2,0,0,
237,2,0,4,0,
238,0,4,2,1,
239,4,2,1,0,
240,2,1,4,-1,
241,1,4,0,1,
242,4,0,3,-1,
243,0,3,5,-1,
244,3,5,1,0,
245,5,1,3,0,
246,1,3,3,1,
247,3,3,2,0,
248,3,2,5,0,
249,2,5,0,0,
250,5,0,0,1,
251,0,0,4,0,
252,0,4,5,0,
253,4,5,4,1,
254,5,4,0,1,
255,4,0,5,0,
256,0,5,2,0,
257,5,2,4,0,
258,2,4,2,0,
259,4,2,4,0,
