,s-2,s-1,a,r,none
287,3,0,0,1,
288,0,0,2,1,
289,0,2,2,0,
290,2,2,5,1,
291,2,5,2,0,
292,5,2,5,0,
293,2,5,3,1,
294,5,3,2,1,
295,3,2,5,1,
296,2,5,5,0,
297,5,5,4,1,
298,5,4,1,0,
299,4,1,0,1,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
