,s-2,s-1,a,r,none
0,0,1,2,1,
1,1,2,1,0,
2,2,1,5,0,
3,1,5,0,0,
4,5,0,1,1,
5,0,1,2,0,
6,1,2,1,1,
7,2,1,1,0,
8,1,1,0,1,
9,1,0,5,0,
10,0,5,0,-1,
11,5,0,4,0,
12,0,4,3,1,
13,4,3,5,0,
14,3,5,1,1,
15,5,1,4,1,
16,1,4,1,1,
17,4,1,3,1,
18,1,3,3,1,
19,3,3,4,0,
20,3,4,3,1,
21,4,3,0,0,
22,3,0,3,0,
23,0,3,5,1,
24,3,5,3,1,
25,5,3,0,1,
26,3,0,3,0,
27,0,3,1,0,
28,3,1,2,1,
29,1,2,5,1,
30,2,5,2,0,
31,5,2,4,-1,
32,2,4,4,0,
33,4,4,2,0,
34,4,2,0,0,
35,2,0,0,1,
36,0,0,4,1,
37,0,4,1,0,
38,4,1,4,-1,
39,1,4,5,0,
40,4,5,1,1,
41,5,1,1,-1,
42,1,1,0,0,
43,1,0,1,0,
44,0,1,0,1,
45,1,0,2,1,
46,0,2,3,0,
47,2,3,2,0,
48,3,2,3,0,
49,2,3,3,1,
50,3,3,0,0,
51,3,0,0,1,
52,0,0,1,0,
53,0,1,1,0,
54,1,1,0,1,
55,1,0,1,0,
56,0,1,3,0,
57,1,3,2,1,
58,3,2,4,1,
59,2,4,2,1,
60,4,2,2,0,
61,2,2,3,1,
62,2,3,5,1,
63,3,5,1,1,
64,5,1,5,0,
65,1,5,2,0,
66,5,2,3,0,
67,2,3,0,1,
68,3,0,2,1,
69,0,2,1,1,
70,2,1,5,1,
71,1,5,4,1,
72,5,4,5,1,
73,4,5,2,0,
74,5,2,5,0,
75,2,5,5,0,
76,5,5,5,0,
77,5,5,4,0,
78,5,4,5,0,
79,4,5,3,1,
80,5,3,0,0,
81,3,0,2,0,
82,0,2,1,-1,
83,2,1,0,0,
84,1,0,3,1,
85,0,3,4,-1,
86,3,4,1,0,
87,4,1,2,1,
88,1,2,4,0,
89,2,4,3,-1,
90,4,3,0,0,
91,3,0,4,0,
92,0,4,3,1,
93,4,3,3,0,
94,3,3,1,1,
95,3,1,3,0,
96,1,3,4,0,
97,3,4,3,1,
98,4,3,3,1,
99,3,3,1,0,
100,3,1,2,1,
101,1,2,0,1,
102,2,0,1,1,
103,0,1,1,1,
104,1,1,0,0,
105,1,0,4,1,
106,0,4,1,0,
107,4,1,0,0,
108,1,0,3,-1,
109,0,3,2,1,
110,3,2,2,0,
111,2,2,3,0,
112,2,3,5,-1,
113,3,5,0,0,
114,5,0,0,1,
115,0,0,4,0,
