,s-2,s-1,a,r,none
0,3,5,5,0,
1,5,5,1,1,
2,5,1,4,0,
3,1,4,3,0,
4,4,3,2,1,
5,3,2,2,0,
6,2,2,3,0,
7,2,3,2,1,
8,3,2,4,0,
9,2,4,4,0,
10,4,4,2,0,
11,4,2,1,1,
12,2,1,3,1,
13,1,3,1,0,
14,3,1,2,1,
15,1,2,4,-1,
16,2,4,2,0,
17,4,2,0,0,
18,2,0,3,0,
19,0,3,5,0,
20,3,5,1,0,
21,5,1,2,0,
22,1,2,1,0,
23,2,1,1,0,
24,1,1,5,0,
25,1,5,3,0,
26,5,3,0,0,
27,3,0,1,1,
28,0,1,3,0,
29,1,3,3,1,
30,3,3,5,-1,
31,3,5,2,1,
32,5,2,3,1,
33,2,3,2,1,
34,3,2,4,0,
35,2,4,4,0,
36,4,4,2,0,
37,4,2,3,-1,
38,2,3,4,0,
39,3,4,2,1,
40,4,2,1,1,
41,2,1,3,1,
42,1,3,3,0,
43,3,3,3,1,
44,3,3,1,-1,
45,3,1,0,1,
46,1,0,2,1,
47,0,2,1,0,
48,2,1,3,0,
49,1,3,0,1,
50,3,0,3,-1,
51,0,3,2,1,
52,3,2,3,1,
53,2,3,3,0,
54,3,3,2,1,
55,3,2,4,-1,
56,2,4,0,0,
57,4,0,0,1,
58,0,0,5,0,
59,0,5,0,0,
60,5,0,2,1,
61,0,2,2,0,
62,2,2,1,-1,
63,2,1,0,1,
64,1,0,2,1,
65,0,2,4,1,
66,2,4,0,0,
67,4,0,4,-1,
68,0,4,1,1,
69,4,1,0,0,
70,1,0,4,0,
71,0,4,2,1,
72,4,2,1,1,
73,2,1,4,0,
74,1,4,4,0,
75,4,4,1,1,
76,4,1,0,1,
77,1,0,2,1,
78,0,2,4,0,
79,2,4,3,0,
80,4,3,2,0,
81,3,2,3,1,
82,2,3,3,1,
83,3,3,4,0,
84,3,4,1,0,
85,4,1,4,1,
86,1,4,5,1,
87,4,5,2,0,
88,5,2,4,-1,
89,2,4,5,0,
90,4,5,4,0,
91,5,4,1,0,
92,4,1,1,1,
93,1,1,2,0,
94,1,2,5,0,
95,2,5,3,0,
96,5,3,4,1,
97,3,4,2,1,
98,4,2,1,-1,
99,2,1,3,0,
100,1,3,0,0,
101,3,0,2,0,
102,0,2,4,1,
103,2,4,1,0,
104,4,1,3,0,
105,1,3,0,0,
106,3,0,1,0,
107,0,1,3,1,
108,1,3,0,1,
109,3,0,5,0,
110,0,5,5,0,
111,5,5,3,1,
112,5,3,0,1,
113,3,0,5,0,
114,0,5,3,0,
115,5,3,4,0,
116,3,4,3,0,
117,4,3,2,0,
118,3,2,5,0,
119,2,5,1,-1,
120,5,1,4,0,
121,1,4,3,-1,
122,4,3,3,0,
123,3,3,0,1,
124,3,0,2,1,
125,0,2,1,0,
126,2,1,0,1,
127,1,0,2,1,
128,0,2,5,0,
129,2,5,0,1,
130,5,0,5,1,
131,0,5,4,1,
132,5,4,3,0,
133,4,3,2,-1,
134,3,2,2,0,
135,2,2,2,0,
136,2,2,3,1,
137,2,3,2,1,
138,3,2,3,1,
139,2,3,5,-1,
140,3,5,5,0,
141,5,5,2,0,
142,5,2,4,0,
143,2,4,5,1,
144,4,5,2,1,
145,5,2,1,1,
146,2,1,3,1,
147,1,3,0,1,
148,3,0,4,1,
149,0,4,3,1,
150,4,3,3,0,
151,3,3,3,1,
152,3,3,3,0,
153,3,3,0,0,
154,3,0,1,1,
155,0,1,5,1,
156,1,5,5,0,
157,5,5,1,0,
158,5,1,5,0,
159,1,5,1,0,
160,5,1,0,0,
161,1,0,2,0,
162,0,2,3,0,
163,2,3,2,1,
164,3,2,3,0,
165,2,3,2,0,
166,3,2,3,0,
167,2,3,2,0,
168,3,2,5,0,
169,2,5,1,1,
170,5,1,0,0,
171,1,0,2,0,
172,0,2,4,1,
173,2,4,1,1,
174,4,1,3,0,
175,1,3,3,1,
176,3,3,3,0,
177,3,3,5,0,
178,3,5,2,0,
179,5,2,2,0,
180,2,2,5,-1,
181,2,5,4,0,
182,5,4,0,1,
183,4,0,5,0,
184,0,5,3,1,
185,5,3,3,0,
186,3,3,0,0,
187,3,0,5,-1,
