,s-2,s-1,a,r,none
0,4,2,5,1,
1,2,5,2,1,
2,5,2,3,0,
3,2,3,5,1,
4,3,5,0,0,
5,5,0,0,1,
6,0,0,2,1,
7,0,2,1,1,
8,2,1,2,0,
9,1,2,4,0,
10,2,4,5,1,
11,4,5,1,0,
12,5,1,4,1,
13,1,4,2,0,
14,4,2,3,0,
15,2,3,5,1,
16,3,5,1,0,
17,5,1,3,0,
18,1,3,1,0,
19,3,1,5,0,
20,1,5,2,0,
21,5,2,4,1,
22,2,4,4,0,
23,4,4,3,0,
24,4,3,2,1,
25,3,2,0,0,
26,2,0,2,0,
27,0,2,0,0,
28,2,0,4,1,
29,0,4,3,0,
30,4,3,5,0,
31,3,5,2,0,
32,5,2,4,1,
33,2,4,4,0,
34,4,4,1,0,
35,4,1,3,0,
36,1,3,4,-1,
37,3,4,3,1,
38,4,3,2,1,
39,3,2,2,0,
40,2,2,2,0,
41,2,2,4,0,
42,2,4,5,1,
43,4,5,0,0,
44,5,0,2,1,
45,0,2,2,0,
46,2,2,0,0,
47,2,0,2,0,
48,0,2,2,1,
49,2,2,2,0,
50,2,2,1,-1,
51,2,1,4,1,
52,1,4,5,0,
53,4,5,1,1,
54,5,1,5,0,
55,1,5,5,0,
56,5,5,0,0,
57,5,0,0,1,
58,0,0,4,0,
59,0,4,0,1,
60,4,0,4,1,
61,0,4,4,0,
62,4,4,3,1,
63,4,3,2,1,
64,3,2,5,1,
65,2,5,4,0,
66,5,4,4,0,
67,4,4,0,1,
68,4,0,1,0,
69,0,1,3,0,
70,1,3,1,0,
71,3,1,0,0,
72,1,0,4,0,
73,0,4,1,0,
74,4,1,1,0,
75,1,1,0,0,
76,1,0,4,1,
77,0,4,0,0,
78,4,0,2,0,
79,0,2,5,1,
80,2,5,1,0,
81,5,1,4,0,
82,1,4,3,0,
83,4,3,2,1,
84,3,2,0,0,
85,2,0,5,1,
86,0,5,4,1,
87,5,4,2,1,
88,4,2,1,1,
89,2,1,4,0,
90,1,4,1,0,
91,4,1,2,1,
