,s-2,s-1,a,r,none
0,5,0,1,0,
1,0,1,2,0,
2,1,2,2,1,
3,2,2,8,1,
4,2,8,6,1,
5,8,6,6,1,
6,6,6,1,-1,
7,6,1,1,-1,
8,1,1,8,1,
9,1,8,9,1,
10,8,9,9,1,
11,9,9,9,-1,
12,9,9,0,-1,
13,9,0,1,0,
14,0,1,9,0,
15,1,9,3,1,
16,9,3,0,0,
17,3,0,3,1,
18,0,3,4,-1,
19,3,4,2,-1,
20,4,2,5,-1,
21,2,5,8,1,
22,5,8,2,0,
23,8,2,6,-1,
24,2,6,4,-1,
25,6,4,1,0,
26,4,1,6,1,
27,1,6,0,-1,
28,6,0,9,1,
29,0,9,0,-1,
30,9,0,5,-1,
31,0,5,2,-1,
32,5,2,8,1,
33,2,8,4,-1,
34,8,4,2,1,
35,4,2,8,1,
36,2,8,3,1,
37,8,3,6,-1,
38,3,6,8,1,
39,6,8,7,0,
40,8,7,0,-1,
41,7,0,9,1,
42,0,9,2,1,
43,9,2,7,0,
44,2,7,5,-1,
45,7,5,7,0,
46,5,7,5,0,
47,7,5,5,-1,
48,5,5,2,1,
49,5,2,4,0,
50,2,4,9,1,
51,4,9,0,-1,
52,9,0,5,-1,
53,0,5,7,-1,
54,5,7,5,-1,
55,7,5,5,-1,
56,5,5,3,1,
57,5,3,9,0,
58,3,9,6,-1,
59,9,6,1,-1,
60,6,1,5,-1,
61,1,5,2,1,
62,5,2,6,1,
63,2,6,8,1,
64,6,8,6,-1,
65,8,6,5,-1,
66,6,5,0,-1,
67,5,0,3,1,
68,0,3,5,-1,
69,3,5,9,-1,
70,5,9,8,1,
71,9,8,1,0,
72,8,1,7,0,
73,1,7,8,1,
74,7,8,8,1,
75,8,8,7,-1,
76,8,7,8,1,
77,7,8,5,-1,
78,8,5,6,-1,
79,5,6,8,1,
80,6,8,4,-1,
81,8,4,4,-1,
82,4,4,5,-1,
83,4,5,8,1,
84,5,8,9,1,
85,8,9,3,-1,
86,9,3,0,-1,
87,3,0,9,1,
88,0,9,9,0,
89,9,9,4,-1,
90,9,4,5,-1,
91,4,5,7,1,
92,5,7,8,1,
93,7,8,6,-1,
94,8,6,1,1,
95,6,1,3,0,
96,1,3,6,-1,
97,3,6,6,-1,
98,6,6,4,-1,
99,6,4,4,-1,
100,4,4,7,0,
101,4,7,5,1,
102,7,5,5,-1,
103,5,5,9,1,
104,5,9,6,-1,
105,9,6,0,-1,
106,6,0,4,0,
107,0,4,1,0,
108,4,1,6,0,
109,1,6,4,1,
110,6,4,2,0,
111,4,2,9,1,
112,2,9,3,1,
113,9,3,4,-1,
114,3,4,9,1,
115,4,9,3,1,
116,9,3,6,-1,
117,3,6,9,1,
118,6,9,9,1,
119,9,9,1,-1,
120,9,1,7,0,
121,1,7,5,0,
122,7,5,9,-1,
123,5,9,9,-1,
124,9,9,1,0,
125,9,1,9,1,
126,1,9,7,1,
127,9,7,8,1,
128,7,8,9,1,
129,8,9,0,-1,
130,9,0,9,-1,
131,0,9,7,0,
132,9,7,0,0,
133,7,0,1,-1,
134,0,1,3,0,
135,1,3,3,0,
136,3,3,8,1,
137,3,8,6,-1,
138,8,6,2,1,
139,6,2,3,-1,
140,2,3,2,1,
141,3,2,6,1,
142,2,6,4,-1,
143,6,4,8,1,
144,4,8,9,1,
145,8,9,8,1,
146,9,8,7,0,
147,8,7,9,1,
148,7,9,9,1,
149,9,9,2,0,
150,9,2,5,-1,
151,2,5,8,1,
152,5,8,2,1,
153,8,2,3,1,
154,2,3,7,0,
155,3,7,9,1,
156,7,9,8,1,
157,9,8,9,1,
158,8,9,3,1,
159,9,3,6,-1,
160,3,6,7,0,
161,6,7,8,0,
162,7,8,2,1,
163,8,2,9,1,
164,2,9,5,-1,
165,9,5,8,1,
166,5,8,3,0,
167,8,3,9,1,
168,3,9,7,0,
169,9,7,8,1,
170,7,8,8,0,
171,8,8,2,1,
172,8,2,6,-1,
173,2,6,7,0,
174,6,7,8,0,
175,7,8,8,0,
176,8,8,7,0,
177,8,7,7,0,
178,7,7,8,1,
179,7,8,9,-1,
180,8,9,9,1,
181,9,9,3,-1,
182,9,3,7,0,
183,3,7,9,1,
184,7,9,7,0,
185,9,7,7,-1,
186,7,7,8,1,
187,7,8,8,1,
188,8,8,9,0,
189,8,9,5,-1,
190,9,5,3,1,
191,5,3,1,1,
192,3,1,9,0,
193,1,9,7,-1,
194,9,7,4,-1,
195,7,4,7,0,
196,4,7,7,0,
197,7,7,3,-1,
198,7,3,5,-1,
199,3,5,2,0,
200,5,2,4,-1,
201,2,4,9,-1,
202,4,9,2,1,
203,9,2,2,0,
204,2,2,6,-1,
205,2,6,3,1,
206,6,3,8,1,
207,3,8,3,1,
208,8,3,7,0,
209,3,7,2,1,
210,7,2,8,0,
211,2,8,4,-1,
212,8,4,2,0,
213,4,2,0,-1,
214,2,0,8,1,
215,0,8,2,1,
216,8,2,1,0,
217,2,1,3,-1,
218,1,3,1,1,
219,3,1,8,1,
220,1,8,1,0,
221,8,1,9,1,
222,1,9,3,-1,
223,9,3,0,1,
224,3,0,9,1,
225,0,9,0,-1,
226,9,0,8,1,
227,0,8,6,1,
228,8,6,7,0,
229,6,7,2,1,
230,7,2,9,1,
231,2,9,3,1,
232,9,3,1,0,
233,3,1,2,1,
234,1,2,6,-1,
235,2,6,6,-1,
236,6,6,2,1,
237,6,2,6,0,
238,2,6,3,1,
239,6,3,0,-1,
240,3,0,4,-1,
241,0,4,9,0,
242,4,9,2,1,
243,9,2,9,1,
244,2,9,9,1,
245,9,9,9,-1,
246,9,9,5,-1,
247,9,5,9,1,
248,5,9,7,0,
249,9,7,9,1,
250,7,9,7,-1,
251,9,7,3,0,
252,7,3,9,-1,
253,3,9,3,1,
254,9,3,9,1,
255,3,9,3,1,
256,9,3,9,-1,
257,3,9,2,1,
258,9,2,8,1,
259,2,8,5,-1,
260,8,5,2,1,
261,5,2,8,1,
262,2,8,7,0,
263,8,7,6,-1,
264,7,6,9,1,
265,6,9,2,1,
266,9,2,9,-1,
267,2,9,1,0,
268,9,1,9,1,
269,1,9,4,-1,
270,9,4,3,1,
271,4,3,2,0,
272,3,2,1,1,
273,2,1,8,-1,
274,1,8,6,0,
275,8,6,0,-1,
276,6,0,6,-1,
277,0,6,8,1,
278,6,8,0,-1,
279,8,0,6,-1,
280,0,6,9,-1,
281,6,9,9,0,
282,9,9,2,1,
283,9,2,0,-1,
284,2,0,6,-1,
285,0,6,5,1,
286,6,5,0,-1,
287,5,0,4,-1,
288,0,4,9,-1,
289,4,9,1,0,
290,9,1,8,1,
291,1,8,7,1,
292,8,7,1,-1,
293,7,1,8,1,
294,1,8,6,-1,
295,8,6,9,1,
296,6,9,0,-1,
297,9,0,6,-1,
298,0,6,8,1,
299,6,8,3,1,
300,8,3,8,1,
301,3,8,2,1,
302,8,2,2,0,
303,2,2,2,0,
304,2,2,7,0,
305,2,7,5,-1,
306,7,5,7,1,
307,5,7,3,1,
308,7,3,5,1,
309,3,5,9,1,
310,5,9,8,1,
311,9,8,9,0,
312,8,9,4,-1,
313,9,4,9,1,
314,4,9,8,1,
315,9,8,4,-1,
316,8,4,3,1,
317,4,3,2,1,
318,3,2,1,0,
319,2,1,2,-1,
320,1,2,4,-1,
321,2,4,2,0,
322,4,2,1,-1,
323,2,1,7,0,
324,1,7,8,1,
325,7,8,3,-1,
326,8,3,9,-1,
327,3,9,3,1,
328,9,3,9,-1,
329,3,9,9,1,
330,9,9,3,1,
331,9,3,7,-1,
332,3,7,7,-1,
333,7,7,8,1,
334,7,8,4,-1,
335,8,4,5,0,
336,4,5,6,-1,
337,5,6,1,0,
338,6,1,6,0,
339,1,6,1,0,
340,6,1,8,-1,
341,1,8,0,-1,
342,8,0,8,0,
343,0,8,9,1,
344,8,9,2,1,
345,9,2,6,0,
346,2,6,8,0,
347,6,8,8,0,
348,8,8,7,0,
349,8,7,1,-1,
350,7,1,0,-1,
351,1,0,9,1,
352,0,9,7,0,
353,9,7,1,1,
354,7,1,1,1,
355,1,1,2,1,
356,1,2,1,0,
357,2,1,9,1,
358,1,9,2,0,
359,9,2,1,0,
360,2,1,8,1,
361,1,8,3,-1,
362,8,3,6,-1,
363,3,6,8,-1,
364,6,8,2,1,
365,8,2,2,1,
366,2,2,8,0,
367,2,8,9,0,
368,8,9,4,1,
369,9,4,9,0,
370,4,9,3,1,
371,9,3,1,0,
372,3,1,7,0,
373,1,7,9,1,
374,7,9,2,1,
375,9,2,2,0,
376,2,2,0,-1,
377,2,0,2,-1,
378,0,2,3,0,
379,2,3,2,1,
380,3,2,2,-1,
381,2,2,2,0,
382,2,2,9,0,
383,2,9,1,0,
384,9,1,0,-1,
385,1,0,8,0,
386,0,8,5,0,
387,8,5,5,-1,
388,5,5,2,0,
389,5,2,8,1,
390,2,8,7,-1,
391,8,7,2,-1,
392,7,2,9,-1,
393,2,9,9,1,
394,9,9,7,0,
395,9,7,0,0,
396,7,0,1,0,
397,0,1,6,-1,
398,1,6,7,0,
399,6,7,3,-1,
400,7,3,2,1,
401,3,2,5,1,
402,2,5,4,-1,
403,5,4,1,-1,
404,4,1,3,1,
405,1,3,8,1,
406,3,8,6,0,
407,8,6,7,0,
408,6,7,8,1,
409,7,8,8,0,
410,8,8,7,0,
411,8,7,8,1,
412,7,8,9,1,
413,8,9,9,-1,
414,9,9,8,1,
415,9,8,1,0,
416,8,1,2,1,
417,1,2,5,0,
418,2,5,1,0,
419,5,1,3,1,
420,1,3,3,-1,
421,3,3,2,1,
422,3,2,1,-1,
423,2,1,3,1,
424,1,3,9,1,
425,3,9,2,0,
426,9,2,7,-1,
427,2,7,3,1,
428,7,3,2,0,
429,3,2,2,1,
430,2,2,8,1,
431,2,8,9,1,
432,8,9,8,1,
433,9,8,4,1,
434,8,4,6,0,
435,4,6,7,-1,
436,6,7,2,1,
437,7,2,1,1,
438,2,1,2,1,
439,1,2,0,0,
440,2,0,5,-1,
441,0,5,5,-1,
442,5,5,1,0,
443,5,1,2,1,
444,1,2,7,0,
445,2,7,9,1,
446,7,9,7,0,
447,9,7,7,-1,
448,7,7,0,0,
449,7,0,6,-1,
450,0,6,0,0,
451,6,0,7,0,
452,0,7,5,-1,
453,7,5,7,1,
454,5,7,2,1,
455,7,2,9,1,
456,2,9,7,-1,
457,9,7,0,0,
458,7,0,8,1,
459,0,8,5,-1,
460,8,5,9,1,
461,5,9,9,-1,
462,9,9,3,0,
463,9,3,1,0,
464,3,1,5,-1,
465,1,5,9,1,
466,5,9,0,-1,
467,9,0,1,0,
468,0,1,7,0,
469,1,7,9,0,
470,7,9,4,-1,
471,9,4,3,1,
472,4,3,1,0,
473,3,1,9,1,
474,1,9,0,-1,
475,9,0,6,-1,
476,0,6,7,0,
477,6,7,2,0,
478,7,2,7,0,
479,2,7,9,0,
480,7,9,4,-1,
481,9,4,3,-1,
482,4,3,9,1,
483,3,9,7,-1,
484,9,7,2,-1,
485,7,2,3,1,
486,2,3,6,-1,
487,3,6,3,0,
488,6,3,2,1,
489,3,2,1,0,
490,2,1,3,1,
491,1,3,3,1,
492,3,3,6,0,
493,3,6,8,1,
494,6,8,8,1,
495,8,8,2,1,
496,8,2,8,1,
497,2,8,8,1,
498,8,8,7,0,
499,8,7,9,-1,
500,7,9,7,-1,
501,9,7,9,1,
502,7,9,6,1,
503,9,6,2,1,
504,6,2,1,0,
505,2,1,9,1,
506,1,9,7,-1,
507,9,7,9,1,
508,7,9,3,1,
509,9,3,8,0,
510,3,8,6,-1,
511,8,6,0,-1,
512,6,0,3,1,
513,0,3,9,1,
514,3,9,0,1,
515,9,0,1,0,
516,0,1,5,-1,
517,1,5,9,1,
