,s-4,s-3,s-2,s-1,a,r
193,8,6,19,2,10,1.0
194,6,19,2,10,13,0.0
195,19,2,10,13,3,1.0
196,2,10,13,3,14,1.0
197,10,13,3,14,14,1.0
198,13,3,14,14,4,-1.0
199,3,14,14,4,15,1.0
200,14,14,4,15,13,0.0
201,14,4,15,13,3,1.0
202,4,15,13,3,10,-1.0
203,15,13,3,10,4,0.0
204,13,3,10,4,17,-1.0
205,3,10,4,17,14,1.0
206,10,4,17,14,2,-1.0
207,4,17,14,2,19,0.0
208,17,14,2,19,12,-1.0
209,14,2,19,12,18,0.0
210,2,19,12,18,7,-1.0
211,19,12,18,7,6,-1.0
212,12,18,7,6,9,-1.0
213,18,7,6,9,2,1.0
214,7,6,9,2,5,-1.0
215,6,9,2,5,5,0.0
216,9,2,5,5,1,0.0
217,2,5,5,1,19,-1.0
218,5,5,1,19,1,-1.0
219,5,1,19,1,12,-1.0
220,1,19,1,12,19,1.0
221,19,1,12,19,12,0.0
222,1,12,19,12,1,0.0
223,12,19,12,1,18,-1.0
224,19,12,1,18,19,0.0
225,12,1,18,19,2,1.0
226,1,18,19,2,10,-1.0
227,18,19,2,10,7,0.0
228,19,2,10,7,2,1.0
229,2,10,7,2,8,1.0
230,10,7,2,8,14,1.0
231,7,2,8,14,1,0.0
232,2,8,14,1,5,-1.0
233,8,14,1,5,6,1.0
234,14,1,5,6,1,0.0
235,1,5,6,1,3,-1.0
236,5,6,1,3,1,0.0
237,6,1,3,1,2,0.0
238,1,3,1,2,4,-1.0
239,3,1,2,4,2,-1.0
240,1,2,4,2,17,-1.0
241,2,4,2,17,1,0.0
242,4,2,17,1,1,1.0
243,2,17,1,1,0,-1.0
244,17,1,1,0,4,-1.0
245,1,1,0,4,2,1.0
246,1,0,4,2,0,-1.0
247,0,4,2,0,12,-1.0
248,4,2,0,12,5,-1.0
249,2,0,12,5,0,-1.0
250,0,12,5,0,3,1.0
251,12,5,0,3,0,0.0
252,5,0,3,0,2,1.0
253,0,3,0,2,2,-1.0
254,3,0,2,2,0,0.0
255,0,2,2,0,0,-1.0
256,2,2,0,0,3,1.0
257,2,0,0,3,1,0.0
258,0,0,3,1,0,1.0
259,0,3,1,0,2,-1.0
260,3,1,0,2,0,-1.0
261,1,0,2,0,1,0.0
262,0,2,0,1,2,0.0
263,2,0,1,2,1,-1.0
264,0,1,2,1,0,-1.0
265,1,2,1,0,2,1.0
266,2,1,0,2,8,1.0
267,1,0,2,8,0,-1.0
268,0,2,8,0,0,-1.0
269,2,8,0,0,14,-1.0
270,8,0,0,14,10,1.0
271,0,0,14,10,0,0.0
272,0,14,10,0,16,1.0
273,14,10,0,16,6,1.0
274,10,0,16,6,0,-1.0
275,0,16,6,0,19,0.0
276,16,6,0,19,8,1.0
277,6,0,19,8,17,-1.0
278,0,19,8,17,10,-1.0
279,19,8,17,10,0,0.0
280,8,17,10,0,3,1.0
281,17,10,0,3,0,-1.0
282,10,0,3,0,5,-1.0
283,0,3,0,5,3,1.0
284,3,0,5,3,0,-1.0
285,0,5,3,0,5,-1.0
286,5,3,0,5,13,-1.0
287,3,0,5,13,1,0.0
288,0,5,13,1,3,1.0
289,5,13,1,3,3,-1.0
290,13,1,3,3,0,-1.0
