,0,1,2,3,4
0,5,4,1,1,
1,4,1,2,-1,
2,1,2,1,1,
3,2,1,2,0,
4,1,2,2,0,
5,2,2,2,0,
6,2,2,2,0,
7,2,2,5,1,
8,2,5,4,0,
9,5,4,1,0,
10,4,1,3,1,
11,1,3,1,0,
12,3,1,1,0,
13,1,1,1,0,
14,1,1,1,1,
15,1,1,4,0,
16,1,4,2,0,
17,4,2,5,0,
18,2,5,3,-1,
19,5,3,2,1,
20,3,2,2,1,
21,2,2,3,0,
22,2,3,4,1,
23,3,4,5,-1,
24,4,5,5,0,
25,5,5,4,0,
26,5,4,3,1,
27,4,3,1,1,
28,3,1,4,1,
29,1,4,1,0,
30,4,1,5,1,
31,1,5,1,1,
32,5,1,5,0,
33,1,5,4,1,
34,5,4,4,0,
35,4,4,4,0,
36,4,4,5,0,
37,4,5,0,1,
38,5,0,4,-1,
39,0,4,1,1,
40,4,1,0,0,
41,1,0,4,1,
42,0,4,3,0,
43,4,3,4,0,
44,3,4,2,0,
45,4,2,3,0,
46,2,3,1,1,
47,3,1,3,-1,
48,1,3,3,1,
49,3,3,5,1,
50,3,5,4,0,
51,5,4,5,0,
52,4,5,4,0,
53,5,4,1,1,
54,4,1,5,0,
55,1,5,5,0,
56,5,5,5,0,
57,5,5,2,0,
58,5,2,0,1,
59,2,0,1,1,
60,0,1,3,0,
61,1,3,3,0,
62,3,3,4,1,
63,3,4,1,1,
64,4,1,2,0,
65,1,2,0,0,
66,2,0,0,0,
67,0,0,5,1,
68,0,5,2,0,
69,5,2,5,-1,
70,2,5,2,0,
71,5,2,4,1,
72,2,4,5,0,
73,4,5,3,1,
74,5,3,3,1,
75,3,3,2,0,
76,3,2,3,0,
77,2,3,3,0,
78,3,3,4,0,
79,3,4,0,1,
80,4,0,5,0,
81,0,5,5,0,
82,5,5,4,0,
83,5,4,3,0,
84,4,3,3,0,
85,3,3,4,1,
86,3,4,4,0,
87,4,4,4,0,
88,4,4,4,0,
89,4,4,5,1,
90,4,5,2,1,
91,5,2,4,1,
92,2,4,2,0,
93,4,2,1,0,
94,2,1,2,1,
95,1,2,1,1,
96,2,1,3,0,
97,1,3,2,1,
98,3,2,2,0,
99,2,2,5,0,
100,2,5,4,1,
101,5,4,3,1,
102,4,3,4,1,
103,3,4,1,0,
104,4,1,3,0,
105,1,3,3,0,
106,3,3,5,0,
107,3,5,0,1,
108,5,0,1,0,
109,0,1,1,-1,
110,1,1,3,-1,
111,1,3,3,1,
112,3,3,2,1,
113,3,2,2,1,
114,2,2,5,0,
115,2,5,4,1,
116,5,4,1,-1,
117,4,1,0,1,
118,1,0,5,1,
119,0,5,5,0,
120,5,5,2,1,
121,5,2,4,1,
122,2,4,4,0,
123,4,4,0,0,
124,4,0,4,-1,
125,0,4,2,1,
126,4,2,2,0,
127,2,2,1,0,
128,2,1,2,0,
129,1,2,5,0,
130,2,5,4,1,
131,5,4,1,0,
132,4,1,3,0,
133,1,3,3,1,
134,3,3,4,0,
135,3,4,0,0,
136,4,0,2,0,
137,0,2,4,1,
138,2,4,3,-1,
139,4,3,3,1,
140,3,3,1,1,
141,3,1,2,0,
142,1,2,2,0,
143,2,2,0,1,
144,2,0,4,0,
145,0,4,1,1,
146,4,1,3,0,
147,1,3,3,0,
148,3,3,3,0,
149,3,3,2,1,
150,3,2,5,0,
151,2,5,2,0,
152,5,2,0,1,
153,2,0,1,0,
154,0,1,1,1,
155,1,1,4,1,
156,1,4,3,0,
157,4,3,4,1,
158,3,4,1,0,
159,4,1,1,0,
160,1,1,2,1,
161,1,2,3,0,
162,2,3,4,1,
163,3,4,0,1,
164,4,0,5,1,
165,0,5,2,0,
166,5,2,4,0,
167,2,4,0,0,
168,4,0,5,-1,
169,0,5,0,0,
170,5,0,5,1,
171,0,5,2,0,
172,5,2,4,-1,
173,2,4,2,0,
174,4,2,2,0,
175,2,2,0,1,
176,2,0,2,0,
177,0,2,3,0,
178,2,3,5,0,
179,3,5,0,1,
180,5,0,1,1,
181,0,1,5,1,
182,1,5,5,0,
183,5,5,3,0,
184,5,3,4,1,
185,3,4,0,0,
186,4,0,1,0,
187,0,1,5,0,
188,1,5,2,0,
189,5,2,4,1,
190,2,4,1,0,
191,4,1,0,0,
192,1,0,1,0,
193,0,1,4,1,
194,1,4,4,0,
195,4,4,2,1,
196,4,2,3,1,
197,2,3,4,-1,
198,3,4,1,0,
199,4,1,0,0,
200,1,0,1,1,
201,0,1,3,0,
202,1,3,4,0,
203,3,4,2,0,
204,4,2,5,0,
205,2,5,4,-1,
206,5,4,1,0,
207,4,1,5,0,
208,1,5,3,1,
209,5,3,4,1,
210,3,4,1,1,
211,4,1,1,1,
212,1,1,1,-1,
213,1,1,2,1,
214,1,2,4,0,
215,2,4,3,0,
216,4,3,3,1,
217,3,3,3,1,
218,3,3,4,1,
219,3,4,4,0,
220,4,4,5,1,
221,4,5,3,1,
222,5,3,2,1,
223,3,2,1,1,
224,2,1,5,1,
225,1,5,3,0,
226,5,3,2,0,
227,3,2,0,0,
228,2,0,1,1,
229,0,1,3,1,
230,1,3,3,1,
231,3,3,2,0,
232,3,2,5,-1,
233,2,5,1,1,
234,5,1,3,0,
235,1,3,3,0,
236,3,3,5,1,
237,3,5,0,1,
238,5,0,2,1,
239,0,2,2,0,
240,2,2,1,0,
241,2,1,3,-1,
242,1,3,5,0,
243,3,5,4,0,
244,5,4,2,1,
245,4,2,1,1,
246,2,1,2,1,
247,1,2,1,-1,
248,2,1,2,0,
249,1,2,1,1,
250,2,1,1,0,
251,1,1,0,0,
252,1,0,5,0,
253,0,5,1,1,
254,5,1,0,0,
255,1,0,3,0,
256,0,3,3,0,
257,3,3,4,1,
258,3,4,1,0,
259,4,1,3,0,
260,1,3,3,0,
261,3,3,2,1,
262,3,2,3,0,
263,2,3,3,1,
264,3,3,4,1,
265,3,4,1,0,
266,4,1,2,0,
267,1,2,2,0,
268,2,2,5,0,
269,2,5,1,1,
270,5,1,4,1,
271,1,4,1,1,
272,4,1,5,0,
273,1,5,2,1,
