,s-2,s-1,a,r,none
0,98,97,99,0,
1,97,99,95,0,
2,99,95,99,1,
3,95,99,99,0,
4,99,99,99,0,
5,99,99,99,0,
6,99,99,99,0,
7,99,99,99,0,
8,99,99,99,0,
9,99,99,61,0,
10,99,61,89,0,
11,61,89,99,1,
12,89,99,1,1,
13,99,1,99,1,
14,1,99,67,0,
15,99,67,99,0,
16,67,99,99,0,
17,99,99,99,0,
18,99,99,99,0,
19,99,99,45,-1,
20,99,45,59,1,
21,45,59,99,1,
22,59,99,64,0,
23,99,64,85,0,
24,64,85,99,1,
25,85,99,99,0,
26,99,99,99,1,
27,99,99,81,-1,
28,99,81,99,0,
29,81,99,99,0,
30,99,99,0,0,
31,99,0,43,0,
32,0,43,99,0,
33,43,99,32,0,
34,99,32,47,-1,
35,32,47,99,0,
36,47,99,36,1,
37,99,36,46,0,
38,36,46,99,1,
39,46,99,63,-1,
40,99,63,13,1,
41,63,13,99,0,
42,13,99,87,1,
43,99,87,0,1,
44,87,0,99,-1,
45,0,99,99,1,
46,99,99,0,1,
47,99,0,56,1,
48,0,56,99,1,
49,56,99,99,1,
50,99,99,0,1,
51,99,0,49,-1,
52,0,49,99,1,
53,49,99,96,1,
54,99,96,0,1,
55,96,0,0,1,
56,0,0,99,0,
57,0,99,49,0,
58,99,49,30,0,
59,49,30,99,1,
60,30,99,0,1,
61,99,0,0,1,
62,0,0,53,1,
63,0,53,3,0,
64,53,3,78,1,
65,3,78,0,0,
66,78,0,99,0,
67,0,99,0,0,
68,99,0,0,1,
69,0,0,1,1,
70,0,1,1,1,
71,1,1,6,0,
72,1,6,0,0,
73,6,0,15,1,
74,0,15,44,0,
75,15,44,16,-1,
76,44,16,0,0,
77,16,0,24,1,
78,0,24,0,1,
79,24,0,35,0,
80,0,35,0,1,
81,35,0,51,1,
82,0,51,0,1,
83,51,0,74,1,
84,0,74,0,0,
85,74,0,99,0,
86,0,99,0,0,
87,99,0,70,-1,
88,0,70,0,1,
89,70,0,99,1,
90,0,99,0,0,
91,99,0,0,0,
92,0,0,33,0,
93,0,33,24,1,
94,33,24,0,1,
95,24,0,45,1,
96,0,45,32,0,
97,45,32,0,0,
98,32,0,99,0,
99,0,99,84,1,
100,99,84,19,0,
101,84,19,0,0,
102,19,0,26,0,
103,0,26,57,0,
104,26,57,0,0,
105,57,0,99,0,
106,0,99,0,1,
107,99,0,0,1,
108,0,0,64,1,
109,0,64,99,0,
110,64,99,0,0,
111,99,0,37,0,
112,0,37,80,0,
113,37,80,0,0,
114,80,0,58,0,
115,0,58,99,0,
116,58,99,27,0,
117,99,27,12,1,
118,27,12,0,1,
119,12,0,99,0,
120,0,99,19,0,
121,99,19,0,0,
122,19,0,0,1,
123,0,0,1,1,
124,0,1,63,0,
125,1,63,21,0,
126,63,21,0,0,
127,21,0,0,1,
128,0,0,1,0,
129,0,1,0,0,
130,1,0,0,1,
131,0,0,1,0,
132,0,1,0,1,
133,1,0,0,0,
134,0,0,1,0,
135,0,1,0,0,
136,1,0,20,1,
137,0,20,36,1,
138,20,36,99,-1,
139,36,99,0,1,
140,99,0,97,1,
141,0,97,19,1,
142,97,19,0,1,
143,19,0,0,1,
144,0,0,1,0,
145,0,1,0,1,
146,1,0,0,1,
147,0,0,1,1,
148,0,1,0,1,
149,1,0,0,0,
150,0,0,0,1,
151,0,0,83,1,
152,0,83,0,0,
153,83,0,99,0,
154,0,99,0,1,
155,99,0,0,1,
156,0,0,0,0,
157,0,0,50,0,
158,0,50,0,0,
159,50,0,99,1,
160,0,99,0,0,
161,99,0,0,0,
162,0,0,0,1,
163,0,0,0,1,
164,0,0,0,1,
165,0,0,0,1,
166,0,0,0,1,
167,0,0,0,0,
168,0,0,80,1,
169,0,80,0,0,
170,80,0,99,1,
171,0,99,0,0,
172,99,0,0,1,
173,0,0,0,1,
174,0,0,0,1,
175,0,0,0,1,
176,0,0,98,0,
177,0,98,70,1,
178,98,70,0,1,
179,70,0,36,0,
180,0,36,0,0,
181,36,0,57,1,
182,0,57,0,1,
183,57,0,90,0,
184,0,90,0,0,
185,90,0,79,0,
186,0,79,99,1,
187,79,99,0,1,
188,99,0,31,0,
189,0,31,0,0,
190,31,0,50,0,
191,0,50,23,1,
192,50,23,95,1,
193,23,95,0,1,
194,95,0,99,0,
195,0,99,0,0,
196,99,0,92,0,
197,0,92,0,1,
198,92,0,99,1,
199,0,99,0,1,
200,99,0,0,1,
201,0,0,0,1,
202,0,0,0,1,
203,0,0,0,1,
204,0,0,0,1,
205,0,0,0,1,
206,0,0,69,0,
207,0,69,0,1,
208,69,0,99,1,
209,0,99,0,0,
210,99,0,99,1,
211,0,99,0,1,
212,99,0,99,1,
213,0,99,0,0,
214,99,0,99,-1,
215,0,99,38,1,
216,99,38,99,-1,
217,38,99,0,0,
218,99,0,25,1,
219,0,25,0,0,
220,25,0,45,0,
221,0,45,0,1,
222,45,0,80,0,
223,0,80,0,0,
224,80,0,99,0,
225,0,99,0,1,
226,99,0,99,1,
227,0,99,30,1,
228,99,30,99,0,
229,30,99,0,1,
230,99,0,60,1,
231,0,60,0,0,
232,60,0,99,1,
233,0,99,0,0,
234,99,0,99,0,
235,0,99,0,1,
236,99,0,99,0,
237,0,99,0,1,
238,99,0,99,-1,
239,0,99,72,0,
240,99,72,0,1,
241,72,0,44,0,
242,0,44,0,0,
243,44,0,0,1,
244,0,0,0,1,
245,0,0,0,1,
246,0,0,0,1,
247,0,0,0,1,
248,0,0,0,1,
249,0,0,0,1,
250,0,0,0,0,
251,0,0,0,1,
252,0,0,0,1,
253,0,0,0,0,
254,0,0,0,-1,
255,0,0,0,-1,
256,0,0,98,0,
257,0,98,51,0,
258,98,51,80,1,
259,51,80,4,1,
260,80,4,0,0,
261,4,0,0,0,
262,0,0,0,0,
263,0,0,0,1,
264,0,0,0,1,
265,0,0,0,1,
266,0,0,91,0,
267,0,91,0,1,
268,91,0,0,1,
269,0,0,0,1,
270,0,0,0,1,
271,0,0,92,0,
272,0,92,87,0,
273,92,87,21,1,
274,87,21,0,0,
275,21,0,29,1,
276,0,29,17,0,
277,29,17,0,1,
278,17,0,24,1,
279,0,24,0,0,
280,24,0,33,1,
281,0,33,0,0,
282,33,0,45,0,
283,0,45,0,0,
284,45,0,62,1,
285,0,62,0,0,
286,62,0,84,0,
287,0,84,0,1,
288,84,0,93,1,
289,0,93,0,1,
290,93,0,0,1,
291,0,0,48,1,
292,0,48,0,0,
293,48,0,6,0,
294,0,6,0,1,
295,6,0,9,0,
296,0,9,0,0,
297,9,0,13,-1,
298,0,13,0,1,
299,13,0,18,0,
300,model: DQN,episode: 300,T: 2,Num of Category: 100,M(Batch): 30
