,s-2,s-1,a,r,none
0,12,18,0,1,
1,18,0,-1,1,
2,0,-1,19,0,
3,-1,19,19,0,
4,19,19,-1,1,
5,19,-1,19,0,
6,-1,19,19,-1,
7,19,19,19,-1,
8,19,19,19,1,
9,19,19,19,1,
10,19,19,19,1,
11,19,19,0,1,
12,19,0,19,0,
13,0,19,19,1,
14,19,19,19,-1,
15,19,19,1,0,
16,19,1,19,1,
17,1,19,19,0,
18,19,19,19,-1,
19,19,19,0,0,
20,19,0,0,1,
21,0,0,19,0,
22,0,19,0,0,
23,19,0,0,1,
24,0,0,19,1,
25,0,19,-1,0,
26,19,-1,0,0,
27,-1,0,19,1,
28,0,19,0,1,
29,19,0,1,0,
30,0,1,19,0,
31,1,19,0,1,
32,19,0,0,1,
33,0,0,19,1,
34,0,19,0,1,
35,19,0,0,1,
36,0,0,19,0,
37,0,19,0,1,
38,19,0,0,1,
39,0,0,1,0,
40,0,1,-1,0,
41,1,-1,19,0,
42,-1,19,0,0,
43,19,0,0,0,
44,0,0,19,1,
45,0,19,0,1,
46,19,0,0,1,
47,0,0,-1,0,
48,0,-1,19,1,
49,-1,19,0,1,
50,19,0,0,1,
51,0,0,19,0,
52,0,19,0,0,
53,19,0,0,1,
54,0,0,19,0,
55,0,19,0,0,
56,19,0,0,1,
57,0,0,19,0,
58,0,19,0,0,
59,19,0,0,1,
60,0,0,19,0,
61,0,19,-1,1,
62,19,-1,0,1,
63,-1,0,19,0,
64,0,19,0,1,
65,19,0,0,1,
66,0,0,19,0,
67,0,19,0,1,
68,19,0,0,1,
69,0,0,19,-1,
70,0,19,0,1,
71,19,0,0,0,
72,0,0,-1,0,
73,0,-1,19,0,
74,-1,19,0,1,
75,19,0,0,1,
76,0,0,19,1,
77,0,19,0,1,
78,19,0,1,1,
79,0,1,19,-1,
80,1,19,1,1,
81,19,1,0,0,
82,1,0,19,1,
83,0,19,1,0,
84,19,1,0,1,
85,1,0,19,0,
86,0,19,0,1,
87,19,0,0,1,
88,0,0,19,1,
89,0,19,0,0,
90,19,0,0,1,
91,0,0,1,1,
92,0,1,19,1,
93,1,19,0,1,
94,19,0,0,1,
95,0,0,19,0,
96,0,19,0,1,
97,19,0,0,1,
98,0,0,-1,0,
99,0,-1,0,1,
100,-1,0,0,1,
101,0,0,0,0,
102,0,0,0,1,
103,0,0,1,1,
104,0,1,1,0,
105,1,1,0,1,
106,1,0,1,0,
107,0,1,-1,0,
108,1,-1,0,1,
109,-1,0,-1,0,
110,0,-1,1,0,
111,-1,1,2,1,
112,1,2,-1,0,
113,2,-1,0,0,
114,-1,0,0,1,
115,0,0,0,1,
116,0,0,0,1,
117,0,0,0,1,
118,0,0,0,1,
119,0,0,0,1,
120,0,0,0,1,
121,0,0,0,1,
122,0,0,1,1,
123,0,1,0,0,
124,1,0,0,1,
125,0,0,1,0,
126,0,1,0,0,
127,1,0,0,0,
128,0,0,0,1,
129,0,0,1,1,
130,0,1,0,1,
131,1,0,0,1,
132,0,0,0,1,
133,0,0,0,1,
134,0,0,0,1,
135,0,0,0,1,
136,0,0,0,1,
137,0,0,0,-1,
138,0,0,0,-1,
139,0,0,0,1,
140,0,0,0,1,
141,0,0,0,0,
142,0,0,0,-1,
143,0,0,0,0,
144,0,0,-1,1,
145,0,-1,0,0,
146,-1,0,0,1,
147,0,0,0,1,
148,0,0,0,1,
149,0,0,-1,0,
150,0,-1,0,0,
151,-1,0,0,1,
152,0,0,0,1,
153,0,0,0,1,
154,0,0,0,1,
155,0,0,0,1,
156,0,0,1,0,
157,0,1,1,0,
158,1,1,19,0,
159,1,19,1,1,
160,19,1,0,1,
161,1,0,19,0,
162,0,19,0,1,
163,19,0,1,0,
164,0,1,19,0,
165,1,19,0,1,
166,19,0,0,1,
167,0,0,0,1,
168,0,0,0,1,
169,0,0,0,1,
170,0,0,0,1,
171,0,0,0,1,
172,0,0,0,1,
173,0,0,0,0,
174,0,0,0,-1,
175,0,0,0,-1,
176,0,0,0,1,
177,0,0,0,-1,
178,0,0,0,-1,
179,0,0,0,0,
180,0,0,-1,1,
181,0,-1,-1,1,
182,-1,-1,1,0,
183,-1,1,0,0,
184,1,0,0,1,
185,0,0,1,1,
186,0,1,-1,1,
187,1,-1,0,1,
188,-1,0,0,1,
189,0,0,0,1,
190,0,0,0,1,
191,0,0,0,1,
192,0,0,0,1,
193,0,0,0,1,
194,0,0,0,1,
195,0,0,0,1,
196,0,0,1,0,
