,s-2,s-1,a,r,none
0,4,3,5,0,
1,3,5,5,0,
2,5,5,3,-1,
3,5,3,5,0,
4,3,5,0,1,
5,5,0,1,0,
6,0,1,5,0,
7,1,5,3,0,
8,5,3,1,0,
9,3,1,1,-1,
10,1,1,1,-1,
11,1,1,1,0,
12,1,1,3,0,
13,1,3,1,1,
14,3,1,3,1,
15,1,3,3,0,
16,3,3,0,1,
17,3,0,5,1,
18,0,5,4,-1,
19,5,4,4,0,
20,4,4,2,1,
21,4,2,0,0,
22,2,0,0,1,
23,0,0,0,1,
24,0,0,3,1,
25,0,3,1,1,
26,3,1,3,0,
27,1,3,1,0,
28,3,1,3,0,
29,1,3,0,1,
30,3,0,1,1,
31,0,1,1,1,
32,1,1,3,0,
33,1,3,5,0,
34,3,5,1,0,
35,5,1,2,0,
36,1,2,0,0,
37,2,0,0,1,
38,0,0,1,1,
39,0,1,1,1,
40,1,1,1,1,
41,1,1,1,1,
42,1,1,1,-1,
43,1,1,1,0,
44,1,1,1,-1,
45,1,1,3,1,
46,1,3,2,0,
47,3,2,5,-1,
48,2,5,4,0,
49,5,4,0,0,
50,4,0,1,1,
51,0,1,2,0,
52,1,2,1,0,
53,2,1,1,1,
54,1,1,5,-1,
55,1,5,4,0,
56,5,4,2,0,
57,4,2,0,0,
58,2,0,4,0,
59,0,4,0,0,
60,4,0,1,0,
61,0,1,2,1,
62,1,2,5,-1,
63,2,5,5,0,
64,5,5,1,0,
65,5,1,1,1,
66,1,1,4,1,
67,1,4,0,0,
68,4,0,1,1,
69,0,1,1,0,
70,1,1,4,0,
71,1,4,2,1,
72,4,2,1,1,
73,2,1,1,1,
74,1,1,4,-1,
75,1,4,5,-1,
76,4,5,3,1,
77,5,3,3,0,
78,3,3,0,1,
79,3,0,4,-1,
80,0,4,1,0,
81,4,1,3,0,
82,1,3,0,1,
83,3,0,0,0,
84,0,0,5,-1,
85,0,5,2,0,
86,5,2,0,0,
87,2,0,5,0,
88,0,5,3,-1,
89,5,3,2,1,
90,3,2,2,0,
91,2,2,5,0,
92,2,5,4,1,
93,5,4,1,1,
94,4,1,2,0,
95,1,2,5,0,
96,2,5,4,-1,
97,5,4,1,1,
98,4,1,3,1,
99,1,3,0,1,
100,3,0,3,0,
101,0,3,5,0,
102,3,5,4,1,
103,5,4,1,0,
104,4,1,3,1,
105,1,3,0,1,
106,3,0,0,1,
107,0,0,3,0,
108,0,3,2,-1,
109,3,2,5,0,
110,2,5,3,0,
111,5,3,1,1,
112,3,1,1,0,
