,s-2,s-1,a,r,none
287,5,2,4,-1,
288,2,4,5,0,
289,4,5,2,0,
290,5,2,2,0,
291,2,2,5,1,
292,2,5,1,1,
293,5,1,2,0,
294,1,2,4,1,
295,2,4,0,1,
296,4,0,2,0,
297,0,2,1,1,
298,2,1,3,1,
299,1,3,3,0,
300,2,1,5,1,
301,1,5,4,0,
302,5,4,1,1,
303,4,1,1,1,
304,1,1,3,1,
305,1,3,5,0,
306,3,5,0,1,
307,5,0,3,0,
308,0,3,0,1,
309,3,0,2,0,
310,0,2,4,1,
311,2,4,2,0,
312,4,2,0,1,
313,2,0,2,1,
314,0,2,5,1,
315,2,5,3,-1,
316,5,3,1,1,
317,3,1,3,0,
318,1,3,1,0,
319,3,1,5,1,
320,1,5,0,1,
321,5,0,2,0,
322,0,2,1,0,
323,2,1,5,-1,
324,1,5,0,1,
325,5,0,2,0,
326,0,2,2,0,
327,2,2,1,1,
328,2,1,0,1,
329,1,0,0,1,
330,0,0,1,1,
331,0,1,1,0,
332,1,1,3,0,
333,1,3,5,-1,
334,3,5,1,0,
335,5,1,2,1,
336,1,2,3,1,
337,2,3,1,0,
338,3,1,2,1,
339,1,2,2,0,
340,2,2,5,0,
341,2,5,5,0,
342,5,5,1,1,
343,5,1,0,1,
344,1,0,1,1,
345,0,1,5,-1,
346,1,5,3,0,
347,5,3,1,0,
348,3,1,4,1,
349,1,4,5,1,
350,4,5,0,1,
351,5,0,0,1,
352,0,0,0,1,
353,0,0,4,0,
354,0,4,0,0,
355,4,0,5,-1,
356,0,5,4,-1,
357,5,4,3,1,
358,4,3,3,1,
359,3,3,3,0,
360,3,3,1,0,
361,3,1,1,-1,
362,1,1,2,1,
363,1,2,5,0,
364,2,5,5,0,
365,5,5,5,0,
366,5,5,5,0,
367,5,5,0,1,
368,5,0,1,0,
369,0,1,4,0,
370,1,4,2,1,
371,4,2,0,0,
372,2,0,5,-1,
373,0,5,5,0,
374,5,5,3,0,
375,5,3,1,0,
376,3,1,2,1,
377,1,2,3,0,
378,2,3,1,-1,
379,3,1,4,1,
380,1,4,2,0,
381,4,2,5,1,
382,2,5,4,0,
383,5,4,2,1,
384,4,2,4,1,
385,2,4,2,0,
386,4,2,5,0,
387,2,5,0,1,
388,5,0,0,1,
