,0,1,2,3
0,2,0,3,1
1,0,3,0,0
2,3,0,0,1
3,0,0,1,1
4,0,1,1,0
5,1,1,2,0
6,1,2,4,-1
7,2,4,4,0
8,4,4,3,0
9,4,3,3,1
10,3,3,1,0
11,3,1,5,0
12,1,5,5,0
13,5,5,5,0
14,5,5,5,0
15,5,5,3,0
16,5,3,0,0
17,3,0,0,1
18,0,0,3,0
19,0,3,5,0
20,3,5,5,0
21,5,5,3,1
22,5,3,4,0
23,3,4,3,1
24,4,3,4,1
25,3,4,3,0
26,4,3,5,0
27,3,5,1,1
28,5,1,5,-1
29,1,5,0,1
30,5,0,4,1
31,0,4,4,0
32,4,4,1,1
33,4,1,0,1
34,1,0,1,0
35,0,1,2,1
36,1,2,2,0
37,2,2,5,1
38,2,5,1,0
39,5,1,4,1
40,1,4,5,0
41,4,5,5,0
42,5,5,3,0
43,5,3,1,0
44,3,1,1,0
45,1,1,2,0
46,1,2,5,0
47,2,5,4,1
48,5,4,5,0
49,4,5,1,0
50,5,1,4,1
51,1,4,5,0
52,4,5,3,0
53,5,3,1,1
54,3,1,3,0
55,1,3,2,1
56,3,2,0,1
57,2,0,4,0
58,0,4,4,0
59,4,4,1,0
60,4,1,2,0
61,1,2,2,0
62,2,2,5,1
63,2,5,5,0
64,5,5,4,0
65,5,4,3,1
66,4,3,3,1
67,3,3,3,1
68,3,3,0,1
69,3,0,4,0
70,0,4,3,0
71,4,3,3,0
72,3,3,4,1
73,3,4,2,1
74,4,2,5,1
75,2,5,4,1
76,5,4,2,0
77,4,2,3,-1
78,2,3,1,0
79,3,1,0,0
80,1,0,3,0
81,0,3,0,0
82,3,0,1,1
83,0,1,5,0
84,1,5,2,1
85,5,2,4,1
86,2,4,1,1
87,4,1,1,-1
88,1,1,0,0
89,1,0,1,0
90,0,1,3,1
91,1,3,5,0
92,3,5,3,0
93,5,3,4,0
94,3,4,1,1
95,4,1,5,0
96,1,5,2,1
97,5,2,1,1
98,2,1,5,1
99,1,5,2,1
100,5,2,1,1
101,2,1,3,1
102,1,3,3,0
103,3,3,4,0
104,3,4,5,0
105,4,5,5,0
106,5,5,5,0
107,5,5,1,1
108,5,1,5,1
109,1,5,3,1
110,5,3,5,1
111,3,5,3,1
112,5,3,3,0
113,3,3,2,1
114,3,2,2,0
115,2,2,5,0
116,2,5,0,1
117,5,0,4,-1
118,0,4,5,1
119,4,5,1,0
120,5,1,4,0
121,1,4,5,0
122,4,5,3,-1
123,5,3,0,1
124,3,0,1,0
125,0,1,4,1
126,1,4,2,0
127,4,2,1,0
128,2,1,2,-1
129,1,2,3,-1
130,2,3,2,-1
131,3,2,4,1
132,2,4,1,0
133,4,1,1,1
134,1,1,4,0
135,1,4,1,1
136,4,1,0,1
137,1,0,2,0
138,0,2,2,0
139,2,2,5,1
140,2,5,3,0
141,5,3,3,0
142,3,3,1,0
143,3,1,3,1
144,1,3,5,1
145,3,5,3,-1
146,5,3,0,0
147,3,0,4,1
148,0,4,1,0
149,4,1,4,0
150,1,4,2,0
151,4,2,5,1
152,2,5,4,1
153,5,4,1,1
154,4,1,0,1
155,1,0,2,1
156,0,2,5,0
157,2,5,3,0
158,5,3,3,0
159,3,3,5,0
160,3,5,4,0
161,5,4,4,0
162,4,4,4,0
163,4,4,3,-1
164,4,3,2,0
165,3,2,2,1
166,2,2,5,0
167,2,5,4,0
168,5,4,4,0
169,4,4,5,1
170,4,5,5,0
171,5,5,3,0
172,5,3,0,1
173,3,0,1,0
174,0,1,3,0
175,1,3,0,0
176,3,0,4,0
177,0,4,5,0
178,4,5,5,0
179,5,5,3,1
180,5,3,3,0
181,3,3,4,1
182,3,4,3,0
183,4,3,3,0
184,3,3,1,1
185,3,1,0,1
186,1,0,2,0
187,0,2,2,0
188,2,2,5,-1
189,2,5,5,0
190,5,5,3,0
191,5,3,0,1
192,3,0,2,0
193,0,2,4,1
194,2,4,1,0
195,4,1,0,0
196,1,0,0,1
197,0,0,2,0
198,0,2,1,0
199,2,1,3,0
200,1,3,1,1
201,3,1,2,1
202,1,2,4,1
203,2,4,0,-1
204,4,0,1,0
205,0,1,4,-1
206,1,4,3,1
207,4,3,3,0
208,3,3,4,0
209,3,4,2,0
210,4,2,5,0
211,2,5,4,0
212,5,4,0,0
213,4,0,0,1
214,0,0,0,1
215,0,0,1,0
216,0,1,0,0
217,1,0,5,-1
218,0,5,4,0
219,5,4,0,1
220,4,0,5,0
221,0,5,2,0
222,5,2,0,0
223,2,0,0,1
224,0,0,4,-1
225,0,4,3,0
226,4,3,0,1
227,3,0,0,1
228,0,0,0,1
229,0,0,4,-1
230,0,4,5,1
231,4,5,5,0
232,5,5,3,0
233,5,3,3,1
234,3,3,2,1
235,3,2,4,1
236,2,4,2,0
237,4,2,3,0
238,2,3,0,0
239,3,0,0,1
240,0,0,3,0
241,0,3,1,1
242,3,1,1,1
243,1,1,1,0
244,1,1,4,1
245,1,4,3,1
246,4,3,3,0
247,3,3,4,0
248,3,4,2,0
249,4,2,5,0
250,2,5,5,0
251,5,5,2,1
252,5,2,4,-1
253,2,4,1,1
254,4,1,3,0
255,1,3,2,0
256,3,2,0,1
257,2,0,3,1
258,0,3,2,1
259,3,2,3,1
260,2,3,3,1
261,3,3,4,1
262,3,4,3,1
263,4,3,1,0
264,3,1,5,1
265,1,5,2,0
266,5,2,5,0
267,2,5,4,0
268,5,4,3,0
269,4,3,3,0
270,3,3,0,0
271,3,0,2,1
272,0,2,2,1
273,2,2,2,0
274,2,2,2,0
275,2,2,0,1
276,2,0,2,0
277,0,2,0,0
278,2,0,4,1
279,0,4,4,0
280,4,4,1,1
281,4,1,0,0
282,1,0,3,-1
283,0,3,1,0
284,3,1,0,1
285,1,0,0,1
286,0,0,0,0
287,0,0,0,1
288,0,0,4,0
289,0,4,1,0
290,4,1,0,1
291,1,0,1,-1
292,0,1,0,1
293,1,0,4,1
294,0,4,2,1
295,4,2,5,-1
296,2,5,5,0
297,5,5,1,1
298,5,1,2,1
299,1,2,5,0
300,2,5,5,0
301,5,5,0,0
302,5,0,4,0
303,0,4,4,0
304,4,4,0,1
305,4,0,2,-1
306,0,2,2,0
307,2,2,4,0
308,2,4,0,1
309,4,0,4,0
310,0,4,2,1
311,4,2,5,1
312,2,5,2,0
313,5,2,4,0
314,2,4,3,1
315,4,3,5,-1
316,3,5,5,0
317,5,5,1,0
318,5,1,4,1
319,1,4,5,-1
320,4,5,5,0
321,5,5,0,1
322,5,0,3,0
323,0,3,3,1
324,3,3,2,0
325,3,2,0,1
326,2,0,3,1
327,0,3,2,0
328,3,2,0,0
329,2,0,3,-1
330,0,3,0,0
331,3,0,0,0
332,0,0,3,1
333,0,3,1,0
334,3,1,0,0
335,1,0,4,1
336,0,4,2,1
337,4,2,3,1
338,2,3,4,0
339,3,4,3,1
340,4,3,3,1
341,3,3,2,0
342,3,2,3,1
343,2,3,1,1
344,3,1,3,1
345,1,3,0,0
346,3,0,0,1
347,0,0,0,1
348,0,0,0,1
349,0,0,1,0
350,0,1,2,1
351,1,2,0,0
352,2,0,0,1
353,0,0,3,0
354,0,3,0,0
355,3,0,4,-1
356,0,4,5,1
357,4,5,2,0
358,5,2,3,1
359,2,3,1,0
360,3,1,0,1
361,1,0,4,0
362,0,4,2,1
363,4,2,0,1
364,2,0,0,1
365,0,0,0,1
366,0,0,0,1
367,0,0,2,0
368,0,2,2,0
369,2,2,4,0
370,2,4,0,1
371,4,0,4,0
372,0,4,0,1
373,4,0,1,1
374,0,1,0,1
375,1,0,4,1
376,0,4,3,0
377,4,3,2,0
378,3,2,3,1
379,2,3,1,0
380,3,1,5,-1
381,1,5,2,1
382,5,2,3,0
383,2,3,1,1
384,3,1,3,0
385,1,3,2,0
386,3,2,2,0
387,2,2,1,1
388,2,1,3,1
389,1,3,2,0
390,3,2,3,0
391,2,3,4,0
392,3,4,0,0
393,4,0,0,1
394,0,0,0,0
395,0,0,0,1
396,0,0,0,1
397,0,0,1,0
398,0,1,3,1
399,1,3,5,1
400,3,5,1,1
401,5,1,0,1
402,1,0,2,0
403,0,2,2,0
404,2,2,0,0
405,2,0,0,1
406,0,0,0,0
407,0,0,0,1
408,0,0,5,1
409,0,5,3,1
410,5,3,2,0
411,3,2,2,0
412,2,2,2,0
413,2,2,0,1
414,2,0,4,0
415,0,4,1,-1
416,4,1,2,0
417,1,2,4,-1
418,2,4,3,0
419,4,3,0,1
420,3,0,2,1
421,0,2,2,0
422,2,2,5,0
423,2,5,0,1
424,5,0,0,1
425,0,0,0,1
426,0,0,0,1
427,0,0,0,1
428,0,0,0,1
429,0,0,3,0
430,0,3,0,1
431,3,0,0,1
432,0,0,3,1
433,0,3,5,-1
434,3,5,1,0
435,5,1,4,0
436,1,4,5,0
437,4,5,0,1
438,5,0,4,0
439,0,4,2,0
440,4,2,5,1
441,2,5,0,0
442,5,0,1,1
443,0,1,0,0
444,1,0,4,1
445,0,4,5,0
446,4,5,0,1
447,5,0,1,1
448,0,1,0,1
449,1,0,0,1
450,0,0,2,1
451,0,2,4,-1
452,2,4,1,1
453,4,1,0,0
454,1,0,0,1
455,0,0,0,1
456,0,0,0,1
457,0,0,0,1
458,0,0,1,0
459,0,1,3,0
460,1,3,3,0
461,3,3,2,1
462,3,2,0,0
463,2,0,4,1
464,0,4,2,0
465,4,2,5,1
466,2,5,0,0
467,5,0,0,1
468,0,0,0,1
469,0,0,0,1
470,0,0,3,0
471,0,3,2,0
472,3,2,2,1
473,2,2,5,0
474,2,5,3,0
475,5,3,5,0
476,3,5,2,0
477,5,2,1,0
478,2,1,3,0
479,1,3,5,1
480,3,5,4,-1
481,5,4,3,0
482,4,3,5,-1
483,3,5,0,1
484,5,0,0,1
485,0,0,0,1
486,0,0,0,1
487,0,0,0,1
488,0,0,0,1
489,0,0,3,0
490,0,3,5,0
491,3,5,1,1
492,5,1,0,0
493,1,0,4,0
494,0,4,5,0
495,4,5,0,1
496,5,0,0,1
497,0,0,0,1
498,0,0,0,1
499,0,0,0,1
500,0,0,0,1
501,0,0,0,1
502,0,0,0,1
503,0,0,2,0
504,0,2,2,0
505,2,2,0,0
506,2,0,3,0
507,0,3,3,1
508,3,3,0,1
509,3,0,0,1
510,0,0,0,1
511,0,0,0,1
512,0,0,0,1
513,0,0,3,0
514,0,3,1,0
515,3,1,0,0
516,1,0,1,0
517,0,1,3,1
518,1,3,5,1
519,3,5,1,0
520,5,1,4,-1
521,1,4,3,1
522,4,3,2,1
523,3,2,1,1
524,2,1,2,0
525,1,2,1,0
526,2,1,3,1
527,1,3,4,1
528,3,4,3,-1
529,4,3,2,0
530,3,2,3,0
531,2,3,4,1
532,3,4,5,0
533,4,5,1,1
534,5,1,4,1
535,1,4,5,-1
536,4,5,1,0
537,5,1,4,0
538,1,4,3,1
539,4,3,0,0
540,3,0,0,1
541,0,0,3,0
542,0,3,2,1
543,3,2,4,0
544,2,4,4,0
545,4,4,5,1
546,4,5,0,0
547,5,0,0,1
548,0,0,0,1
549,0,0,0,1
550,0,0,0,1
551,0,0,0,1
552,0,0,0,1
553,0,0,0,1
554,0,0,0,1
555,0,0,0,-1
556,0,0,0,-1
557,0,0,0,0
558,0,0,0,0
559,0,0,0,0
560,0,0,0,0
561,0,0,0,0
562,0,0,0,-1
563,0,0,0,0
564,0,0,0,-1
565,0,0,0,-1
566,0,0,0,-1
567,0,0,0,1
568,0,0,0,-1
569,0,0,0,-1
570,0,0,0,0
571,0,0,5,0
572,0,5,3,0
573,5,3,5,0
574,3,5,1,1
575,5,1,4,0
576,1,4,4,0
577,4,4,0,1
578,4,0,0,1
579,0,0,0,1
580,0,0,0,1
581,0,0,0,1
582,0,0,0,1
583,0,0,0,1
584,0,0,0,1
585,0,0,0,1
586,0,0,0,1
587,0,0,0,0
588,0,0,0,0
589,0,0,0,-1
590,0,0,0,-1
591,0,0,0,0
592,0,0,0,0
593,0,0,0,-1
594,0,0,0,-1
595,0,0,5,0
596,0,5,4,0
597,5,4,5,-1
598,4,5,0,0
599,5,0,1,0
600,0,1,2,1
601,1,2,0,1
602,2,0,4,1
603,0,4,2,0
604,4,2,5,0
605,2,5,4,-1
606,5,4,3,-1
607,4,3,4,-1
608,3,4,2,0
609,4,2,5,1
610,2,5,0,0
611,5,0,0,1
612,0,0,0,0
613,0,0,0,1
614,0,0,0,1
615,0,0,0,1
616,0,0,0,1
617,0,0,0,1
618,0,0,0,0
619,0,0,0,0
620,0,0,0,-1
621,0,0,0,1
622,0,0,0,-1
623,0,0,0,-1
624,0,0,0,-1
625,0,0,0,-1
626,0,0,3,0
627,0,3,2,1
628,3,2,0,0
629,2,0,3,1
630,0,3,1,0
631,3,1,1,-1
632,1,1,4,0
633,1,4,1,0
634,4,1,0,1
635,1,0,4,1
636,0,4,2,1
637,4,2,5,0
638,2,5,1,1
639,5,1,4,0
640,1,4,3,-1
641,4,3,0,1
642,3,0,0,0
643,0,0,0,1
644,0,0,0,1
645,0,0,0,1
646,0,0,0,1
647,0,0,0,1
648,0,0,0,1
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,3,1
653,0,3,2,1
654,3,2,4,0
655,2,4,1,0
656,4,1,3,0
657,1,3,5,1
658,3,5,1,0
659,5,1,2,0
660,1,2,3,1
661,2,3,0,1
662,3,0,0,1
663,0,0,0,1
664,0,0,0,1
665,0,0,3,0
666,0,3,1,1
667,3,1,5,-1
668,1,5,2,1
669,5,2,1,0
670,2,1,3,1
671,1,3,5,0
672,3,5,1,1
673,5,1,1,1
674,1,1,1,0
675,1,1,0,1
676,1,0,4,1
677,0,4,2,0
678,4,2,5,-1
679,2,5,1,0
680,5,1,2,0
681,1,2,3,0
682,2,3,3,1
683,3,3,2,0
684,3,2,3,0
685,2,3,1,0
686,3,1,0,0
687,1,0,0,1
688,0,0,0,1
689,0,0,0,1
690,0,0,0,1
691,0,0,0,1
692,0,0,0,1
693,0,0,0,1
694,0,0,5,0
695,0,5,3,1
696,5,3,2,1
697,3,2,1,1
698,2,1,5,1
699,1,5,2,0
700,5,2,1,0
701,2,1,5,0
702,1,5,1,-1
703,5,1,4,-1
704,1,4,3,0
705,4,3,0,0
706,3,0,0,1
707,0,0,0,1
708,0,0,3,0
709,0,3,2,0
710,3,2,3,1
711,2,3,5,1
712,3,5,1,0
713,5,1,0,1
714,1,0,0,1
715,0,0,0,1
716,0,0,0,1
717,0,0,0,1
718,0,0,0,1
719,0,0,0,1
720,0,0,0,1
721,0,0,2,1
722,0,2,4,0
723,2,4,0,1
724,4,0,3,0
725,0,3,0,1
726,3,0,0,1
727,0,0,0,1
728,0,0,0,1
729,0,0,0,1
730,0,0,0,1
731,0,0,0,1
732,0,0,0,1
733,0,0,0,-1
734,0,0,0,0
735,0,0,0,1
736,0,0,0,0
737,0,0,0,-1
738,0,0,0,0
739,0,0,0,0
740,0,0,0,-1
741,0,0,0,0
742,0,0,0,-1
743,0,0,0,0
744,0,0,0,0
745,0,0,0,-1
746,0,0,0,0
747,0,0,0,0
748,0,0,2,-1
749,0,2,3,1
750,2,3,1,0
751,3,1,2,0
752,1,2,3,-1
753,2,3,3,1
754,3,3,0,0
755,3,0,0,0
756,0,0,0,1
757,0,0,0,1
758,0,0,0,1
759,0,0,0,1
760,0,0,0,1
761,0,0,0,1
762,0,0,0,-1
763,0,0,2,0
764,0,2,1,1
765,2,1,3,-1
766,1,3,2,0
767,3,2,0,0
768,2,0,4,0
769,0,4,2,1
770,4,2,5,0
771,2,5,0,1
772,5,0,0,1
773,0,0,0,1
774,0,0,0,1
775,0,0,0,1
776,0,0,3,0
777,0,3,2,1
778,3,2,2,0
779,2,2,5,0
780,2,5,4,0
781,5,4,4,0
782,4,4,3,0
783,4,3,3,1
784,3,3,0,1
785,3,0,0,0
786,0,0,0,1
787,0,0,0,1
788,0,0,0,1
789,0,0,0,1
790,0,0,0,1
791,0,0,0,1
792,0,0,0,1
793,0,0,0,-1
794,0,0,4,-1
795,0,4,2,1
796,4,2,5,1
797,2,5,3,0
798,5,3,0,0
799,3,0,0,1
800,0,0,0,1
801,0,0,0,1
802,0,0,0,1
803,0,0,0,1
804,0,0,0,1
805,0,0,0,1
806,0,0,0,1
807,0,0,0,1
808,0,0,0,0
809,0,0,0,1
810,0,0,0,-1
811,0,0,0,-1
812,0,0,0,0
813,0,0,0,0
814,0,0,0,-1
815,0,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,-1
819,0,0,0,0
820,0,0,0,-1
821,0,0,5,0
822,0,5,1,0
823,5,1,2,0
824,1,2,0,0
825,2,0,0,1
826,0,0,0,1
827,0,0,0,1
828,0,0,0,1
829,0,0,0,1
830,0,0,0,1
831,0,0,0,1
832,0,0,0,0
833,0,0,0,1
834,0,0,3,0
835,0,3,2,0
836,3,2,5,0
837,2,5,1,0
838,5,1,1,0
839,1,1,1,0
840,1,1,3,-1
841,1,3,5,0
842,3,5,4,0
843,5,4,4,0
844,4,4,1,0
845,4,1,0,0
846,1,0,4,1
847,0,4,2,1
848,4,2,5,0
849,2,5,4,1
850,5,4,5,0
851,4,5,0,0
852,5,0,0,0
853,0,0,0,1
854,0,0,0,1
855,0,0,0,1
856,0,0,0,1
857,0,0,0,1
858,0,0,0,1
859,0,0,0,0
860,0,0,0,-1
861,0,0,0,1
862,0,0,0,0
863,0,0,3,1
864,0,3,2,1
865,3,2,4,0
866,2,4,0,1
867,4,0,0,1
868,0,0,0,1
869,0,0,0,1
870,0,0,0,1
871,0,0,0,1
872,0,0,0,1
873,0,0,0,1
874,0,0,0,-1
875,0,0,0,0
876,0,0,0,1
877,0,0,0,1
878,0,0,0,-1
879,0,0,0,-1
880,0,0,0,-1
881,0,0,0,-1
882,0,0,0,0
883,0,0,0,0
884,0,0,0,-1
885,0,0,0,-1
886,0,0,0,0
887,0,0,5,1
888,0,5,2,0
889,5,2,1,0
890,2,1,4,1
891,1,4,3,0
892,4,3,3,1
893,3,3,2,1
894,3,2,2,0
895,2,2,5,0
896,2,5,4,0
897,5,4,3,0
898,4,3,1,0
899,3,1,0,1
