,s-2,s-1,a,r,none
288,12,16,3,0,
289,16,3,18,0,
290,3,18,4,1,
291,18,4,12,0,
292,4,12,12,1,
293,12,12,6,1,
294,12,6,18,1,
295,6,18,18,1,
296,18,18,9,1,
297,18,9,17,0,
298,9,17,1,1,
299,17,1,17,1,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 20,M(Batch): 3
