,0,1,2,3,4
0,3,4,3,0,
1,4,3,2,1,
2,3,2,0,1,
3,2,0,2,1,
4,0,2,1,0,
5,2,1,1,0,
6,1,1,3,0,
7,1,3,0,0,
8,3,0,4,0,
9,0,4,3,1,
10,4,3,5,1,
11,3,5,1,0,
12,5,1,3,0,
13,1,3,3,1,
14,3,3,3,0,
15,3,3,4,0,
16,3,4,0,0,
17,4,0,1,-1,
18,0,1,4,-1,
19,1,4,4,0,
20,4,4,1,0,
21,4,1,1,0,
22,1,1,1,0,
23,1,1,1,1,
24,1,1,0,0,
25,1,0,5,0,
26,0,5,5,0,
27,5,5,2,0,
28,5,2,5,1,
29,2,5,2,1,
30,5,2,4,0,
31,2,4,2,1,
32,4,2,4,1,
33,2,4,0,1,
34,4,0,4,0,
35,0,4,2,0,
36,4,2,1,0,
37,2,1,2,0,
38,1,2,3,-1,
39,2,3,1,1,
40,3,1,1,0,
41,1,1,1,-1,
42,1,1,4,1,
43,1,4,0,0,
44,4,0,1,-1,
45,0,1,2,0,
46,1,2,5,0,
47,2,5,2,0,
48,5,2,3,-1,
49,2,3,2,0,
50,3,2,3,0,
51,2,3,4,0,
52,3,4,2,-1,
53,4,2,4,1,
54,2,4,1,1,
55,4,1,4,1,
56,1,4,1,0,
57,4,1,4,-1,
58,1,4,0,1,
59,4,0,3,0,
60,0,3,3,0,
61,3,3,2,1,
62,3,2,3,0,
63,2,3,0,1,
64,3,0,4,1,
65,0,4,2,0,
66,4,2,4,1,
67,2,4,2,0,
68,4,2,5,0,
69,2,5,1,1,
70,5,1,5,0,
71,1,5,2,1,
72,5,2,0,0,
73,2,0,2,1,
74,0,2,2,0,
75,2,2,2,0,
76,2,2,3,0,
77,2,3,1,0,
78,3,1,2,1,
79,1,2,2,0,
80,2,2,5,1,
81,2,5,5,0,
82,5,5,3,-1,
83,5,3,5,1,
84,3,5,0,0,
85,5,0,5,0,
86,0,5,2,1,
87,5,2,1,0,
88,2,1,2,1,
89,1,2,1,0,
90,2,1,5,1,
91,1,5,2,0,
92,5,2,1,0,
93,2,1,3,-1,
94,1,3,4,1,
95,3,4,3,0,
96,4,3,0,1,
97,3,0,0,1,
98,0,0,2,0,
99,0,2,4,0,
100,2,4,3,0,
101,4,3,4,1,
102,3,4,0,1,
103,4,0,4,-1,
104,0,4,0,1,
105,4,0,4,1,
106,0,4,4,0,
107,4,4,3,1,
108,4,3,4,0,
109,3,4,1,1,
110,4,1,4,0,
111,1,4,0,0,
112,4,0,5,1,
113,0,5,4,1,
114,5,4,0,0,
115,4,0,5,0,
116,0,5,4,1,
117,5,4,5,1,
118,4,5,1,1,
119,5,1,5,0,
120,1,5,4,1,
121,5,4,4,0,
122,4,4,2,0,
123,4,2,2,0,
124,2,2,1,1,
125,2,1,5,-1,
126,1,5,4,1,
127,5,4,5,1,
128,4,5,5,0,
129,5,5,3,1,
130,5,3,2,1,
131,3,2,4,-1,
132,2,4,1,0,
133,4,1,3,0,
134,1,3,2,1,
135,3,2,0,0,
136,2,0,1,1,
137,0,1,2,1,
138,1,2,1,-1,
139,2,1,2,0,
140,1,2,0,1,
141,2,0,2,0,
142,0,2,5,1,
143,2,5,3,0,
144,5,3,5,0,
145,3,5,4,1,
146,5,4,1,0,
147,4,1,1,-1,
148,1,1,4,-1,
149,1,4,3,1,
150,4,3,4,1,
151,3,4,0,1,
152,4,0,0,1,
153,0,0,2,0,
154,0,2,5,-1,
155,2,5,2,0,
156,5,2,0,0,
157,2,0,2,0,
158,0,2,3,0,
159,2,3,0,1,
160,3,0,4,1,
161,0,4,0,0,
162,4,0,3,1,
163,0,3,3,1,
164,3,3,0,0,
165,3,0,4,-1,
166,0,4,1,1,
167,4,1,3,-1,
168,1,3,3,1,
169,3,3,2,0,
170,3,2,1,1,
171,2,1,2,0,
172,1,2,3,1,
173,2,3,0,0,
174,3,0,0,1,
175,0,0,5,0,
176,0,5,4,0,
177,5,4,1,0,
178,4,1,4,-1,
179,1,4,3,0,
180,4,3,5,1,
181,3,5,4,0,
182,5,4,0,1,
183,4,0,2,0,
184,0,2,0,1,
185,2,0,0,1,
186,0,0,0,1,
187,0,0,5,0,
188,0,5,4,1,
189,5,4,5,0,
190,4,5,5,0,
191,5,5,1,0,
192,5,1,0,1,
193,1,0,1,1,
194,0,1,4,0,
195,1,4,3,1,
196,4,3,5,-1,
197,3,5,1,-1,
198,5,1,1,1,
199,1,1,4,1,
200,1,4,5,-1,
201,4,5,2,1,
202,5,2,5,1,
203,2,5,0,1,
204,5,0,0,1,
205,0,0,0,1,
206,0,0,4,1,
207,0,4,5,0,
208,4,5,5,0,
209,5,5,3,-1,
210,5,3,1,1,
211,3,1,2,0,
212,1,2,0,0,
213,2,0,1,1,
214,0,1,2,1,
215,1,2,0,1,
216,2,0,3,-1,
217,0,3,1,1,
218,3,1,4,-1,
219,1,4,0,1,
220,4,0,0,1,
221,0,0,3,0,
222,0,3,2,1,
223,3,2,5,1,
224,2,5,2,0,
225,5,2,2,0,
226,2,2,1,0,
227,2,1,2,0,
228,1,2,0,1,
229,2,0,1,0,
230,0,1,2,0,
231,1,2,2,0,
232,2,2,1,1,
233,2,1,1,-1,
234,1,1,4,1,
235,1,4,0,1,
236,4,0,0,1,
237,0,0,0,1,
238,0,0,1,0,
239,0,1,2,1,
240,1,2,3,1,
241,2,3,1,0,
242,3,1,2,0,
243,1,2,3,-1,
244,2,3,3,1,
245,3,3,1,1,
246,3,1,2,0,
247,1,2,0,0,
248,2,0,2,0,
249,0,2,3,0,
250,2,3,5,0,
251,3,5,4,0,
252,5,4,0,1,
253,4,0,2,1,
254,0,2,4,0,
255,2,4,0,0,
256,4,0,3,1,
257,0,3,4,0,
258,3,4,4,0,
259,4,4,4,0,
260,4,4,2,1,
261,4,2,4,-1,
262,2,4,4,0,
263,4,4,3,0,
264,4,3,0,0,
265,3,0,4,0,
266,0,4,0,1,
267,4,0,5,0,
268,0,5,0,1,
269,5,0,5,1,
270,0,5,4,0,
271,5,4,2,1,
272,4,2,0,0,
273,2,0,5,0,
274,0,5,4,-1,
275,5,4,1,1,
276,4,1,1,0,
277,1,1,3,1,
278,1,3,3,0,
279,3,3,4,0,
280,3,4,1,0,
281,4,1,0,1,
282,1,0,1,0,
283,0,1,2,1,
284,1,2,0,0,
285,2,0,4,1,
286,0,4,1,1,
287,4,1,0,0,
288,1,0,5,1,
289,0,5,1,0,
290,5,1,3,0,
291,1,3,4,1,
292,3,4,2,1,
293,4,2,4,1,
294,2,4,1,1,
295,4,1,5,1,
296,1,5,4,1,
297,5,4,5,0,
298,4,5,2,1,
299,5,2,0,0,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
