,s-2,s-1,a,r,none
0,0,11,19,1,
1,11,19,1,1,
2,19,1,11,1,
3,1,11,12,1,
4,11,12,5,0,
5,12,5,4,1,
6,5,4,7,1,
7,4,7,18,1,
8,7,18,10,0,
9,18,10,14,1,
10,10,14,12,0,
11,14,12,4,1,
12,12,4,6,-1,
13,4,6,8,0,
14,6,8,2,1,
15,8,2,8,1,
16,2,8,3,1,
17,8,3,19,1,
18,3,19,4,1,
19,19,4,3,0,
20,4,3,3,0,
21,3,3,13,1,
22,3,13,16,1,
23,13,16,11,-1,
24,16,11,3,0,
25,11,3,13,0,
26,3,13,16,0,
27,13,16,15,0,
28,16,15,17,0,
29,15,17,9,1,
30,17,9,19,1,
31,9,19,13,0,
32,19,13,8,1,
33,13,8,17,1,
34,8,17,4,0,
35,17,4,18,-1,
36,4,18,13,0,
37,18,13,12,1,
38,13,12,11,1,
39,12,11,16,0,
40,11,16,2,1,
41,16,2,12,1,
42,2,12,14,1,
43,12,14,16,1,
44,14,16,0,0,
45,16,0,8,0,
46,0,8,9,1,
47,8,9,2,0,
48,9,2,10,0,
49,2,10,13,0,
50,10,13,4,1,
51,13,4,17,1,
52,4,17,5,0,
53,17,5,5,0,
54,5,5,14,0,
55,5,14,13,0,
56,14,13,18,1,
57,13,18,19,0,
58,18,19,10,1,
59,19,10,19,1,
60,10,19,3,0,
61,19,3,6,1,
62,3,6,12,0,
63,6,12,13,0,
64,12,13,18,-1,
65,13,18,2,1,
66,18,2,17,0,
67,2,17,8,1,
68,17,8,9,0,
69,8,9,15,-1,
70,9,15,14,1,
71,15,14,15,0,
72,14,15,12,0,
73,15,12,15,0,
74,12,15,2,1,
75,15,2,17,1,
76,2,17,15,0,
77,17,15,6,0,
78,15,6,11,-1,
79,6,11,14,0,
80,11,14,8,0,
81,14,8,0,0,
82,8,0,11,-1,
83,0,11,15,0,
84,11,15,15,0,
85,15,15,1,1,
86,15,1,10,0,
87,1,10,0,1,
88,10,0,17,0,
89,0,17,8,-1,
90,17,8,3,0,
91,8,3,13,1,
92,3,13,3,0,
93,13,3,7,0,
94,3,7,2,0,
95,7,2,10,1,
96,2,10,1,-1,
97,10,1,7,1,
98,1,7,14,0,
99,7,14,7,1,
100,14,7,0,1,
101,7,0,16,1,
102,0,16,1,1,
103,16,1,15,0,
104,1,15,13,1,
105,15,13,4,1,
106,13,4,18,0,
107,4,18,5,0,
108,18,5,16,1,
109,5,16,3,1,
110,16,3,14,1,
111,3,14,6,0,
112,14,6,9,1,
113,6,9,1,1,
114,9,1,10,1,
115,1,10,18,0,
116,10,18,6,-1,
117,18,6,15,1,
118,6,15,11,1,
119,15,11,12,1,
120,11,12,2,0,
121,12,2,5,0,
122,2,5,2,1,
123,5,2,19,1,
124,2,19,15,0,
125,19,15,2,0,
126,15,2,4,0,
127,2,4,19,1,
128,4,19,0,1,
129,19,0,2,0,
130,0,2,3,-1,
131,2,3,2,0,
132,3,2,0,0,
133,2,0,16,1,
134,0,16,1,0,
135,16,1,19,1,
136,1,19,7,1,
137,19,7,13,1,
138,7,13,3,-1,
139,13,3,3,0,
140,3,3,17,1,
141,3,17,0,1,
142,17,0,11,1,
143,0,11,5,1,
144,11,5,4,0,
145,5,4,2,1,
146,4,2,3,0,
147,2,3,4,1,
148,3,4,15,0,
149,4,15,16,0,
150,15,16,6,1,
151,16,6,7,1,
152,6,7,11,1,
153,7,11,19,0,
154,11,19,9,1,
155,19,9,0,0,
156,9,0,3,1,
157,0,3,0,0,
158,3,0,18,1,
159,0,18,18,0,
160,18,18,14,1,
161,18,14,16,1,
162,14,16,1,0,
163,16,1,3,1,
164,1,3,16,1,
165,3,16,8,-1,
166,16,8,7,0,
167,8,7,17,0,
168,7,17,9,0,
169,17,9,7,0,
170,9,7,4,0,
171,7,4,13,0,
172,4,13,7,1,
173,13,7,16,0,
174,7,16,10,1,
175,16,10,19,1,
176,10,19,13,1,
177,19,13,2,1,
178,13,2,0,0,
179,2,0,10,1,
180,0,10,12,1,
181,10,12,6,0,
182,12,6,7,1,
183,6,7,7,0,
184,7,7,3,0,
185,7,3,14,1,
186,3,14,17,1,
187,14,17,10,0,
188,17,10,16,1,
189,10,16,14,0,
190,16,14,12,0,
191,14,12,17,1,
192,12,17,13,0,
193,17,13,12,0,
194,13,12,14,1,
195,12,14,16,1,
196,14,16,2,0,
197,16,2,16,1,
198,2,16,4,1,
199,16,4,10,0,
200,4,10,17,0,
201,10,17,11,0,
202,17,11,4,1,
203,11,4,5,-1,
204,4,5,15,1,
205,5,15,10,0,
206,15,10,0,1,
207,10,0,1,0,
208,0,1,18,0,
209,1,18,3,-1,
210,18,3,18,1,
211,3,18,15,0,
212,18,15,11,0,
213,15,11,13,0,
214,11,13,4,0,
215,13,4,5,1,
216,4,5,0,1,
217,5,0,0,1,
218,0,0,11,1,
219,0,11,8,-1,
220,11,8,10,0,
