,0,1,2,3,4
0,0,1,2,1,
1,1,2,1,0,
2,2,1,0,1,
3,1,0,1,0,
4,0,1,4,-1,
5,1,4,1,1,
6,4,1,4,0,
7,1,4,1,0,
8,4,1,3,0,
9,1,3,1,1,
10,3,1,1,1,
11,1,1,3,0,
12,1,3,2,0,
13,3,2,5,1,
14,2,5,0,1,
15,5,0,3,1,
16,0,3,0,1,
17,3,0,3,-1,
18,0,3,1,-1,
19,3,1,4,0,
20,1,4,3,0,
21,4,3,0,1,
22,3,0,0,1,
23,0,0,1,0,
24,0,1,1,1,
25,1,1,3,0,
26,1,3,5,-1,
27,3,5,2,1,
28,5,2,3,0,
29,2,3,5,0,
30,3,5,4,0,
31,5,4,3,1,
32,4,3,2,1,
33,3,2,4,0,
34,2,4,4,0,
35,4,4,1,0,
36,4,1,1,-1,
37,1,1,4,1,
38,1,4,2,1,
39,4,2,4,1,
40,2,4,0,1,
41,4,0,0,1,
42,0,0,1,1,
43,0,1,1,1,
44,1,1,4,1,
45,1,4,2,0,
46,4,2,3,1,
47,2,3,3,0,
48,3,3,2,0,
49,3,2,4,1,
50,2,4,4,0,
51,4,4,0,1,
52,4,0,3,0,
53,0,3,0,1,
54,3,0,4,1,
55,0,4,4,0,
56,4,4,5,1,
57,4,5,0,1,
58,5,0,3,-1,
59,0,3,0,1,
60,3,0,0,1,
61,0,0,1,0,
62,0,1,1,0,
63,1,1,5,1,
64,1,5,0,0,
65,5,0,1,0,
66,0,1,1,0,
67,1,1,5,1,
68,1,5,3,0,
69,5,3,4,1,
70,3,4,4,0,
71,4,4,3,1,
72,4,3,2,0,
73,3,2,4,0,
74,2,4,2,0,
75,4,2,3,-1,
76,2,3,5,0,
77,3,5,1,0,
78,5,1,1,0,
79,1,1,0,1,
80,1,0,3,-1,
81,0,3,0,0,
82,3,0,2,0,
83,0,2,5,1,
84,2,5,4,0,
85,5,4,3,0,
86,4,3,2,1,
87,3,2,0,0,
88,2,0,4,1,
89,0,4,1,0,
90,4,1,5,0,
91,1,5,2,0,
92,5,2,2,1,
93,2,2,0,0,
94,2,0,4,0,
95,0,4,5,-1,
96,4,5,4,1,
97,5,4,5,0,
98,4,5,0,1,
99,5,0,0,1,
100,0,0,4,-1,
101,0,4,1,1,
102,4,1,4,-1,
103,1,4,4,0,
104,4,4,3,0,
105,4,3,1,1,
106,3,1,0,0,
107,1,0,0,0,
108,0,0,3,0,
109,0,3,0,1,
110,3,0,4,1,
111,0,4,1,1,
112,4,1,1,1,
113,1,1,0,1,
114,1,0,3,0,
115,0,3,2,1,
