,s-2,s-1,a,r,none
0,1,4,4,0,
1,4,4,4,0,
2,4,4,1,0,
3,4,1,4,1,
4,1,4,3,0,
5,4,3,1,1,
6,3,1,3,1,
7,1,3,5,0,
8,3,5,4,1,
9,5,4,3,1,
10,4,3,4,0,
11,3,4,1,1,
12,4,1,4,-1,
13,1,4,4,0,
14,4,4,3,0,
15,4,3,2,0,
16,3,2,1,1,
17,2,1,2,1,
18,1,2,5,1,
19,2,5,3,0,
20,5,3,2,1,
21,3,2,1,1,
22,2,1,1,1,
23,1,1,5,1,
24,1,5,0,0,
25,5,0,0,1,
26,0,0,4,1,
27,0,4,1,1,
28,4,1,1,1,
29,1,1,4,1,
30,1,4,1,0,
31,4,1,1,1,
32,1,1,3,1,
33,1,3,5,1,
34,3,5,3,0,
35,5,3,5,1,
36,3,5,0,0,
37,5,0,4,0,
38,0,4,4,0,
39,4,4,4,0,
40,4,4,5,1,
41,4,5,1,1,
42,5,1,0,0,
43,1,0,0,1,
44,0,0,3,0,
45,0,3,5,0,
46,3,5,3,1,
47,5,3,2,1,
48,3,2,1,1,
49,2,1,4,1,
50,1,4,0,1,
51,4,0,1,1,
52,0,1,1,1,
53,1,1,0,0,
54,1,0,5,0,
55,0,5,3,-1,
56,5,3,0,1,
57,3,0,4,1,
58,0,4,4,0,
59,4,4,3,1,
60,4,3,0,1,
61,3,0,2,1,
62,0,2,5,0,
63,2,5,1,1,
64,5,1,4,1,
65,1,4,2,1,
66,4,2,3,0,
67,2,3,0,0,
68,3,0,4,1,
69,0,4,1,0,
70,4,1,3,0,
71,1,3,4,-1,
72,3,4,4,0,
73,4,4,3,-1,
74,4,3,1,1,
75,3,1,5,1,
76,1,5,0,0,
77,5,0,0,1,
78,0,0,4,0,
79,0,4,0,0,
80,4,0,4,1,
81,0,4,4,0,
82,4,4,2,0,
83,4,2,5,-1,
84,2,5,2,1,
85,5,2,2,0,
86,2,2,2,0,
87,2,2,1,1,
88,2,1,5,1,
89,1,5,3,0,
90,5,3,0,0,
91,3,0,2,0,
92,0,2,2,0,
93,2,2,1,0,
94,2,1,5,1,
95,1,5,3,0,
96,5,3,2,0,
97,3,2,1,1,
98,2,1,2,0,
99,1,2,0,1,
100,2,0,0,1,
101,0,0,1,0,
102,0,1,5,0,
103,1,5,0,1,
104,5,0,3,0,
105,0,3,1,-1,
106,3,1,4,0,
107,1,4,3,-1,
108,4,3,5,0,
109,3,5,3,1,
110,5,3,1,0,
111,3,1,1,1,
112,1,1,5,-1,
113,1,5,1,0,
114,5,1,4,0,
115,1,4,2,0,
116,4,2,1,0,
117,2,1,5,0,
118,1,5,2,1,
119,5,2,4,1,
120,2,4,1,0,
121,4,1,5,1,
122,1,5,2,0,
123,5,2,5,0,
124,2,5,5,0,
125,5,5,4,1,
126,5,4,3,0,
127,4,3,5,0,
128,3,5,4,1,
129,5,4,0,1,
130,4,0,1,0,
131,0,1,3,0,
132,1,3,5,0,
133,3,5,2,0,
134,5,2,1,1,
135,2,1,0,0,
136,1,0,2,1,
137,0,2,3,1,
138,2,3,5,1,
139,3,5,4,1,
140,5,4,3,1,
141,4,3,1,0,
142,3,1,5,0,
143,1,5,5,0,
144,5,5,3,0,
145,5,3,2,0,
146,3,2,2,0,
147,2,2,0,0,
148,2,0,4,0,
149,0,4,1,1,
150,4,1,3,0,
151,1,3,0,1,
152,3,0,4,1,
153,0,4,2,0,
154,4,2,5,0,
155,2,5,2,1,
156,5,2,4,1,
157,2,4,5,0,
158,4,5,3,0,
159,5,3,5,0,
160,3,5,3,0,
161,5,3,2,1,
162,3,2,5,0,
163,2,5,1,0,
164,5,1,2,0,
165,1,2,5,1,
166,2,5,2,0,
167,5,2,4,0,
168,2,4,1,0,
169,4,1,5,0,
170,1,5,5,0,
171,5,5,2,1,
172,5,2,4,-1,
173,2,4,1,0,
174,4,1,1,0,
175,1,1,2,1,
176,1,2,4,0,
177,2,4,3,0,
178,4,3,1,0,
179,3,1,0,1,
180,1,0,4,1,
181,0,4,1,0,
182,4,1,1,0,
183,1,1,5,0,
184,1,5,0,0,
185,5,0,3,0,
186,0,3,0,0,
187,3,0,4,1,
188,0,4,0,0,
189,4,0,2,1,
190,0,2,2,1,
191,2,2,3,0,
192,2,3,5,0,
193,3,5,4,1,
194,5,4,0,1,
195,4,0,3,0,
196,0,3,2,1,
197,3,2,4,0,
198,2,4,3,0,
199,4,3,1,0,
200,3,1,3,1,
201,1,3,0,1,
202,3,0,4,1,
203,0,4,0,1,
204,4,0,2,0,
205,0,2,2,0,
206,2,2,1,1,
207,2,1,1,1,
208,1,1,5,0,
209,1,5,4,0,
210,5,4,3,1,
211,4,3,3,1,
212,3,3,5,-1,
213,3,5,4,1,
214,5,4,3,0,
215,4,3,1,1,
216,3,1,5,1,
217,1,5,2,0,
218,5,2,5,0,
219,2,5,1,0,
220,5,1,2,0,
221,1,2,4,0,
222,2,4,4,0,
223,4,4,5,0,
224,4,5,1,0,
225,5,1,4,0,
226,1,4,2,1,
227,4,2,0,0,
228,2,0,0,1,
229,0,0,2,1,
230,0,2,0,1,
231,2,0,0,1,
232,0,0,3,0,
233,0,3,1,1,
234,3,1,5,1,
235,1,5,2,1,
236,5,2,1,0,
237,2,1,1,1,
238,1,1,3,1,
239,1,3,0,0,
240,3,0,4,0,
241,0,4,4,0,
242,4,4,0,1,
243,4,0,3,0,
244,0,3,4,1,
245,3,4,2,0,
246,4,2,5,1,
247,2,5,2,1,
248,5,2,2,0,
249,2,2,1,1,
250,2,1,1,0,
251,1,1,2,1,
252,1,2,5,1,
253,2,5,3,1,
254,5,3,2,1,
255,3,2,0,0,
256,2,0,1,0,
257,0,1,2,1,
258,1,2,1,0,
259,2,1,1,0,
260,1,1,0,0,
