,s-2,s-1,a,r,none
0,0,3,0,1,
1,3,0,2,1,
2,0,2,2,0,
3,2,2,3,-1,
4,2,3,0,0,
5,3,0,2,1,
6,0,2,0,1,
7,2,0,3,0,
8,0,3,0,1,
9,3,0,0,1,
10,0,0,3,0,
11,0,3,5,0,
12,3,5,0,1,
13,5,0,1,0,
14,0,1,2,0,
15,1,2,0,0,
16,2,0,5,-1,
17,0,5,1,0,
18,5,1,5,0,
19,1,5,1,0,
20,5,1,2,0,
21,1,2,1,1,
22,2,1,4,0,
23,1,4,0,0,
24,4,0,4,1,
25,0,4,1,0,
26,4,1,5,0,
27,1,5,4,1,
28,5,4,4,0,
29,4,4,3,-1,
30,4,3,2,0,
31,3,2,0,1,
32,2,0,4,0,
33,0,4,4,0,
34,4,4,0,1,
35,4,0,5,-1,
36,0,5,0,1,
37,5,0,3,1,
38,0,3,3,1,
39,3,3,0,1,
40,3,0,2,1,
41,0,2,5,1,
42,2,5,5,0,
43,5,5,0,0,
44,5,0,4,0,
45,0,4,1,0,
46,4,1,1,0,
47,1,1,1,1,
48,1,1,2,0,
49,1,2,1,1,
50,2,1,0,-1,
51,1,0,1,0,
52,0,1,5,0,
53,1,5,5,0,
54,5,5,1,0,
55,5,1,4,1,
56,1,4,0,1,
57,4,0,4,0,
58,0,4,5,0,
59,4,5,0,0,
60,5,0,2,-1,
61,0,2,2,0,
62,2,2,5,0,
63,2,5,1,1,
64,5,1,5,1,
65,1,5,0,1,
66,5,0,2,0,
67,0,2,2,0,
68,2,2,1,0,
69,2,1,2,1,
70,1,2,0,0,
71,2,0,1,1,
72,0,1,3,0,
73,1,3,2,1,
74,3,2,5,0,
75,2,5,5,0,
76,5,5,1,-1,
77,5,1,5,1,
78,1,5,4,1,
79,5,4,1,0,
80,4,1,1,-1,
81,1,1,2,0,
82,1,2,3,1,
83,2,3,3,1,
84,3,3,0,0,
85,3,0,2,0,
86,0,2,3,0,
87,2,3,5,0,
88,3,5,5,0,
89,5,5,4,1,
90,5,4,0,0,
91,4,0,4,0,
92,0,4,1,1,
93,4,1,3,0,
94,1,3,3,1,
95,3,3,5,0,
96,3,5,4,1,
97,5,4,3,0,
98,4,3,1,0,
99,3,1,3,-1,
100,1,3,3,0,
101,3,3,1,-1,
102,3,1,0,0,
103,1,0,2,1,
104,0,2,5,0,
105,2,5,2,0,
106,5,2,3,0,
107,2,3,3,1,
108,3,3,3,0,
109,3,3,3,1,
110,3,3,2,1,
111,3,2,0,0,
112,2,0,3,0,
113,0,3,4,0,
114,3,4,3,1,
115,4,3,4,-1,
116,3,4,1,0,
117,4,1,3,-1,
118,1,3,3,1,
119,3,3,2,1,
120,3,2,5,0,
121,2,5,4,0,
122,5,4,5,1,
123,4,5,1,0,
124,5,1,4,1,
125,1,4,5,1,
126,4,5,5,0,
127,5,5,4,1,
128,5,4,0,1,
129,4,0,3,1,
130,0,3,0,1,
131,3,0,0,1,
132,0,0,5,1,
133,0,5,1,0,
134,5,1,5,0,
135,1,5,4,1,
136,5,4,4,0,
137,4,4,2,0,
138,4,2,1,1,
139,2,1,1,0,
140,1,1,2,0,
141,1,2,1,1,
142,2,1,3,0,
143,1,3,5,0,
144,3,5,2,0,
145,5,2,3,0,
146,2,3,3,1,
147,3,3,2,0,
148,3,2,0,0,
149,2,0,2,0,
150,0,2,5,1,
151,2,5,1,0,
152,5,1,0,1,
153,1,0,0,1,
154,0,0,5,-1,
155,0,5,1,1,
156,5,1,3,0,
157,1,3,1,0,
158,3,1,1,-1,
159,1,1,1,0,
160,1,1,0,0,
161,1,0,1,1,
162,0,1,1,0,
163,1,1,5,1,
164,1,5,4,-1,
165,5,4,2,1,
166,4,2,1,0,
167,2,1,2,1,
168,1,2,1,0,
169,2,1,2,0,
170,1,2,1,1,
171,2,1,3,1,
172,1,3,5,0,
173,3,5,1,0,
174,5,1,0,0,
175,1,0,2,1,
176,0,2,4,1,
177,2,4,0,0,
178,4,0,3,0,
179,0,3,2,0,
180,3,2,4,1,
181,2,4,1,0,
182,4,1,2,1,
183,1,2,1,0,
184,2,1,3,1,
185,1,3,2,0,
186,3,2,2,1,
187,2,2,2,0,
188,2,2,0,1,
189,2,0,1,1,
190,0,1,3,1,
191,1,3,5,0,
192,3,5,5,0,
193,5,5,4,0,
194,5,4,0,1,
195,4,0,3,0,
196,0,3,1,0,
197,3,1,4,0,
198,1,4,5,-1,
199,4,5,3,0,
200,5,3,0,0,
201,3,0,0,1,
202,0,0,5,0,
203,0,5,4,0,
204,5,4,4,0,
205,4,4,4,0,
206,4,4,4,0,
207,4,4,3,0,
208,4,3,4,0,
209,3,4,1,1,
210,4,1,2,-1,
211,1,2,3,-1,
212,2,3,3,1,
213,3,3,2,0,
214,3,2,1,1,
215,2,1,4,0,
216,1,4,3,1,
217,4,3,2,0,
218,3,2,4,-1,
219,2,4,5,1,
220,4,5,1,0,
221,5,1,2,0,
222,1,2,5,-1,
223,2,5,1,0,
224,5,1,3,1,
225,1,3,2,1,
226,3,2,2,0,
227,2,2,0,1,
228,2,0,0,1,
229,0,0,3,1,
230,0,3,5,0,
231,3,5,4,1,
232,5,4,5,1,
233,4,5,1,0,
234,5,1,5,1,
235,1,5,0,1,
236,5,0,5,1,
237,0,5,1,1,
238,5,1,4,1,
239,1,4,3,1,
240,4,3,5,1,
241,3,5,3,0,
242,5,3,3,1,
243,3,3,2,0,
244,3,2,2,0,
245,2,2,5,0,
246,2,5,1,1,
247,5,1,3,1,
248,1,3,3,1,
249,3,3,3,0,
250,3,3,0,1,
251,3,0,0,0,
252,0,0,0,1,
253,0,0,5,0,
254,0,5,1,0,
255,5,1,4,1,
256,1,4,1,0,
257,4,1,0,1,
258,1,0,0,1,
259,0,0,3,0,
260,0,3,0,0,
261,3,0,5,0,
262,0,5,3,0,
263,5,3,4,-1,
264,3,4,0,0,
265,4,0,3,0,
266,0,3,3,1,
267,3,3,0,1,
268,3,0,2,0,
269,0,2,1,0,
270,2,1,1,1,
271,1,1,4,1,
272,1,4,3,0,
273,4,3,1,0,
274,3,1,0,0,
275,1,0,0,1,
276,0,0,0,1,
277,0,0,1,0,
278,0,1,5,1,
279,1,5,1,0,
280,5,1,4,-1,
281,1,4,3,0,
282,4,3,3,0,
283,3,3,0,1,
284,3,0,2,0,
285,0,2,5,1,
286,2,5,5,0,
287,5,5,4,0,
288,5,4,5,1,
289,4,5,5,0,
290,5,5,2,1,
291,5,2,3,1,
292,2,3,3,1,
293,3,3,0,0,
294,3,0,0,1,
295,0,0,0,1,
296,0,0,3,0,
297,0,3,2,1,
298,3,2,4,0,
299,2,4,1,-1,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
