,0,1,2,3,4
0,5,4,4,0,
1,4,4,5,0,
2,4,5,4,0,
3,5,4,1,0,
4,4,1,4,0,
5,1,4,2,1,
6,4,2,4,-1,
7,2,4,1,0,
8,4,1,5,-1,
9,1,5,5,0,
10,5,5,2,1,
11,5,2,4,1,
12,2,4,1,0,
13,4,1,1,0,
14,1,1,4,1,
15,1,4,2,1,
16,4,2,0,1,
17,2,0,3,0,
18,0,3,0,1,
19,3,0,2,1,
20,0,2,5,0,
21,2,5,5,0,
22,5,5,2,1,
23,5,2,4,-1,
24,2,4,0,0,
25,4,0,3,0,
26,0,3,3,0,
27,3,3,4,1,
28,3,4,5,1,
29,4,5,0,1,
30,5,0,4,-1,
31,0,4,0,1,
32,4,0,0,1,
33,0,0,5,1,
34,0,5,2,0,
35,5,2,2,0,
36,2,2,3,0,
37,2,3,2,1,
38,3,2,5,0,
39,2,5,5,0,
40,5,5,2,0,
41,5,2,5,0,
42,2,5,0,1,
43,5,0,2,1,
44,0,2,1,1,
45,2,1,1,1,
46,1,1,2,1,
47,1,2,5,1,
48,2,5,4,1,
49,5,4,0,0,
50,4,0,4,0,
51,0,4,2,0,
52,4,2,3,0,
53,2,3,4,1,
54,3,4,2,1,
55,4,2,3,0,
56,2,3,1,1,
57,3,1,3,0,
58,1,3,1,0,
59,3,1,3,0,
60,1,3,0,0,
61,3,0,2,0,
62,0,2,0,1,
63,2,0,5,0,
64,0,5,2,0,
65,5,2,5,1,
66,2,5,0,1,
67,5,0,1,0,
68,0,1,0,0,
69,1,0,1,0,
70,0,1,4,1,
71,1,4,2,1,
72,4,2,0,0,
73,2,0,4,-1,
74,0,4,5,-1,
75,4,5,0,1,
76,5,0,2,1,
77,0,2,1,1,
78,2,1,2,0,
79,1,2,1,0,
80,2,1,4,0,
81,1,4,2,0,
82,4,2,3,0,
83,2,3,1,0,
84,3,1,0,1,
85,1,0,5,0,
86,0,5,5,0,
87,5,5,0,1,
88,5,0,5,0,
89,0,5,4,1,
90,5,4,5,1,
91,4,5,0,0,
92,5,0,2,1,
93,0,2,5,1,
94,2,5,5,0,
95,5,5,2,1,
96,5,2,5,1,
97,2,5,3,1,
98,5,3,3,0,
99,3,3,0,0,
100,3,0,3,1,
101,0,3,4,1,
102,3,4,5,0,
103,4,5,3,0,
104,5,3,0,1,
105,3,0,5,0,
106,0,5,4,1,
107,5,4,2,1,
108,4,2,1,0,
109,2,1,0,1,
110,1,0,3,0,
111,0,3,5,-1,
112,3,5,4,1,
113,5,4,1,0,
114,4,1,4,1,
115,1,4,2,1,
116,4,2,5,1,
117,2,5,0,1,
118,5,0,2,0,
119,0,2,4,0,
120,2,4,2,1,
121,4,2,2,0,
122,2,2,4,0,
123,2,4,2,0,
124,4,2,2,0,
125,2,2,2,0,
126,2,2,5,-1,
127,2,5,3,0,
128,5,3,0,1,
129,3,0,2,1,
130,0,2,5,-1,
131,2,5,0,0,
132,5,0,4,0,
133,0,4,0,0,
134,4,0,1,1,
135,0,1,0,0,
136,1,0,3,0,
137,0,3,3,0,
138,3,3,4,0,
139,3,4,1,0,
140,4,1,0,0,
141,1,0,4,1,
142,0,4,2,0,
143,4,2,5,0,
144,2,5,5,0,
145,5,5,2,1,
146,5,2,3,0,
147,2,3,3,0,
148,3,3,1,-1,
149,3,1,4,1,
150,1,4,3,1,
151,4,3,0,1,
152,3,0,2,0,
153,0,2,4,1,
154,2,4,2,0,
155,4,2,4,0,
156,2,4,1,1,
157,4,1,3,0,
158,1,3,5,0,
159,3,5,4,1,
160,5,4,2,1,
161,4,2,0,1,
162,2,0,4,-1,
163,0,4,4,0,
164,4,4,0,0,
165,4,0,5,-1,
166,0,5,4,-1,
167,5,4,0,1,
168,4,0,3,1,
169,0,3,4,1,
170,3,4,1,1,
171,4,1,2,0,
172,1,2,5,0,
173,2,5,4,0,
174,5,4,5,1,
175,4,5,0,1,
176,5,0,0,1,
177,0,0,5,0,
178,0,5,1,1,
179,5,1,2,0,
180,1,2,3,0,
181,2,3,4,1,
182,3,4,0,0,
183,4,0,5,1,
184,0,5,5,0,
185,5,5,0,1,
186,5,0,2,1,
187,0,2,5,0,
188,2,5,1,0,
189,5,1,5,0,
