,s-2,s-1,a,r,none
0,3,14,19,0,
1,14,19,19,-1,
2,19,19,19,1,
3,19,19,19,0,
4,19,19,19,0,
5,19,19,19,-1,
6,19,19,19,0,
7,19,19,19,0,
8,19,19,19,-1,
9,19,19,19,1,
10,19,19,19,0,
11,19,19,0,0,
12,19,0,19,1,
13,0,19,19,0,
14,19,19,19,0,
15,19,19,1,1,
16,19,1,-1,0,
17,1,-1,1,1,
18,-1,1,19,0,
19,1,19,19,1,
20,19,19,0,0,
21,19,0,-1,0,
22,0,-1,19,1,
23,-1,19,0,0,
24,19,0,19,0,
25,0,19,0,0,
26,19,0,19,1,
27,0,19,0,1,
28,19,0,19,1,
29,0,19,0,1,
30,19,0,19,0,
31,0,19,-1,-1,
32,19,-1,19,0,
33,-1,19,0,1,
34,19,0,19,1,
35,0,19,0,0,
36,19,0,19,0,
37,0,19,0,1,
38,19,0,19,0,
39,0,19,0,0,
40,19,0,19,0,
41,0,19,0,0,
42,19,0,19,1,
43,0,19,0,1,
44,19,0,19,0,
45,0,19,0,1,
46,19,0,19,1,
47,0,19,0,0,
48,19,0,19,0,
49,0,19,0,1,
50,19,0,1,1,
51,0,1,19,1,
52,1,19,0,-1,
53,19,0,1,1,
54,0,1,19,1,
55,1,19,0,1,
56,19,0,19,0,
57,0,19,0,0,
58,19,0,19,0,
59,0,19,0,1,
60,19,0,0,1,
61,0,0,19,1,
62,0,19,19,1,
63,19,19,0,1,
64,19,0,0,1,
65,0,0,19,0,
66,0,19,0,1,
67,19,0,0,1,
68,0,0,19,1,
69,0,19,19,1,
70,19,19,0,0,
71,19,0,0,1,
72,0,0,19,1,
73,0,19,19,-1,
74,19,19,0,1,
75,19,0,0,1,
76,0,0,0,1,
77,0,0,19,0,
78,0,19,19,1,
79,19,19,0,1,
80,19,0,1,0,
81,0,1,19,0,
82,1,19,0,1,
83,19,0,0,1,
84,0,0,19,0,
85,0,19,0,1,
86,19,0,0,1,
87,0,0,0,1,
88,0,0,19,0,
89,0,19,0,1,
90,19,0,0,1,
91,0,0,19,0,
92,0,19,0,1,
93,19,0,0,1,
94,0,0,19,1,
95,0,19,0,1,
96,19,0,0,1,
97,0,0,1,0,
98,0,1,19,0,
99,1,19,0,0,
100,19,0,0,1,
101,0,0,0,1,
102,0,0,0,1,
103,0,0,0,1,
104,0,0,0,1,
105,0,0,0,1,
106,0,0,0,1,
107,0,0,0,1,
108,0,0,0,1,
109,0,0,0,0,
110,0,0,0,0,
111,0,0,0,0,
112,0,0,0,1,
113,0,0,0,1,
114,0,0,1,1,
115,0,1,19,0,
116,1,19,1,0,
117,19,1,0,1,
118,1,0,0,1,
119,0,0,0,1,
120,0,0,0,1,
121,0,0,0,1,
122,0,0,-1,0,
123,0,-1,0,0,
124,-1,0,1,1,
125,0,1,19,0,
126,1,19,0,1,
127,19,0,-1,1,
128,0,-1,0,1,
129,-1,0,0,1,
130,0,0,0,1,
131,0,0,0,1,
132,0,0,0,1,
133,0,0,-1,0,
134,0,-1,0,0,
135,-1,0,0,1,
136,0,0,1,0,
137,0,1,19,1,
138,1,19,0,0,
139,19,0,0,1,
140,0,0,0,1,
141,0,0,0,1,
142,0,0,0,1,
143,0,0,0,1,
144,0,0,0,1,
145,0,0,0,1,
146,0,0,0,0,
147,0,0,0,-1,
148,0,0,0,0,
149,0,0,0,0,
150,0,0,0,0,
151,0,0,0,-1,
152,0,0,0,0,
153,0,0,0,0,
154,0,0,1,1,
155,0,1,0,1,
156,1,0,0,1,
157,0,0,0,1,
158,0,0,-1,1,
159,0,-1,0,0,
160,-1,0,0,1,
161,0,0,0,1,
162,0,0,0,1,
163,0,0,0,1,
164,0,0,0,1,
165,0,0,0,1,
166,0,0,0,0,
167,0,0,1,0,
168,0,1,0,1,
169,1,0,1,0,
170,0,1,0,0,
171,1,0,1,0,
172,0,1,0,1,
173,1,0,-1,1,
174,0,-1,2,0,
175,-1,2,0,0,
176,2,0,1,1,
177,0,1,-1,0,
178,1,-1,2,-1,
179,-1,2,0,0,
180,2,0,0,1,
181,0,0,0,1,
182,0,0,0,1,
183,0,0,1,1,
184,0,1,19,1,
185,1,19,19,1,
186,19,19,0,0,
187,19,0,0,1,
188,0,0,0,1,
189,0,0,0,1,
190,0,0,0,1,
191,0,0,0,1,
192,0,0,0,1,
193,0,0,0,1,
194,0,0,0,1,
195,0,0,0,0,
196,0,0,0,1,
197,0,0,-1,-1,
198,0,-1,1,1,
199,-1,1,19,-1,
200,1,19,19,-1,
201,19,19,1,1,
202,19,1,1,1,
203,1,1,0,0,
204,1,0,-1,0,
205,0,-1,0,0,
206,-1,0,0,1,
