,s-2,s-1,a,r,none
0,2,3,5,0,
1,3,5,5,0,
2,5,5,1,0,
3,5,1,0,1,
4,1,0,0,1,
5,0,0,5,-1,
6,0,5,4,0,
7,5,4,2,0,
8,4,2,1,0,
9,2,1,3,1,
10,1,3,0,1,
11,3,0,2,1,
12,0,2,5,1,
13,2,5,3,1,
14,5,3,3,0,
15,3,3,1,1,
16,3,1,1,-1,
17,1,1,2,0,
18,1,2,0,1,
19,2,0,3,-1,
20,0,3,4,0,
21,3,4,5,0,
22,4,5,4,1,
23,5,4,1,0,
24,4,1,3,0,
25,1,3,2,0,
26,3,2,0,1,
27,2,0,1,1,
28,0,1,3,0,
29,1,3,2,1,
30,3,2,3,0,
31,2,3,4,1,
32,3,4,0,0,
33,4,0,3,1,
34,0,3,1,0,
35,3,1,1,1,
36,1,1,1,1,
37,1,1,0,0,
38,1,0,0,1,
39,0,0,3,0,
40,0,3,1,0,
41,3,1,0,1,
42,1,0,1,1,
43,0,1,1,0,
44,1,1,0,1,
45,1,0,0,1,
46,0,0,1,0,
47,0,1,1,0,
48,1,1,1,0,
49,1,1,2,0,
50,1,2,5,0,
51,2,5,1,1,
52,5,1,0,0,
53,1,0,3,0,
54,0,3,2,1,
55,3,2,3,0,
56,2,3,0,1,
57,3,0,3,0,
58,0,3,2,0,
59,3,2,2,0,
60,2,2,4,1,
61,2,4,5,0,
62,4,5,4,-1,
63,5,4,2,0,
64,4,2,0,0,
65,2,0,2,0,
66,0,2,3,1,
67,2,3,3,1,
68,3,3,1,1,
69,3,1,5,1,
70,1,5,2,0,
71,5,2,3,0,
72,2,3,3,1,
73,3,3,2,-1,
74,3,2,0,1,
75,2,0,1,1,
76,0,1,3,0,
77,1,3,3,0,
78,3,3,2,0,
79,3,2,3,1,
80,2,3,2,0,
81,3,2,2,0,
82,2,2,1,0,
83,2,1,3,1,
84,1,3,4,1,
85,3,4,5,1,
86,4,5,1,0,
87,5,1,2,0,
88,1,2,0,1,
89,2,0,5,0,
90,0,5,0,1,
91,5,0,3,1,
92,0,3,2,0,
93,3,2,4,1,
94,2,4,4,0,
95,4,4,5,0,
96,4,5,0,1,
97,5,0,0,1,
98,0,0,3,1,
99,0,3,2,1,
100,3,2,2,0,
101,2,2,4,0,
102,2,4,1,-1,
103,4,1,2,1,
104,1,2,4,0,
105,2,4,2,1,
106,4,2,5,1,
107,2,5,2,0,
108,5,2,5,0,
109,2,5,2,1,
110,5,2,4,-1,
111,2,4,1,1,
112,4,1,4,0,
113,1,4,5,0,
114,4,5,3,0,
115,5,3,1,1,
116,3,1,3,0,
117,1,3,4,0,
118,3,4,2,0,
119,4,2,0,0,
120,2,0,1,0,
121,0,1,2,1,
122,1,2,2,0,
123,2,2,4,0,
124,2,4,3,0,
125,4,3,5,1,
126,3,5,2,1,
127,5,2,1,0,
128,2,1,0,1,
129,1,0,3,0,
130,0,3,3,0,
131,3,3,1,0,
132,3,1,4,1,
133,1,4,4,0,
134,4,4,2,0,
135,4,2,3,0,
136,2,3,2,1,
137,3,2,5,0,
138,2,5,1,0,
139,5,1,0,0,
140,1,0,1,1,
141,0,1,2,1,
142,1,2,1,0,
143,2,1,0,1,
144,1,0,5,0,
145,0,5,1,0,
146,5,1,0,1,
147,1,0,0,1,
148,0,0,0,1,
149,0,0,0,1,
150,0,0,0,1,
151,0,0,0,1,
152,0,0,1,1,
153,0,1,5,0,
154,1,5,4,0,
155,5,4,3,1,
156,4,3,0,1,
157,3,0,3,1,
158,0,3,2,1,
159,3,2,5,0,
160,2,5,3,0,
161,5,3,4,0,
162,3,4,1,0,
163,4,1,2,1,
164,1,2,0,1,
165,2,0,0,0,
166,0,0,0,0,
167,0,0,1,0,
168,0,1,5,1,
169,1,5,3,1,
170,5,3,3,1,
171,3,3,5,1,
172,3,5,1,-1,
