,s-2,s-1,a,r,none
0,7,10,6,1,
1,10,6,12,1,
2,6,12,19,0,
3,12,19,9,1,
4,19,9,0,0,
5,9,0,4,1,
6,0,4,8,0,
7,4,8,14,1,
8,8,14,0,1,
9,14,0,19,1,
10,0,19,16,1,
11,19,16,0,1,
12,16,0,12,1,
13,0,12,4,1,
14,12,4,0,1,
15,4,0,0,1,
16,0,0,7,1,
17,0,7,19,0,
18,7,19,0,0,
19,19,0,0,1,
20,0,0,12,0,
21,0,12,6,1,
22,12,6,10,0,
23,6,10,2,0,
24,10,2,0,1,
25,2,0,11,1,
26,0,11,17,0,
27,11,17,10,0,
28,17,10,8,1,
29,10,8,0,1,
30,8,0,17,-1,
31,0,17,14,1,
32,17,14,6,1,
33,14,6,0,0,
34,6,0,17,0,
35,0,17,16,1,
36,17,16,9,0,
37,16,9,14,0,
38,9,14,0,1,
39,14,0,10,1,
40,0,10,4,1,
41,10,4,0,1,
42,4,0,19,0,
43,0,19,10,1,
44,19,10,15,1,
45,10,15,0,1,
46,15,0,0,1,
47,0,0,19,1,
48,0,19,11,0,
49,19,11,19,0,
50,11,19,10,1,
51,19,10,15,0,
52,10,15,14,1,
53,15,14,4,1,
54,14,4,16,0,
55,4,16,0,0,
56,16,0,12,1,
57,0,12,1,1,
58,12,1,0,1,
59,1,0,19,1,
60,0,19,15,1,
61,19,15,18,0,
62,15,18,16,0,
63,18,16,15,1,
64,16,15,0,1,
65,15,0,0,1,
66,0,0,16,0,
67,0,16,13,0,
68,16,13,0,1,
69,13,0,7,1,
70,0,7,6,1,
71,7,6,0,1,
72,6,0,19,0,
73,0,19,16,0,
74,19,16,0,1,
75,16,0,12,1,
76,0,12,18,1,
77,12,18,0,0,
78,18,0,0,1,
79,0,0,19,0,
80,0,19,16,0,
81,19,16,0,0,
82,16,0,0,1,
83,0,0,19,0,
84,0,19,4,1,
85,19,4,15,1,
86,4,15,19,0,
87,15,19,16,1,
88,19,16,0,0,
89,16,0,0,1,
90,0,0,0,1,
91,0,0,0,1,
92,0,0,16,1,
93,0,16,0,1,
94,16,0,19,1,
95,0,19,0,1,
96,19,0,19,0,
97,0,19,12,-1,
98,19,12,19,1,
99,12,19,17,1,
100,19,17,19,1,
101,17,19,6,0,
102,19,6,3,0,
103,6,3,17,1,
104,3,17,3,1,
105,17,3,19,0,
106,3,19,8,0,
107,19,8,4,1,
108,8,4,15,1,
109,4,15,4,-1,
110,15,4,19,0,
111,4,19,4,-1,
112,19,4,3,1,
113,4,3,6,1,
114,3,6,5,0,
115,6,5,11,0,
116,5,11,7,1,
117,11,7,19,1,
118,7,19,7,1,
119,19,7,9,-1,
120,7,9,0,1,
121,9,0,19,1,
122,0,19,9,0,
123,19,9,19,0,
124,9,19,1,1,
125,19,1,6,0,
126,1,6,19,1,
127,6,19,19,0,
128,19,19,19,0,
129,19,19,19,1,
130,19,19,19,0,
131,19,19,19,-1,
132,19,19,12,1,
133,19,12,19,0,
134,12,19,19,0,
135,19,19,19,1,
136,19,19,19,0,
137,19,19,19,0,
138,19,19,16,0,
139,19,16,1,0,
140,16,1,2,0,
141,1,2,19,1,
142,2,19,19,1,
143,19,19,1,0,
144,19,1,11,0,
145,1,11,5,1,
146,11,5,19,1,
147,5,19,19,1,
148,19,19,19,0,
149,19,19,14,0,
150,19,14,19,1,
151,14,19,17,1,
152,19,17,19,1,
153,17,19,11,0,
154,19,11,19,1,
155,11,19,2,1,
156,19,2,19,1,
157,2,19,19,1,
158,19,19,19,1,
159,19,19,19,-1,
160,19,19,19,0,
161,19,19,16,0,
162,19,16,13,1,
163,16,13,19,0,
164,13,19,17,0,
165,19,17,8,0,
166,17,8,19,0,
167,8,19,10,-1,
168,19,10,19,1,
169,10,19,19,0,
170,19,19,19,0,
171,19,19,19,0,
172,19,19,1,1,
173,19,1,19,1,
174,1,19,19,-1,
175,19,19,2,0,
176,19,2,19,1,
177,2,19,2,0,
178,19,2,3,1,
179,2,3,19,1,
180,3,19,0,1,
181,19,0,19,1,
182,0,19,0,1,
183,19,0,19,0,
184,0,19,0,1,
185,19,0,19,0,
186,0,19,5,0,
187,19,5,19,0,
188,5,19,18,1,
189,19,18,0,1,
190,18,0,19,1,
191,0,19,0,0,
192,19,0,1,1,
193,0,1,13,1,
194,1,13,19,1,
195,13,19,1,0,
196,19,1,8,-1,
197,1,8,15,0,
198,8,15,0,0,
199,15,0,19,1,
200,0,19,12,0,
201,19,12,14,0,
202,12,14,0,1,
203,14,0,19,1,
204,0,19,0,0,
205,19,0,19,0,
206,0,19,8,1,
207,19,8,19,0,
208,8,19,0,0,
209,19,0,19,0,
210,0,19,0,1,
211,19,0,0,1,
212,0,0,19,0,
213,0,19,9,0,
214,19,9,0,0,
215,9,0,19,1,
216,0,19,0,1,
217,19,0,0,1,
218,0,0,19,0,
219,0,19,18,1,
220,19,18,0,0,
221,18,0,12,0,
222,0,12,14,0,
223,12,14,0,1,
224,14,0,0,1,
225,0,0,19,-1,
226,0,19,0,0,
227,19,0,5,0,
228,0,5,19,0,
229,5,19,0,1,
230,19,0,0,0,
231,0,0,19,1,
232,0,19,0,1,
233,19,0,0,1,
234,0,0,19,0,
235,0,19,6,1,
236,19,6,0,0,
237,6,0,19,0,
238,0,19,0,1,
239,19,0,0,1,
240,0,0,19,1,
241,0,19,0,1,
242,19,0,0,1,
243,0,0,19,0,
244,0,19,0,1,
245,19,0,0,1,
246,0,0,19,0,
247,0,19,0,0,
248,19,0,0,1,
249,0,0,19,1,
250,0,19,0,1,
251,19,0,0,1,
252,0,0,19,1,
253,0,19,0,1,
254,19,0,0,1,
255,0,0,19,1,
256,0,19,0,0,
257,19,0,0,1,
258,0,0,5,1,
259,0,5,19,0,
260,5,19,0,0,
261,19,0,0,1,
262,0,0,16,-1,
263,0,16,0,1,
264,16,0,0,1,
265,0,0,19,0,
266,0,19,6,1,
267,19,6,6,1,
268,6,6,0,0,
269,6,0,18,1,
270,0,18,0,1,
271,18,0,0,1,
272,0,0,0,1,
273,0,0,0,1,
274,0,0,0,1,
