,0,1,2,3,4
287,5,2,2,0,
288,2,2,3,0,
289,2,3,3,1,
290,3,3,3,1,
291,3,3,2,-1,
292,3,2,0,1,
293,2,0,3,1,
294,0,3,3,1,
295,3,3,3,1,
296,3,3,3,1,
297,3,3,3,0,
298,3,3,3,1,
299,3,3,2,1,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
