,s-2,s-1,a,r,none
0,1,0,0,0,
1,0,0,0,-1,
2,0,0,0,1,
3,0,0,0,-1,
4,0,0,0,-1,
5,0,0,3,1,
6,0,3,5,1,
7,3,5,5,-1,
8,5,5,3,1,
9,5,3,5,1,
10,3,5,5,1,
11,5,5,5,-1,
12,5,5,5,1,
13,5,5,5,0,
14,5,5,5,0,
15,5,5,3,1,
16,5,3,5,1,
17,3,5,5,-1,
18,5,5,3,-1,
19,5,3,5,1,
20,3,5,5,-1,
21,5,5,5,1,
22,5,5,5,0,
23,5,5,5,1,
24,5,5,5,-1,
25,5,5,2,-1,
26,5,2,5,1,
27,2,5,0,-1,
28,5,0,5,1,
29,0,5,5,-1,
30,5,5,2,-1,
31,5,2,1,0,
32,2,1,5,0,
33,1,5,5,1,
34,5,5,5,0,
35,5,5,2,-1,
36,5,2,5,1,
37,2,5,5,1,
38,5,5,5,-1,
39,5,5,5,1,
40,5,5,5,1,
41,5,5,5,0,
42,5,5,5,-1,
43,5,5,5,0,
44,5,5,3,1,
45,5,3,5,1,
46,3,5,5,1,
47,5,5,5,1,
48,5,5,5,-1,
49,5,5,5,-1,
50,5,5,5,-1,
51,5,5,5,-1,
52,5,5,5,0,
53,5,5,0,-1,
54,5,0,5,-1,
55,0,5,5,1,
56,5,5,5,1,
57,5,5,5,-1,
58,5,5,2,1,
59,5,2,4,-1,
60,2,4,5,1,
61,4,5,2,0,
62,5,2,5,-1,
63,2,5,2,0,
64,5,2,5,1,
65,2,5,5,-1,
66,5,5,5,1,
67,5,5,3,1,
68,5,3,5,1,
69,3,5,2,0,
70,5,2,5,-1,
71,2,5,5,-1,
72,5,5,5,1,
73,5,5,5,0,
74,5,5,5,-1,
75,5,5,0,-1,
76,5,0,2,1,
77,0,2,5,1,
78,2,5,5,1,
79,5,5,5,-1,
80,5,5,5,0,
81,5,5,0,-1,
82,5,0,4,1,
83,0,4,0,-1,
84,4,0,3,1,
85,0,3,5,1,
86,3,5,5,-1,
87,5,5,5,1,
88,5,5,5,0,
89,5,5,5,-1,
90,5,5,2,1,
91,5,2,5,1,
92,2,5,2,1,
93,5,2,5,0,
94,2,5,2,0,
95,5,2,5,1,
96,2,5,2,0,
97,5,2,5,-1,
98,2,5,2,-1,
99,5,2,5,1,
100,2,5,2,0,
101,5,2,5,1,
102,2,5,2,-1,
103,5,2,0,-1,
104,2,0,5,1,
105,0,5,0,0,
106,5,0,1,0,
107,0,1,4,1,
108,1,4,5,1,
109,4,5,3,1,
110,5,3,2,-1,
111,3,2,5,-1,
112,2,5,2,-1,
113,5,2,5,1,
114,2,5,2,1,
115,5,2,5,0,
116,2,5,2,0,
117,5,2,5,1,
118,2,5,2,-1,
119,5,2,5,1,
120,2,5,2,-1,
121,5,2,5,1,
122,2,5,2,1,
123,5,2,5,1,
124,2,5,2,-1,
125,5,2,5,1,
126,2,5,5,-1,
127,5,5,0,0,
128,5,0,4,1,
129,0,4,5,1,
130,4,5,5,-1,
131,5,5,5,0,
132,5,5,5,-1,
133,5,5,5,-1,
134,5,5,5,-1,
135,5,5,5,-1,
136,5,5,5,-1,
137,5,5,0,-1,
138,5,0,5,1,
139,0,5,5,-1,
140,5,5,2,-1,
141,5,2,5,1,
142,2,5,2,1,
143,5,2,5,1,
144,2,5,2,0,
145,5,2,1,0,
146,2,1,2,-1,
147,1,2,5,0,
148,2,5,1,1,
149,5,1,5,1,
150,1,5,5,0,
151,5,5,2,0,
152,5,2,5,1,
153,2,5,5,1,
154,5,5,2,0,
155,5,2,5,1,
156,2,5,1,-1,
157,5,1,5,1,
158,1,5,5,1,
159,5,5,2,-1,
160,5,2,5,1,
161,2,5,5,-1,
162,5,5,2,-1,
163,5,2,5,1,
164,2,5,5,-1,
165,5,5,1,0,
166,5,1,5,1,
167,1,5,2,1,
168,5,2,5,1,
169,2,5,1,0,
170,5,1,4,1,
171,1,4,5,1,
172,4,5,0,-1,
173,5,0,2,-1,
174,0,2,4,1,
175,2,4,3,0,
176,4,3,5,-1,
177,3,5,1,0,
178,5,1,5,1,
179,1,5,5,1,
180,5,5,2,0,
181,5,2,5,0,
182,2,5,1,0,
183,5,1,5,0,
184,1,5,5,-1,
185,5,5,1,0,
186,5,1,4,1,
187,1,4,5,1,
188,4,5,1,0,
189,5,1,5,1,
190,1,5,5,1,
191,5,5,1,0,
192,5,1,5,-1,
193,1,5,5,-1,
194,5,5,1,1,
195,5,1,5,1,
196,1,5,5,-1,
197,5,5,5,0,
198,5,5,0,-1,
199,5,0,4,1,
200,0,4,0,-1,
201,4,0,5,0,
202,0,5,5,1,
203,5,5,1,0,
204,5,1,5,1,
205,1,5,5,1,
206,5,5,1,0,
207,5,1,5,1,
208,1,5,5,1,
209,5,5,1,1,
210,5,1,5,1,
211,1,5,1,-1,
212,5,1,5,0,
213,1,5,1,0,
214,5,1,5,1,
215,1,5,4,1,
216,5,4,5,1,
217,4,5,2,1,
218,5,2,5,1,
219,2,5,5,-1,
220,5,5,1,0,
221,5,1,3,1,
222,1,3,5,1,
223,3,5,1,0,
224,5,1,5,0,
225,1,5,2,1,
226,5,2,5,1,
227,2,5,4,-1,
228,5,4,5,1,
229,4,5,4,1,
230,5,4,5,-1,
231,4,5,1,1,
232,5,1,4,1,
233,1,4,5,1,
234,4,5,0,0,
235,5,0,4,1,
236,0,4,0,1,
237,4,0,3,0,
238,0,3,0,-1,
239,3,0,2,0,
240,0,2,5,1,
241,2,5,0,-1,
242,5,0,3,1,
243,0,3,5,0,
244,3,5,0,0,
245,5,0,3,0,
246,0,3,5,1,
247,3,5,0,-1,
248,5,0,3,1,
249,0,3,5,1,
250,3,5,0,-1,
251,5,0,2,1,
252,0,2,5,1,
253,2,5,5,1,
254,5,5,0,-1,
255,5,0,2,0,
256,0,2,4,1,
257,2,4,5,-1,
258,4,5,4,1,
259,5,4,5,1,
260,4,5,4,1,
261,5,4,1,-1,
262,4,1,1,0,
263,1,1,5,0,
264,1,5,5,1,
265,5,5,5,-1,
266,5,5,2,0,
267,5,2,1,0,
268,2,1,0,0,
269,1,0,5,0,
270,0,5,0,-1,
271,5,0,4,1,
272,0,4,5,-1,
273,4,5,5,1,
274,5,5,3,-1,
275,5,3,5,1,
