1,3,5,5,0
2,5,5,5,0
3,5,5,4,0
4,5,4,3,0
5,4,3,5,1
6,3,5,0,1
7,5,0,2,1
8,0,2,3,1
9,2,3,0,1
10,3,0,3,0
11,0,3,5,-1
12,3,5,0,0
13,5,0,0,0
14,0,0,2,1
15,0,2,3,0
16,2,3,0,0
17,3,0,1,1
18,0,1,2,0
19,1,2,3,1
20,2,3,5,0
21,3,5,0,0
22,5,0,5,1
23,0,5,1,1
24,5,1,2,1
25,1,2,3,1
26,2,3,4,0
27,3,4,0,0
28,4,0,5,0
29,0,5,1,0
30,5,1,3,0
31,1,3,3,1
32,3,3,1,1
33,3,1,2,0
34,1,2,1,0
35,2,1,2,-1
36,1,2,3,1
37,2,3,5,1
38,3,5,0,1
39,5,0,0,1
40,0,0,1,1
41,0,1,3,0
42,1,3,5,1
43,3,5,3,0
44,5,3,2,0
45,3,2,1,0
46,2,1,3,1
47,1,3,3,0
48,3,3,0,1
49,3,0,0,1
50,0,0,3,0
51,0,3,1,-1
52,3,1,1,1
53,1,1,0,0
54,1,0,3,0
55,0,3,3,1
56,3,3,0,0
57,3,0,2,0
58,0,2,2,1
59,2,2,3,1
60,2,3,5,0
61,3,5,0,1
62,5,0,5,0
63,0,5,1,1
64,5,1,5,0
65,1,5,2,1
66,5,2,4,0
67,2,4,1,1
68,4,1,4,0
69,1,4,5,0
70,4,5,5,0
71,5,5,0,1
72,5,0,3,1
73,0,3,2,0
74,3,2,1,1
75,2,1,3,1
76,1,3,3,0
77,3,3,1,1
78,3,1,4,0
79,1,4,1,1
80,4,1,3,0
81,1,3,3,0
82,3,3,3,1
83,3,3,1,0
84,3,1,2,0
85,1,2,3,0
86,2,3,4,1
87,3,4,4,0
88,4,4,3,1
89,4,3,4,0
90,3,4,4,0
91,4,4,5,0
92,4,5,3,0
93,5,3,3,0
94,3,3,1,1
95,3,1,1,1
96,1,1,5,0
97,1,5,0,1
98,5,0,3,0
99,0,3,0,1
100,3,0,5,0
101,0,5,1,1
102,5,1,0,0
103,1,0,2,0
104,0,2,4,0
105,2,4,1,1
106,4,1,3,0
107,1,3,2,0
108,3,2,2,1
