,s-3,s-2,s-1,a,r
0,17,5,12,3,-1
1,5,12,3,0,-1
2,12,3,0,17,0
3,3,0,17,11,-1
4,0,17,11,0,-1
5,17,11,0,19,0
6,11,0,19,19,0
7,0,19,19,19,0
8,19,19,19,19,0
9,19,19,19,19,0
10,19,19,19,19,0
11,19,19,19,19,0
12,19,19,19,19,0
13,19,19,19,19,0
14,19,19,19,19,0
15,19,19,19,14,-1
16,19,19,14,18,0
17,19,14,18,19,0
18,14,18,19,19,1
19,18,19,19,19,-1
20,19,19,19,9,1
21,19,19,9,19,0
22,19,9,19,19,0
23,9,19,19,19,0
24,19,19,19,19,0
25,19,19,19,19,-1
26,19,19,19,19,-1
27,19,19,19,19,0
28,19,19,19,19,0
29,19,19,19,19,0
30,19,19,19,13,0
31,19,19,13,10,-1
32,19,13,10,7,0
33,13,10,7,17,1
34,10,7,17,13,-1
35,7,17,13,19,0
36,17,13,19,16,-1
37,13,19,16,6,0
38,19,16,6,16,1
39,16,6,16,15,-1
40,6,16,15,6,0
41,16,15,6,3,1
42,15,6,3,4,1
43,6,3,4,3,1
44,3,4,3,19,0
45,4,3,19,9,1
46,3,19,9,12,-1
47,19,9,12,0,-1
48,9,12,0,0,-1
49,12,0,0,7,0
50,0,0,7,5,1
51,0,7,5,3,1
52,7,5,3,14,0
53,5,3,14,6,-1
54,3,14,6,1,0
55,14,6,1,0,-1
56,6,1,0,0,-1
57,1,0,0,1,0
58,0,0,1,9,1
59,0,1,9,6,-1
60,1,9,6,19,0
61,9,6,19,2,1
62,6,19,2,0,0
63,19,2,0,0,-1
64,2,0,0,0,-1
65,0,0,0,0,-1
66,0,0,0,0,-1
67,0,0,0,0,-1
68,0,0,0,0,-1
69,0,0,0,0,-1
70,0,0,0,1,-1
71,0,0,1,1,0
72,0,1,1,2,1
73,1,1,2,0,1
74,1,2,0,0,-1
75,2,0,0,16,1
76,0,0,16,6,-1
77,0,16,6,14,1
78,16,6,14,4,1
79,6,14,4,0,-1
80,14,4,0,9,1
81,4,0,9,0,-1
82,0,9,0,0,-1
83,9,0,0,19,-1
84,0,0,19,0,-1
85,0,19,0,0,-1
86,19,0,0,0,-1
87,0,0,0,1,-1
88,0,0,1,1,0
89,0,1,1,0,-1
90,1,1,0,0,1
91,1,0,0,1,-1
92,0,0,1,0,1
93,0,1,0,0,-1
94,1,0,0,1,0
95,0,0,1,0,-1
96,0,1,0,10,-1
97,1,0,10,6,-1
98,0,10,6,0,-1
99,10,6,0,0,-1
100,6,0,0,17,1
101,0,0,17,0,0
102,0,17,0,0,-1
103,17,0,0,0,0
104,0,0,0,1,0
105,0,0,1,0,-1
106,0,1,0,0,1
107,1,0,0,1,0
108,0,0,1,0,-1
109,0,1,0,14,0
110,1,0,14,0,-1
111,0,14,0,0,0
112,14,0,0,0,1
113,0,0,0,1,-1
114,0,0,1,0,-1
115,0,1,0,0,-1
116,1,0,0,1,0
117,0,0,1,0,0
118,0,1,0,0,1
119,1,0,0,1,0
120,0,0,1,15,1
121,0,1,15,0,-1
122,1,15,0,8,1
123,15,0,8,0,0
124,0,8,0,19,0
125,8,0,19,14,1
126,0,19,14,0,-1
127,19,14,0,18,-1
128,14,0,18,0,0
129,0,18,0,0,-1
130,18,0,0,17,1
131,0,0,17,0,-1
132,0,17,0,0,-1
133,17,0,0,0,-1
134,0,0,0,1,0
135,0,0,1,0,-1
136,0,1,0,0,0
137,1,0,0,1,0
138,0,0,1,18,0
139,0,1,18,0,0
140,1,18,0,0,1
141,18,0,0,2,1
142,0,0,2,0,-1
143,0,2,0,0,-1
144,2,0,0,0,-1
145,0,0,0,1,1
146,0,0,1,0,-1
147,0,1,0,0,-1
148,1,0,0,14,0
149,0,0,14,6,-1
150,0,14,6,0,0
151,14,6,0,0,-1
152,6,0,0,0,-1
153,0,0,0,1,0
154,0,0,1,13,1
155,0,1,13,2,1
156,1,13,2,0,-1
157,13,2,0,0,-1
158,2,0,0,0,-1
159,0,0,0,1,0
160,0,0,1,0,-1
161,0,1,0,0,0
162,1,0,0,1,0
163,0,0,1,0,1
164,0,1,0,15,-1
165,1,0,15,0,-1
166,0,15,0,16,-1
167,15,0,16,0,-1
168,0,16,0,0,-1
169,16,0,0,0,0
170,0,0,0,1,0
171,0,0,1,0,1
172,0,1,0,14,0
173,1,0,14,0,-1
174,0,14,0,0,-1
175,14,0,0,0,-1
176,0,0,0,1,0
177,0,0,1,0,-1
178,0,1,0,0,-1
179,1,0,0,1,0
180,0,0,1,0,1
181,0,1,0,0,-1
182,1,0,0,1,-1
183,0,0,1,0,-1
184,0,1,0,9,0
185,1,0,9,0,-1
186,0,9,0,0,-1
187,9,0,0,16,-1
188,0,0,16,0,-1
189,0,16,0,0,0
190,16,0,0,11,1
191,0,0,11,17,1
192,0,11,17,15,1
193,11,17,15,0,-1
194,17,15,0,0,0
195,15,0,0,0,-1
196,0,0,0,1,0
197,0,0,1,0,0
198,0,1,0,0,0
199,1,0,0,1,0
200,0,0,1,0,-1
201,0,1,0,0,-1
202,1,0,0,1,-1
203,0,0,1,0,-1
204,0,1,0,8,-1
205,1,0,8,0,-1
206,0,8,0,0,-1
207,8,0,0,0,-1
208,0,0,0,1,0
209,0,0,1,0,-1
210,0,1,0,4,1
211,1,0,4,7,-1
212,0,4,7,0,-1
213,4,7,0,0,1
214,7,0,0,0,-1
215,0,0,0,1,-1
216,0,0,1,0,-1
217,0,1,0,2,0
218,1,0,2,0,-1
219,0,2,0,0,-1
220,2,0,0,0,-1
221,0,0,0,1,0
222,0,0,1,0,-1
223,0,1,0,0,-1
224,1,0,0,16,-1
225,0,0,16,0,-1
226,0,16,0,0,-1
227,16,0,0,0,0
228,0,0,0,1,0
229,0,0,1,0,-1
230,0,1,0,15,1
231,1,0,15,0,0
232,0,15,0,0,0
233,15,0,0,0,-1
234,0,0,0,1,0
235,0,0,1,0,1
236,0,1,0,0,-1
237,1,0,0,1,0
238,0,0,1,0,-1
239,0,1,0,0,0
240,1,0,0,5,1
241,0,0,5,0,1
242,0,5,0,0,-1
243,5,0,0,2,0
244,0,0,2,0,-1
245,0,2,0,16,1
246,2,0,16,12,-1
247,0,16,12,0,0
248,16,12,0,0,-1
249,12,0,0,0,-1
250,0,0,0,5,1
251,0,0,5,0,1
252,0,5,0,0,1
253,5,0,0,0,-1
254,0,0,0,1,0
255,0,0,1,10,1
256,0,1,10,0,0
257,1,10,0,0,-1
258,10,0,0,0,-1
259,0,0,0,1,1
260,0,0,1,0,-1
261,0,1,0,2,1
262,1,0,2,0,-1
263,0,2,0,0,-1
264,2,0,0,0,-1
265,0,0,0,1,-1
266,0,0,1,0,-1
267,0,1,0,0,0
268,1,0,0,1,0
269,0,0,1,0,1
270,0,1,0,0,0
271,1,0,0,1,0
272,0,0,1,0,-1
273,0,1,0,18,-1
274,1,0,18,11,1
275,0,18,11,17,1
276,18,11,17,0,-1
277,11,17,0,0,-1
278,17,0,0,0,0
279,0,0,0,1,0
280,0,0,1,0,-1
281,0,1,0,0,-1
282,1,0,0,13,1
283,0,0,13,10,-1
284,0,13,10,0,-1
285,13,10,0,0,0
286,10,0,0,0,-1
287,0,0,0,0,-1
288,0,0,0,1,0
289,0,0,1,0,-1
290,0,1,0,8,0
291,1,0,8,0,1
292,0,8,0,0,1
293,8,0,0,5,1
294,0,0,5,16,1
295,0,5,16,13,0
296,5,16,13,0,-1
297,16,13,0,0,-1
298,13,0,0,0,-1
299,0,0,0,0,1
300,0,0,0,0,-1
301,0,0,0,0,-1
302,0,0,0,17,-1
303,0,0,17,0,-1
304,0,17,0,12,1
305,17,0,12,0,-1
306,0,12,0,0,0
307,12,0,0,0,-1
308,0,0,0,0,-1
309,0,0,0,3,1
310,0,0,3,0,-1
311,0,3,0,0,-1
312,3,0,0,3,1
313,0,0,3,0,-1
314,0,3,0,0,-1
315,3,0,0,0,-1
316,0,0,0,0,0
317,0,0,0,0,-1
318,0,0,0,0,0
319,0,0,0,0,-1
320,0,0,0,0,-1
321,0,0,0,0,-1
322,0,0,0,0,0
323,0,0,0,0,-1
324,0,0,0,0,-1
325,0,0,0,0,-1
326,0,0,0,7,0
327,0,0,7,0,-1
328,0,7,0,0,-1
329,7,0,0,0,0
330,0,0,0,0,-1
331,0,0,0,15,1
332,0,0,15,6,-1
333,0,15,6,0,-1
334,15,6,0,0,0
335,6,0,0,0,-1
336,0,0,0,0,-1
337,0,0,0,0,-1
338,0,0,0,0,-1
339,0,0,0,3,0
340,0,0,3,0,0
341,0,3,0,0,-1
342,3,0,0,0,0
343,0,0,0,0,-1
344,0,0,0,8,-1
345,0,0,8,3,-1
346,0,8,3,0,-1
347,8,3,0,0,-1
348,3,0,0,0,-1
349,0,0,0,0,-1
350,0,0,0,0,-1
351,0,0,0,0,-1
352,0,0,0,0,-1
353,0,0,0,0,-1
354,0,0,0,0,-1
355,0,0,0,0,-1
356,0,0,0,0,-1
357,0,0,0,0,0
358,0,0,0,0,-1
359,0,0,0,0,-1
360,0,0,0,17,1
361,0,0,17,0,-1
362,0,17,0,0,-1
363,17,0,0,0,-1
364,0,0,0,0,-1
365,0,0,0,14,-1
366,0,0,14,16,1
367,0,14,16,0,-1
368,14,16,0,0,-1
369,16,0,0,10,1
370,0,0,10,0,1
371,0,10,0,0,-1
372,10,0,0,11,1
373,0,0,11,0,0
374,0,11,0,0,-1
375,11,0,0,0,-1
376,0,0,0,0,-1
377,0,0,0,0,0
378,0,0,0,0,-1
379,0,0,0,19,0
380,0,0,19,0,-1
381,0,19,0,0,0
382,19,0,0,0,-1
383,0,0,0,0,-1
384,0,0,0,0,-1
385,0,0,0,0,1
386,0,0,0,0,-1
387,0,0,0,2,-1
388,0,0,2,0,-1
389,0,2,0,0,-1
390,2,0,0,0,-1
391,0,0,0,3,1
392,0,0,3,0,1
393,0,3,0,19,0
394,3,0,19,0,-1
395,0,19,0,10,1
396,19,0,10,0,-1
397,0,10,0,0,-1
398,10,0,0,0,0
399,0,0,0,0,-1
400,0,0,0,0,-1
401,0,0,0,0,-1
402,0,0,0,15,1
403,0,0,15,0,-1
404,0,15,0,0,-1
405,15,0,0,0,-1
406,0,0,0,0,-1
407,0,0,0,0,-1
408,0,0,0,13,0
409,0,0,13,0,1
410,0,13,0,2,-1
411,13,0,2,0,-1
412,0,2,0,0,-1
413,2,0,0,0,-1
414,0,0,0,0,-1
415,0,0,0,0,0
416,0,0,0,10,1
417,0,0,10,0,-1
418,0,10,0,0,-1
419,10,0,0,0,-1
420,0,0,0,0,-1
421,0,0,0,0,0
422,0,0,0,0,-1
423,0,0,0,0,0
424,0,0,0,15,-1
425,0,0,15,0,-1
426,0,15,0,0,-1
427,15,0,0,1,0
428,0,0,1,0,-1
429,0,1,0,0,-1
430,1,0,0,0,-1
431,0,0,0,0,-1
432,0,0,0,0,-1
433,0,0,0,0,-1
434,0,0,0,0,0
435,0,0,0,12,-1
436,0,0,12,0,-1
437,0,12,0,0,-1
438,12,0,0,0,-1
439,0,0,0,0,-1
440,0,0,0,0,-1
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,-1
444,0,0,0,0,-1
445,0,0,0,19,0
446,0,0,19,0,-1
447,0,19,0,0,0
448,19,0,0,5,0
449,0,0,5,0,-1
450,0,5,0,0,-1
451,5,0,0,12,-1
