,s-4,s-3,s-2,s-1,a,r
864,19,11,2,12,12,1.0
865,11,2,12,12,16,0.0
866,2,12,12,16,12,0.0
867,12,12,16,12,18,1.0
868,12,16,12,18,8,1.0
869,16,12,18,8,14,0.0
870,12,18,8,14,13,1.0
871,18,8,14,13,7,1.0
872,8,14,13,7,17,-1.0
873,14,13,7,17,8,1.0
874,13,7,17,8,5,0.0
875,7,17,8,5,16,0.0
876,17,8,5,16,19,1.0
877,8,5,16,19,13,0.0
878,5,16,19,13,0,0.0
879,16,19,13,0,0,1.0
880,19,13,0,0,8,0.0
881,13,0,0,8,13,1.0
882,0,0,8,13,9,0.0
883,0,8,13,9,16,0.0
884,8,13,9,16,4,0.0
885,13,9,16,4,13,1.0
886,9,16,4,13,12,1.0
887,16,4,13,12,1,0.0
888,4,13,12,1,10,-1.0
889,13,12,1,10,4,1.0
890,12,1,10,4,17,0.0
891,1,10,4,17,2,0.0
892,10,4,17,2,6,1.0
893,4,17,2,6,17,1.0
894,17,2,6,17,2,1.0
895,2,6,17,2,18,0.0
896,6,17,2,18,2,1.0
897,17,2,18,2,15,0.0
898,2,18,2,15,19,1.0
899,18,2,15,19,1,1.0
900,2,15,19,1,8,1.0
901,15,19,1,8,8,0.0
902,19,1,8,8,15,1.0
903,1,8,8,15,1,0.0
904,8,8,15,1,6,1.0
905,8,15,1,6,10,1.0
906,15,1,6,10,10,0.0
907,1,6,10,10,19,0.0
908,6,10,10,19,8,0.0
909,10,10,19,8,17,0.0
910,10,19,8,17,5,1.0
911,19,8,17,5,1,1.0
912,8,17,5,1,1,1.0
913,17,5,1,1,6,0.0
914,5,1,1,6,12,1.0
915,1,1,6,12,8,1.0
916,1,6,12,8,7,0.0
917,6,12,8,7,2,0.0
918,12,8,7,2,5,1.0
919,8,7,2,5,19,0.0
920,7,2,5,19,15,1.0
921,2,5,19,15,13,0.0
922,5,19,15,13,1,1.0
923,19,15,13,1,13,0.0
924,15,13,1,13,2,1.0
925,13,1,13,2,8,0.0
926,1,13,2,8,10,1.0
927,13,2,8,10,2,0.0
928,2,8,10,2,7,0.0
929,8,10,2,7,14,0.0
930,10,2,7,14,0,0.0
931,2,7,14,0,13,1.0
932,7,14,0,13,2,0.0
933,14,0,13,2,16,0.0
934,0,13,2,16,13,0.0
935,13,2,16,13,15,0.0
936,2,16,13,15,0,0.0
937,16,13,15,0,9,1.0
938,13,15,0,9,14,0.0
939,15,0,9,14,2,0.0
940,0,9,14,2,15,1.0
941,9,14,2,15,6,1.0
942,14,2,15,6,5,0.0
943,2,15,6,5,18,1.0
944,15,6,5,18,10,0.0
945,6,5,18,10,8,1.0
946,5,18,10,8,5,-1.0
947,18,10,8,5,5,0.0
948,10,8,5,5,13,1.0
949,8,5,5,13,13,-1.0
950,5,5,13,13,7,-1.0
951,5,13,13,7,11,0.0
952,13,13,7,11,13,1.0
953,13,7,11,13,2,0.0
954,7,11,13,2,15,0.0
955,11,13,2,15,0,1.0
956,13,2,15,0,6,0.0
957,2,15,0,6,2,0.0
958,15,0,6,2,12,0.0
959,0,6,2,12,12,1.0
960,6,2,12,12,1,1.0
961,2,12,12,1,19,1.0
962,12,12,1,19,17,0.0
963,12,1,19,17,17,0.0
964,1,19,17,17,1,1.0
965,19,17,17,1,18,0.0
966,17,17,1,18,18,1.0
967,17,1,18,18,13,0.0
968,1,18,18,13,3,0.0
969,18,18,13,3,11,1.0
970,18,13,3,11,4,0.0
971,13,3,11,4,18,0.0
972,3,11,4,18,18,1.0
973,11,4,18,18,6,1.0
974,4,18,18,6,5,0.0
975,18,18,6,5,1,1.0
976,18,6,5,1,19,0.0
977,6,5,1,19,12,0.0
978,5,1,19,12,10,1.0
979,1,19,12,10,1,1.0
980,19,12,10,1,18,1.0
981,12,10,1,18,7,1.0
982,10,1,18,7,10,-1.0
983,1,18,7,10,5,0.0
984,18,7,10,5,1,0.0
985,7,10,5,1,16,0.0
986,10,5,1,16,5,1.0
987,5,1,16,5,14,1.0
988,1,16,5,14,4,1.0
989,16,5,14,4,1,1.0
990,5,14,4,1,19,0.0
991,14,4,1,19,0,1.0
992,4,1,19,0,1,1.0
993,1,19,0,1,17,-1.0
994,19,0,1,17,14,1.0
995,0,1,17,14,12,0.0
996,1,17,14,12,7,0.0
997,17,14,12,7,10,1.0
998,14,12,7,10,17,0.0
999,12,7,10,17,19,0.0
1000,7,10,17,19,10,1.0
1001,10,17,19,10,14,0.0
1002,17,19,10,14,1,1.0
1003,19,10,14,1,18,0.0
1004,10,14,1,18,4,1.0
1005,14,1,18,4,9,0.0
1006,1,18,4,9,19,0.0
1007,18,4,9,19,6,0.0
1008,4,9,19,6,17,0.0
1009,9,19,6,17,10,0.0
1010,19,6,17,10,18,0.0
1011,6,17,10,18,6,0.0
1012,17,10,18,6,13,0.0
1013,10,18,6,13,10,1.0
1014,18,6,13,10,9,0.0
1015,6,13,10,9,6,0.0
1016,13,10,9,6,18,1.0
1017,10,9,6,18,11,1.0
1018,9,6,18,11,14,0.0
1019,6,18,11,14,19,1.0
1020,18,11,14,19,11,1.0
1021,11,14,19,11,0,0.0
1022,14,19,11,0,1,1.0
1023,19,11,0,1,7,0.0
1024,11,0,1,7,18,1.0
1025,0,1,7,18,19,0.0
1026,1,7,18,19,14,1.0
1027,7,18,19,14,9,0.0
1028,18,19,14,9,2,1.0
1029,19,14,9,2,17,0.0
1030,14,9,2,17,16,0.0
1031,9,2,17,16,12,0.0
1032,2,17,16,12,17,0.0
1033,17,16,12,17,18,0.0
1034,16,12,17,18,15,1.0
1035,12,17,18,15,19,1.0
1036,17,18,15,19,10,0.0
1037,18,15,19,10,11,-1.0
1038,15,19,10,11,17,1.0
1039,19,10,11,17,12,0.0
1040,10,11,17,12,19,1.0
1041,11,17,12,19,6,1.0
1042,17,12,19,6,13,0.0
1043,12,19,6,13,15,0.0
1044,19,6,13,15,10,0.0
1045,6,13,15,10,11,0.0
1046,13,15,10,11,15,0.0
1047,15,10,11,15,0,1.0
1048,10,11,15,0,19,0.0
1049,11,15,0,19,0,0.0
1050,15,0,19,0,0,1.0
1051,0,19,0,0,7,1.0
1052,19,0,0,7,3,-1.0
1053,0,0,7,3,4,0.0
1054,0,7,3,4,17,-1.0
1055,7,3,4,17,8,1.0
1056,3,4,17,8,1,0.0
1057,4,17,8,1,9,0.0
1058,17,8,1,9,4,1.0
1059,8,1,9,4,16,0.0
1060,1,9,4,16,19,0.0
1061,9,4,16,19,6,0.0
1062,4,16,19,6,14,1.0
1063,16,19,6,14,11,0.0
1064,19,6,14,11,18,0.0
1065,6,14,11,18,14,1.0
1066,14,11,18,14,8,1.0
1067,11,18,14,8,18,0.0
1068,18,14,8,18,14,1.0
1069,14,8,18,14,17,0.0
1070,8,18,14,17,10,1.0
1071,18,14,17,10,17,1.0
1072,14,17,10,17,16,-1.0
1073,17,10,17,16,9,0.0
1074,10,17,16,9,0,0.0
1075,17,16,9,0,12,1.0
1076,16,9,0,12,12,1.0
1077,9,0,12,12,14,1.0
1078,0,12,12,14,0,0.0
1079,12,12,14,0,16,0.0
1080,12,14,0,16,15,0.0
1081,14,0,16,15,7,1.0
1082,0,16,15,7,6,-1.0
1083,16,15,7,6,8,1.0
1084,15,7,6,8,5,-1.0
1085,7,6,8,5,4,1.0
1086,6,8,5,4,19,0.0
1087,8,5,4,19,9,-1.0
1088,5,4,19,9,11,0.0
1089,4,19,9,11,12,1.0
1090,19,9,11,12,12,1.0
1091,9,11,12,12,15,1.0
1092,11,12,12,15,8,0.0
1093,12,12,15,8,11,1.0
1094,12,15,8,11,15,0.0
1095,15,8,11,15,16,-1.0
1096,8,11,15,16,12,1.0
1097,11,15,16,12,13,-1.0
1098,15,16,12,13,6,0.0
1099,16,12,13,6,6,1.0
1100,12,13,6,6,10,-1.0
1101,13,6,6,10,17,1.0
1102,6,6,10,17,8,1.0
1103,6,10,17,8,11,1.0
1104,10,17,8,11,16,-1.0
1105,17,8,11,16,3,1.0
1106,8,11,16,3,8,0.0
1107,11,16,3,8,18,0.0
1108,16,3,8,18,18,1.0
1109,3,8,18,18,6,0.0
1110,8,18,18,6,13,0.0
1111,18,18,6,13,14,0.0
1112,18,6,13,14,19,0.0
1113,6,13,14,19,15,1.0
1114,13,14,19,15,11,1.0
1115,14,19,15,11,12,0.0
1116,19,15,11,12,14,0.0
1117,15,11,12,14,8,0.0
1118,11,12,14,8,19,0.0
1119,12,14,8,19,4,0.0
1120,14,8,19,4,7,0.0
1121,8,19,4,7,0,0.0
1122,19,4,7,0,10,1.0
1123,4,7,0,10,4,0.0
1124,7,0,10,4,7,1.0
1125,0,10,4,7,8,0.0
1126,10,4,7,8,16,-1.0
1127,4,7,8,16,1,1.0
1128,7,8,16,1,19,1.0
1129,8,16,1,19,3,-1.0
1130,16,1,19,3,12,0.0
1131,1,19,3,12,5,1.0
1132,19,3,12,5,7,0.0
1133,3,12,5,7,13,0.0
1134,12,5,7,13,9,0.0
1135,5,7,13,9,17,-1.0
1136,7,13,9,17,3,0.0
1137,13,9,17,3,13,-1.0
1138,9,17,3,13,4,0.0
1139,17,3,13,4,9,0.0
1140,3,13,4,9,0,1.0
1141,13,4,9,0,15,1.0
1142,4,9,0,15,17,1.0
1143,9,0,15,17,9,1.0
1144,0,15,17,9,17,1.0
1145,15,17,9,17,1,1.0
1146,17,9,17,1,4,-1.0
1147,9,17,1,4,17,1.0
1148,17,1,4,17,13,0.0
1149,1,4,17,13,4,0.0
1150,4,17,13,4,13,0.0
1151,17,13,4,13,11,1.0
1152,13,4,13,11,7,0.0
1153,4,13,11,7,19,1.0
1154,13,11,7,19,4,1.0
1155,11,7,19,4,0,0.0
1156,7,19,4,0,0,1.0
1157,19,4,0,0,7,0.0
1158,4,0,0,7,17,1.0
1159,0,0,7,17,5,1.0
1160,0,7,17,5,11,0.0
1161,7,17,5,11,5,0.0
1162,17,5,11,5,7,1.0
1163,5,11,5,7,6,1.0
1164,11,5,7,6,16,0.0
1165,5,7,6,16,12,1.0
1166,7,6,16,12,16,1.0
1167,6,16,12,16,18,1.0
1168,16,12,16,18,15,0.0
1169,12,16,18,15,12,0.0
1170,16,18,15,12,2,-1.0
1171,18,15,12,2,5,1.0
1172,15,12,2,5,9,1.0
1173,12,2,5,9,2,0.0
1174,2,5,9,2,16,0.0
1175,5,9,2,16,0,0.0
1176,9,2,16,0,19,0.0
1177,2,16,0,19,4,0.0
1178,16,0,19,4,16,1.0
1179,0,19,4,16,15,0.0
1180,19,4,16,15,9,0.0
1181,4,16,15,9,7,0.0
1182,16,15,9,7,15,1.0
1183,15,9,7,15,5,-1.0
1184,9,7,15,5,4,1.0
1185,7,15,5,4,8,1.0
1186,15,5,4,8,17,0.0
1187,5,4,8,17,6,1.0
1188,4,8,17,6,10,0.0
1189,8,17,6,10,14,0.0
1190,17,6,10,14,0,0.0
1191,6,10,14,0,1,-1.0
1192,10,14,0,1,2,1.0
1193,14,0,1,2,14,1.0
1194,0,1,2,14,5,1.0
1195,1,2,14,5,15,0.0
1196,2,14,5,15,16,1.0
1197,14,5,15,16,18,0.0
1198,5,15,16,18,14,0.0
1199,15,16,18,14,18,0.0
1200,16,18,14,18,18,1.0
1201,18,14,18,18,15,0.0
1202,14,18,18,15,11,0.0
1203,18,18,15,11,18,0.0
1204,18,15,11,18,16,0.0
1205,15,11,18,16,16,0.0
1206,11,18,16,16,14,1.0
1207,18,16,16,14,17,1.0
1208,16,16,14,17,10,1.0
1209,16,14,17,10,7,1.0
1210,14,17,10,7,9,1.0
1211,17,10,7,9,11,1.0
1212,10,7,9,11,1,0.0
1213,7,9,11,1,19,0.0
1214,9,11,1,19,15,1.0
1215,11,1,19,15,4,1.0
1216,1,19,15,4,9,0.0
1217,19,15,4,9,13,1.0
1218,15,4,9,13,15,0.0
1219,4,9,13,15,4,0.0
1220,9,13,15,4,9,1.0
1221,13,15,4,9,17,-1.0
1222,15,4,9,17,6,0.0
1223,4,9,17,6,8,1.0
1224,9,17,6,8,4,1.0
1225,17,6,8,4,9,1.0
1226,6,8,4,9,16,1.0
1227,8,4,9,16,16,0.0
1228,4,9,16,16,1,0.0
1229,9,16,16,1,4,1.0
1230,16,16,1,4,10,1.0
1231,16,1,4,10,7,1.0
1232,1,4,10,7,6,1.0
1233,4,10,7,6,17,1.0
1234,10,7,6,17,17,0.0
1235,7,6,17,17,4,1.0
1236,6,17,17,4,7,0.0
1237,17,17,4,7,12,0.0
1238,17,4,7,12,4,1.0
1239,4,7,12,4,12,0.0
1240,7,12,4,12,0,1.0
1241,12,4,12,0,8,0.0
1242,4,12,0,8,14,1.0
1243,12,0,8,14,16,1.0
1244,0,8,14,16,15,0.0
1245,8,14,16,15,2,0.0
1246,14,16,15,2,10,0.0
1247,16,15,2,10,12,1.0
1248,15,2,10,12,11,0.0
1249,2,10,12,11,3,0.0
1250,10,12,11,3,16,0.0
1251,12,11,3,16,11,1.0
1252,11,3,16,11,4,1.0
1253,3,16,11,4,9,0.0
1254,16,11,4,9,5,0.0
1255,11,4,9,5,5,0.0
1256,4,9,5,5,2,0.0
1257,9,5,5,2,10,1.0
1258,5,5,2,10,5,1.0
1259,5,2,10,5,13,1.0
1260,2,10,5,13,4,-1.0
1261,10,5,13,4,13,0.0
1262,5,13,4,13,14,1.0
1263,13,4,13,14,17,0.0
1264,4,13,14,17,2,1.0
1265,13,14,17,2,9,0.0
1266,14,17,2,9,11,0.0
1267,17,2,9,11,19,1.0
1268,2,9,11,19,14,1.0
1269,9,11,19,14,2,0.0
1270,11,19,14,2,13,0.0
1271,19,14,2,13,0,0.0
1272,14,2,13,0,10,0.0
1273,2,13,0,10,14,0.0
1274,13,0,10,14,4,0.0
1275,0,10,14,4,15,0.0
1276,10,14,4,15,6,1.0
1277,14,4,15,6,2,1.0
1278,4,15,6,2,14,1.0
1279,15,6,2,14,17,0.0
1280,6,2,14,17,15,0.0
1281,2,14,17,15,2,0.0
1282,14,17,15,2,13,0.0
1283,17,15,2,13,6,1.0
1284,15,2,13,6,5,0.0
1285,2,13,6,5,11,1.0
1286,13,6,5,11,2,0.0
1287,6,5,11,2,1,0.0
1288,5,11,2,1,17,0.0
1289,11,2,1,17,13,1.0
1290,2,1,17,13,4,0.0
1291,1,17,13,4,12,0.0
1292,17,13,4,12,6,1.0
1293,13,4,12,6,7,1.0
1294,4,12,6,7,3,0.0
1295,12,6,7,3,17,1.0
1296,6,7,3,17,15,0.0
1297,7,3,17,15,11,1.0
1298,3,17,15,11,3,1.0
1299,17,15,11,3,2,0.0
1300,15,11,3,2,15,1.0
1301,11,3,2,15,17,0.0
1302,3,2,15,17,1,1.0
1303,2,15,17,1,0,0.0
1304,15,17,1,0,8,1.0
1305,17,1,0,8,9,1.0
1306,1,0,8,9,14,0.0
1307,0,8,9,14,15,0.0
1308,8,9,14,15,6,1.0
1309,9,14,15,6,6,1.0
1310,14,15,6,6,16,0.0
1311,15,6,6,16,19,0.0
1312,6,6,16,19,1,0.0
1313,6,16,19,1,0,1.0
1314,16,19,1,0,0,0.0
1315,19,1,0,0,0,1.0
1316,1,0,0,0,11,1.0
1317,0,0,0,11,14,1.0
1318,0,0,11,14,13,0.0
1319,0,11,14,13,8,1.0
1320,11,14,13,8,18,1.0
1321,14,13,8,18,19,0.0
1322,13,8,18,19,9,0.0
1323,8,18,19,9,12,0.0
1324,18,19,9,12,14,0.0
1325,19,9,12,14,11,1.0
1326,9,12,14,11,11,0.0
1327,12,14,11,11,11,0.0
1328,14,11,11,11,2,1.0
1329,11,11,11,2,17,0.0
1330,11,11,2,17,3,0.0
1331,11,2,17,3,7,0.0
1332,2,17,3,7,8,1.0
1333,17,3,7,8,8,0.0
1334,3,7,8,8,8,0.0
1335,7,8,8,8,5,1.0
1336,8,8,8,5,14,0.0
1337,8,8,5,14,5,1.0
1338,8,5,14,5,9,-1.0
1339,5,14,5,9,0,0.0
1340,14,5,9,0,3,1.0
1341,5,9,0,3,5,-1.0
1342,9,0,3,5,19,1.0
1343,0,3,5,19,13,0.0
1344,3,5,19,13,19,1.0
1345,5,19,13,19,5,-1.0
1346,19,13,19,5,5,0.0
1347,13,19,5,5,15,0.0
1348,19,5,5,15,10,1.0
1349,5,5,15,10,15,1.0
1350,5,15,10,15,4,1.0
1351,15,10,15,4,17,1.0
1352,10,15,4,17,14,0.0
1353,15,4,17,14,12,1.0
1354,4,17,14,12,18,1.0
1355,17,14,12,18,18,1.0
1356,14,12,18,18,6,0.0
1357,12,18,18,6,7,1.0
1358,18,18,6,7,2,1.0
1359,18,6,7,2,0,1.0
1360,6,7,2,0,3,-1.0
1361,7,2,0,3,9,0.0
1362,2,0,3,9,18,1.0
1363,0,3,9,18,18,1.0
1364,3,9,18,18,8,1.0
1365,9,18,18,8,18,0.0
1366,18,18,8,18,1,1.0
1367,18,8,18,1,12,0.0
1368,8,18,1,12,12,1.0
1369,18,1,12,12,3,-1.0
1370,1,12,12,3,2,1.0
1371,12,12,3,2,10,-1.0
1372,12,3,2,10,7,1.0
1373,3,2,10,7,7,0.0
1374,2,10,7,7,17,-1.0
1375,10,7,7,17,8,0.0
1376,7,7,17,8,8,0.0
1377,7,17,8,8,7,0.0
1378,17,8,8,7,16,1.0
1379,8,8,7,16,4,-1.0
1380,8,7,16,4,17,-1.0
1381,7,16,4,17,10,0.0
1382,16,4,17,10,17,1.0
1383,4,17,10,17,6,1.0
1384,17,10,17,6,15,1.0
1385,10,17,6,15,5,0.0
1386,17,6,15,5,14,0.0
1387,6,15,5,14,9,1.0
1388,15,5,14,9,8,1.0
1389,5,14,9,8,3,0.0
1390,14,9,8,3,16,0.0
1391,9,8,3,16,9,1.0
1392,8,3,16,9,17,-1.0
1393,3,16,9,17,19,1.0
1394,16,9,17,19,0,1.0
1395,9,17,19,0,19,0.0
1396,17,19,0,19,3,0.0
1397,19,0,19,3,3,0.0
1398,0,19,3,3,0,1.0
1399,19,3,3,0,11,-1.0
1400,3,3,0,11,16,0.0
1401,3,0,11,16,0,1.0
1402,0,11,16,0,15,1.0
1403,11,16,0,15,0,0.0
1404,16,0,15,0,17,0.0
1405,0,15,0,17,7,0.0
1406,15,0,17,7,13,1.0
1407,0,17,7,13,14,1.0
1408,17,7,13,14,8,-1.0
1409,7,13,14,8,14,0.0
1410,13,14,8,14,13,1.0
1411,14,8,14,13,6,1.0
1412,8,14,13,6,0,1.0
1413,14,13,6,0,7,1.0
1414,13,6,0,7,15,0.0
1415,6,0,7,15,13,1.0
1416,0,7,15,13,7,1.0
1417,7,15,13,7,6,0.0
1418,15,13,7,6,12,0.0
1419,13,7,6,12,10,1.0
1420,7,6,12,10,5,1.0
1421,6,12,10,5,15,0.0
1422,12,10,5,15,4,0.0
1423,10,5,15,4,19,1.0
1424,5,15,4,19,16,1.0
1425,15,4,19,16,4,0.0
1426,4,19,16,4,6,1.0
1427,19,16,4,6,17,1.0
1428,16,4,6,17,8,1.0
1429,4,6,17,8,16,-1.0
1430,6,17,8,16,11,1.0
1431,17,8,16,11,4,-1.0
1432,8,16,11,4,11,0.0
1433,16,11,4,11,18,1.0
1434,11,4,11,18,4,1.0
1435,4,11,18,4,2,0.0
1436,11,18,4,2,7,0.0
1437,18,4,2,7,18,1.0
1438,4,2,7,18,4,0.0
1439,2,7,18,4,10,0.0
1440,7,18,4,10,10,0.0
1441,18,4,10,10,15,1.0
1442,4,10,10,15,15,0.0
1443,10,10,15,15,11,-1.0
1444,10,15,15,11,10,-1.0
1445,15,15,11,10,2,0.0
1446,15,11,10,2,10,0.0
1447,11,10,2,10,11,0.0
1448,10,2,10,11,2,1.0
1449,2,10,11,2,12,1.0
1450,10,11,2,12,3,0.0
1451,11,2,12,3,19,0.0
1452,2,12,3,19,2,0.0
1453,12,3,19,2,11,1.0
1454,3,19,2,11,14,0.0
1455,19,2,11,14,10,-1.0
1456,2,11,14,10,1,1.0
1457,11,14,10,1,8,0.0
1458,14,10,1,8,15,1.0
1459,10,1,8,15,11,0.0
1460,1,8,15,11,11,0.0
1461,8,15,11,11,4,1.0
1462,15,11,11,4,19,1.0
1463,11,11,4,19,3,0.0
1464,11,4,19,3,14,0.0
1465,4,19,3,14,7,0.0
1466,19,3,14,7,8,0.0
1467,3,14,7,8,4,1.0
1468,14,7,8,4,12,0.0
1469,7,8,4,12,2,1.0
1470,8,4,12,2,17,0.0
1471,4,12,2,17,9,0.0
1472,12,2,17,9,11,1.0
1473,2,17,9,11,18,0.0
1474,17,9,11,18,6,1.0
1475,9,11,18,6,16,0.0
1476,11,18,6,16,0,0.0
1477,18,6,16,0,15,0.0
1478,6,16,0,15,5,1.0
1479,16,0,15,5,16,-1.0
1480,0,15,5,16,19,-1.0
1481,15,5,16,19,2,1.0
1482,5,16,19,2,4,0.0
1483,16,19,2,4,7,0.0
1484,19,2,4,7,6,0.0
1485,2,4,7,6,16,1.0
1486,4,7,6,16,2,1.0
1487,7,6,16,2,14,-1.0
1488,6,16,2,14,15,1.0
1489,16,2,14,15,17,0.0
1490,2,14,15,17,6,0.0
1491,14,15,17,6,12,1.0
1492,15,17,6,12,16,1.0
1493,17,6,12,16,8,0.0
1494,6,12,16,8,1,1.0
1495,12,16,8,1,8,1.0
1496,16,8,1,8,3,0.0
1497,8,1,8,3,13,0.0
1498,1,8,3,13,14,0.0
1499,8,3,13,14,4,1.0
1500,3,13,14,4,19,0.0
1501,13,14,4,19,8,1.0
1502,14,4,19,8,3,0.0
1503,4,19,8,3,18,1.0
1504,19,8,3,18,9,-1.0
1505,8,3,18,9,17,0.0
1506,3,18,9,17,8,1.0
1507,18,9,17,8,8,0.0
1508,9,17,8,8,9,0.0
1509,17,8,8,9,19,-1.0
1510,8,8,9,19,7,1.0
1511,8,9,19,7,15,0.0
1512,9,19,7,15,0,1.0
1513,19,7,15,0,4,0.0
1514,7,15,0,4,17,0.0
1515,15,0,4,17,7,1.0
1516,0,4,17,7,8,0.0
1517,4,17,7,8,15,-1.0
1518,17,7,8,15,2,1.0
1519,7,8,15,2,11,0.0
1520,8,15,2,11,16,-1.0
1521,15,2,11,16,7,1.0
1522,2,11,16,7,15,0.0
1523,11,16,7,15,11,-1.0
1524,16,7,15,11,3,0.0
1525,7,15,11,3,12,1.0
1526,15,11,3,12,18,0.0
1527,11,3,12,18,16,1.0
1528,3,12,18,16,5,0.0
1529,12,18,16,5,6,0.0
1530,18,16,5,6,9,0.0
1531,16,5,6,9,18,1.0
1532,5,6,9,18,5,0.0
1533,6,9,18,5,3,0.0
1534,9,18,5,3,13,1.0
1535,18,5,3,13,4,1.0
1536,5,3,13,4,8,0.0
1537,3,13,4,8,6,1.0
1538,13,4,8,6,7,0.0
1539,4,8,6,7,1,1.0
1540,8,6,7,1,13,1.0
1541,6,7,1,13,15,0.0
1542,7,1,13,15,12,1.0
1543,1,13,15,12,4,1.0
1544,13,15,12,4,18,1.0
1545,15,12,4,18,8,0.0
1546,12,4,18,8,18,1.0
1547,4,18,8,18,13,1.0
1548,18,8,18,13,7,0.0
1549,8,18,13,7,19,0.0
1550,18,13,7,19,8,1.0
1551,13,7,19,8,6,1.0
1552,7,19,8,6,4,1.0
1553,19,8,6,4,15,0.0
1554,8,6,4,15,2,1.0
1555,6,4,15,2,17,1.0
1556,4,15,2,17,12,1.0
1557,15,2,17,12,8,1.0
1558,2,17,12,8,5,0.0
1559,17,12,8,5,19,1.0
1560,12,8,5,19,9,1.0
1561,8,5,19,9,9,0.0
1562,5,19,9,9,18,0.0
1563,19,9,9,18,17,-1.0
1564,9,9,18,17,8,-1.0
1565,9,18,17,8,15,1.0
1566,18,17,8,15,4,-1.0
1567,17,8,15,4,6,0.0
1568,8,15,4,6,17,0.0
1569,15,4,6,17,4,1.0
1570,4,6,17,4,12,0.0
1571,6,17,4,12,18,1.0
1572,17,4,12,18,9,1.0
1573,4,12,18,9,16,1.0
1574,12,18,9,16,13,1.0
1575,18,9,16,13,16,-1.0
1576,9,16,13,16,12,1.0
1577,16,13,16,12,1,0.0
1578,13,16,12,1,19,1.0
1579,16,12,1,19,10,0.0
1580,12,1,19,10,7,0.0
1581,1,19,10,7,18,0.0
1582,19,10,7,18,14,1.0
1583,10,7,18,14,4,1.0
1584,7,18,14,4,14,0.0
1585,18,14,4,14,0,1.0
1586,14,4,14,0,11,0.0
1587,4,14,0,11,4,1.0
1588,14,0,11,4,18,1.0
1589,0,11,4,18,19,0.0
1590,11,4,18,19,10,0.0
1591,4,18,19,10,0,0.0
1592,18,19,10,0,4,1.0
1593,19,10,0,4,2,0.0
1594,10,0,4,2,0,-1.0
1595,0,4,2,0,4,0.0
1596,4,2,0,4,2,0.0
1597,2,0,4,2,19,1.0
1598,0,4,2,19,11,0.0
1599,4,2,19,11,12,0.0
1600,2,19,11,12,8,0.0
1601,19,11,12,8,12,1.0
1602,11,12,8,12,9,1.0
1603,12,8,12,9,2,1.0
1604,8,12,9,2,15,0.0
1605,12,9,2,15,16,1.0
1606,9,2,15,16,11,1.0
1607,2,15,16,11,10,0.0
1608,15,16,11,10,6,0.0
1609,16,11,10,6,15,1.0
1610,11,10,6,15,19,0.0
1611,10,6,15,19,2,1.0
1612,6,15,19,2,12,0.0
1613,15,19,2,12,15,1.0
1614,19,2,12,15,19,1.0
1615,2,12,15,19,4,1.0
1616,12,15,19,4,1,0.0
1617,15,19,4,1,17,1.0
1618,19,4,1,17,10,0.0
1619,4,1,17,10,18,0.0
1620,1,17,10,18,10,1.0
1621,17,10,18,10,14,1.0
1622,10,18,10,14,5,0.0
1623,18,10,14,5,5,0.0
1624,10,14,5,5,19,0.0
1625,14,5,5,19,13,1.0
1626,5,5,19,13,0,0.0
1627,5,19,13,0,9,0.0
1628,19,13,0,9,11,0.0
1629,13,0,9,11,13,1.0
1630,0,9,11,13,5,1.0
1631,9,11,13,5,10,1.0
1632,11,13,5,10,18,1.0
1633,13,5,10,18,16,1.0
1634,5,10,18,16,4,-1.0
1635,10,18,16,4,11,1.0
1636,18,16,4,11,9,0.0
1637,16,4,11,9,8,1.0
1638,4,11,9,8,19,0.0
1639,11,9,8,19,6,0.0
1640,9,8,19,6,5,0.0
1641,8,19,6,5,16,1.0
1642,19,6,5,16,5,1.0
1643,6,5,16,5,15,1.0
1644,5,16,5,15,3,0.0
1645,16,5,15,3,10,0.0
1646,5,15,3,10,13,0.0
1647,15,3,10,13,16,0.0
1648,3,10,13,16,10,0.0
1649,10,13,16,10,18,0.0
1650,13,16,10,18,16,1.0
1651,16,10,18,16,9,1.0
1652,10,18,16,9,14,0.0
1653,18,16,9,14,0,1.0
1654,16,9,14,0,7,1.0
1655,9,14,0,7,18,0.0
1656,14,0,7,18,11,1.0
1657,0,7,18,11,1,0.0
1658,7,18,11,1,1,-1.0
1659,18,11,1,1,14,1.0
1660,11,1,1,14,1,0.0
1661,1,1,14,1,8,0.0
1662,1,14,1,8,17,0.0
1663,14,1,8,17,12,1.0
1664,1,8,17,12,15,0.0
1665,8,17,12,15,11,0.0
1666,17,12,15,11,8,0.0
1667,12,15,11,8,11,-1.0
1668,15,11,8,11,1,1.0
1669,11,8,11,1,0,0.0
1670,8,11,1,0,17,1.0
1671,11,1,0,17,7,1.0
1672,1,0,17,7,19,0.0
1673,0,17,7,19,4,1.0
1674,17,7,19,4,8,0.0
1675,7,19,4,8,3,-1.0
1676,19,4,8,3,11,0.0
1677,4,8,3,11,19,0.0
1678,8,3,11,19,12,1.0
1679,3,11,19,12,2,0.0
1680,11,19,12,2,6,0.0
1681,19,12,2,6,12,0.0
1682,12,2,6,12,6,0.0
1683,2,6,12,6,17,1.0
1684,6,12,6,17,14,1.0
1685,12,6,17,14,1,1.0
1686,6,17,14,1,18,1.0
1687,17,14,1,18,10,0.0
1688,14,1,18,10,3,0.0
1689,1,18,10,3,8,0.0
