,s-3,s-2,s-1,a,r
0,31,20,9,33,1
1,20,9,33,14,1
2,9,33,14,17,1
3,33,14,17,9,-1
4,14,17,9,17,1
5,17,9,17,39,0
6,9,17,39,39,0
7,17,39,39,39,1
8,39,39,39,39,-1
9,39,39,39,39,1
10,39,39,39,39,-1
11,39,39,39,39,1
12,39,39,39,29,1
13,39,39,29,39,1
14,39,29,39,39,0
15,29,39,39,39,0
16,39,39,39,39,0
17,39,39,39,39,0
18,39,39,39,39,1
19,39,39,39,39,0
20,39,39,39,22,1
21,39,39,22,23,1
22,39,22,23,39,1
23,22,23,39,8,0
24,23,39,8,39,1
25,39,8,39,0,-1
26,8,39,0,38,-1
27,39,0,38,1,0
28,0,38,1,39,0
29,38,1,39,0,-1
30,1,39,0,2,1
31,39,0,2,39,-1
32,0,2,39,0,-1
33,2,39,0,3,-1
34,39,0,3,39,0
35,0,3,39,26,0
36,3,39,26,36,0
37,39,26,36,39,1
38,26,36,39,20,1
39,36,39,20,39,1
40,39,20,39,5,-1
41,20,39,5,39,1
42,39,5,39,18,-1
43,5,39,18,31,0
44,39,18,31,30,-1
45,18,31,30,15,0
46,31,30,15,39,1
47,30,15,39,16,0
48,15,39,16,17,1
49,39,16,17,39,0
50,16,17,39,4,1
51,17,39,4,10,1
52,39,4,10,39,1
53,4,10,39,16,1
54,10,39,16,18,0
55,39,16,18,35,1
56,16,18,35,36,-1
57,18,35,36,39,-1
58,35,36,39,39,-1
59,36,39,39,39,1
60,39,39,39,34,-1
61,39,39,34,37,0
62,39,34,37,31,0
63,34,37,31,34,1
64,37,31,34,29,-1
65,31,34,29,1,0
66,34,29,1,35,1
67,29,1,35,15,-1
68,1,35,15,0,1
69,35,15,0,39,-1
70,15,0,39,2,0
71,0,39,2,0,-1
72,39,2,0,21,1
73,2,0,21,8,0
74,0,21,8,0,1
75,21,8,0,1,0
76,8,0,1,10,-1
77,0,1,10,0,-1
78,1,10,0,0,-1
79,10,0,0,5,1
80,0,0,5,4,-1
81,0,5,4,2,1
82,5,4,2,3,1
83,4,2,3,11,1
84,2,3,11,0,-1
85,3,11,0,0,-1
86,11,0,0,0,-1
87,0,0,0,3,0
88,0,0,3,0,-1
89,0,3,0,34,1
90,3,0,34,0,-1
91,0,34,0,24,-1
92,34,0,24,32,1
93,0,24,32,0,0
94,24,32,0,2,0
95,32,0,2,3,1
96,0,2,3,0,-1
97,2,3,0,2,-1
98,3,0,2,6,-1
99,0,2,6,0,0
100,2,6,0,8,-1
101,6,0,8,6,1
102,0,8,6,6,-1
103,8,6,6,9,0
104,6,6,9,26,-1
105,6,9,26,0,-1
106,9,26,0,2,-1
107,26,0,2,22,1
108,0,2,22,0,0
109,2,22,0,22,1
110,22,0,22,10,1
111,0,22,10,0,1
112,22,10,0,6,-1
113,10,0,6,4,1
114,0,6,4,0,-1
115,6,4,0,1,0
116,4,0,1,30,-1
117,0,1,30,0,-1
118,1,30,0,8,1
119,30,0,8,17,1
120,0,8,17,5,-1
121,8,17,5,2,0
122,17,5,2,5,-1
123,5,2,5,2,0
124,2,5,2,0,-1
125,5,2,0,0,1
126,2,0,0,3,1
127,0,0,3,15,0
128,0,3,15,4,1
129,3,15,4,0,-1
130,15,4,0,0,-1
131,4,0,0,1,-1
132,0,0,1,1,1
133,0,1,1,35,-1
134,1,1,35,10,-1
135,1,35,10,16,1
136,35,10,16,0,-1
137,10,16,0,1,0
138,16,0,1,3,-1
139,0,1,3,2,1
140,1,3,2,1,0
141,3,2,1,0,-1
142,2,1,0,0,0
143,1,0,0,0,1
144,0,0,0,1,0
145,0,0,1,1,-1
146,0,1,1,1,0
147,1,1,1,1,-1
148,1,1,1,1,0
149,1,1,1,1,-1
150,1,1,1,0,-1
151,1,1,0,8,-1
152,1,0,8,2,-1
153,0,8,2,3,1
154,8,2,3,0,-1
155,2,3,0,1,-1
156,3,0,1,0,0
157,0,1,0,15,1
158,1,0,15,3,1
159,0,15,3,5,-1
160,15,3,5,0,0
161,3,5,0,1,1
162,5,0,1,1,0
163,0,1,1,1,0
164,1,1,1,0,-1
165,1,1,0,1,0
166,1,0,1,0,-1
167,0,1,0,1,0
168,1,0,1,0,-1
169,0,1,0,1,1
170,1,0,1,15,1
171,0,1,15,2,1
172,1,15,2,4,-1
173,15,2,4,0,-1
174,2,4,0,1,0
175,4,0,1,0,-1
176,0,1,0,22,1
177,1,0,22,4,1
178,0,22,4,32,-1
179,22,4,32,0,-1
180,4,32,0,9,0
181,32,0,9,3,-1
182,0,9,3,30,-1
183,9,3,30,0,-1
184,3,30,0,9,1
185,30,0,9,2,-1
186,0,9,2,38,-1
187,9,2,38,2,0
188,2,38,2,12,-1
189,38,2,12,1,1
190,2,12,1,31,0
191,12,1,31,34,1
192,1,31,34,0,1
193,31,34,0,0,-1
194,34,0,0,5,1
195,0,0,5,2,1
196,0,5,2,6,-1
197,5,2,6,0,1
198,2,6,0,2,0
199,6,0,2,0,0
200,0,2,0,2,-1
201,2,0,2,0,-1
202,0,2,0,9,1
203,2,0,9,33,1
204,0,9,33,1,0
205,9,33,1,5,-1
206,33,1,5,8,-1
207,1,5,8,0,-1
208,5,8,0,0,-1
209,8,0,0,1,0
210,0,0,1,1,0
211,0,1,1,1,0
212,1,1,1,0,-1
213,1,1,0,1,0
214,1,0,1,30,-1
215,0,1,30,5,-1
216,1,30,5,8,-1
217,30,5,8,0,0
218,5,8,0,0,-1
219,8,0,0,34,-1
220,0,0,34,0,-1
221,0,34,0,19,0
222,34,0,19,0,-1
223,0,19,0,13,0
224,19,0,13,34,1
225,0,13,34,14,1
226,13,34,14,0,-1
227,34,14,0,0,-1
228,14,0,0,2,1
229,0,0,2,1,0
230,0,2,1,0,-1
231,2,1,0,5,1
232,1,0,5,0,-1
233,0,5,0,0,-1
234,5,0,0,0,1
235,0,0,0,0,-1
236,0,0,0,0,-1
237,0,0,0,0,1
238,0,0,0,13,1
239,0,0,13,0,-1
240,0,13,0,0,-1
241,13,0,0,0,-1
242,0,0,0,12,-1
243,0,0,12,38,0
244,0,12,38,0,0
245,12,38,0,0,-1
246,38,0,0,2,0
247,0,0,2,0,-1
248,0,2,0,0,-1
249,2,0,0,4,-1
250,0,0,4,0,-1
251,0,4,0,0,-1
252,4,0,0,0,-1
253,0,0,0,0,-1
254,0,0,0,0,0
255,0,0,0,0,-1
256,0,0,0,31,0
257,0,0,31,0,1
258,0,31,0,18,1
259,31,0,18,7,0
260,0,18,7,0,0
261,18,7,0,15,1
262,7,0,15,26,-1
263,0,15,26,0,-1
264,15,26,0,30,-1
