,s-3,s-2,s-1,a,r
256,2,6,1,0,-1
257,6,1,0,1,-1
258,1,0,1,1,0
259,0,1,1,2,1
260,1,1,2,3,1
261,1,2,3,8,1
262,2,3,8,5,-1
263,3,8,5,9,1
264,8,5,9,0,0
265,5,9,0,2,-1
266,9,0,2,6,-1
267,0,2,6,0,-1
268,2,6,0,8,1
269,6,0,8,2,1
270,0,8,2,3,0
271,8,2,3,4,-1
272,2,3,4,3,0
273,3,4,3,3,1
274,4,3,3,2,1
275,3,3,2,1,0
276,3,2,1,0,0
277,2,1,0,3,1
278,1,0,3,2,0
279,0,3,2,7,1
280,3,2,7,3,1
281,2,7,3,7,0
282,7,3,7,6,0
283,3,7,6,6,-1
284,7,6,6,9,1
285,6,6,9,7,-1
286,6,9,7,5,1
287,9,7,5,9,-1
288,7,5,9,8,1
289,5,9,8,3,1
290,9,8,3,5,-1
291,8,3,5,6,-1
292,3,5,6,3,1
293,5,6,3,2,1
294,6,3,2,5,-1
295,3,2,5,1,0
296,2,5,1,3,1
297,5,1,3,3,1
298,1,3,3,9,-1
299,3,3,9,3,1
300,3,9,3,2,-1
301,9,3,2,1,0
302,3,2,1,7,0
303,2,1,7,2,0
304,1,7,2,0,-1
305,7,2,0,6,-1
306,2,0,6,2,1
307,0,6,2,7,-1
308,6,2,7,7,-1
309,2,7,7,7,0
310,7,7,7,5,-1
311,7,7,5,2,1
312,7,5,2,6,-1
313,5,2,6,2,1
314,2,6,2,0,0
315,6,2,0,8,0
316,2,0,8,5,1
317,0,8,5,1,0
318,8,5,1,4,-1
319,5,1,4,0,1
320,1,4,0,5,-1
321,4,0,5,7,0
322,0,5,7,8,1
323,5,7,8,1,0
324,7,8,1,6,1
325,8,1,6,0,-1
326,1,6,0,8,1
327,6,0,8,6,-1
328,0,8,6,7,-1
329,8,6,7,1,0
330,6,7,1,8,0
331,7,1,8,6,-1
332,1,8,6,5,1
333,8,6,5,7,0
334,6,5,7,9,1
335,5,7,9,4,1
336,7,9,4,1,0
337,9,4,1,2,1
338,4,1,2,0,-1
339,1,2,0,3,-1
340,2,0,3,8,1
341,0,3,8,1,-1
342,3,8,1,2,0
343,8,1,2,7,0
344,1,2,7,9,-1
345,2,7,9,2,1
346,7,9,2,8,0
347,9,2,8,6,-1
348,2,8,6,8,1
349,8,6,8,0,0
350,6,8,0,7,-1
351,8,0,7,2,1
352,0,7,2,8,1
353,7,2,8,9,1
354,2,8,9,4,0
355,8,9,4,7,0
356,9,4,7,9,-1
357,4,7,9,6,-1
358,7,9,6,0,-1
359,9,6,0,3,-1
360,6,0,3,2,0
361,0,3,2,6,-1
362,3,2,6,7,0
363,2,6,7,6,-1
364,6,7,6,5,-1
365,7,6,5,0,-1
366,6,5,0,2,-1
367,5,0,2,0,-1
368,0,2,0,1,0
369,2,0,1,3,0
370,0,1,3,0,-1
371,1,3,0,8,-1
372,3,0,8,3,1
373,0,8,3,2,0
374,8,3,2,5,-1
375,3,2,5,2,0
376,2,5,2,2,0
377,5,2,2,9,1
378,2,2,9,1,0
379,2,9,1,8,1
380,9,1,8,7,0
381,1,8,7,9,1
382,8,7,9,8,0
383,7,9,8,9,1
384,9,8,9,6,-1
385,8,9,6,4,-1
386,9,6,4,9,1
387,6,4,9,2,1
388,4,9,2,8,1
389,9,2,8,8,0
390,2,8,8,1,0
391,8,8,1,4,1
392,8,1,4,7,0
393,1,4,7,6,-1
394,4,7,6,9,-1
395,7,6,9,9,-1
396,6,9,9,1,-1
397,9,9,1,2,-1
398,9,1,2,7,-1
399,1,2,7,0,1
400,2,7,0,2,1
401,7,0,2,5,0
402,0,2,5,0,-1
403,2,5,0,1,0
404,5,0,1,1,-1
405,0,1,1,5,-1
406,1,1,5,6,-1
407,1,5,6,8,1
408,5,6,8,4,1
409,6,8,4,9,1
410,8,4,9,8,0
411,4,9,8,4,1
412,9,8,4,7,0
413,8,4,7,3,-1
414,4,7,3,9,-1
415,7,3,9,4,-1
416,3,9,4,3,1
417,9,4,3,6,1
418,4,3,6,1,0
419,3,6,1,5,-1
420,6,1,5,0,-1
421,1,5,0,8,0
422,5,0,8,6,-1
423,0,8,6,4,-1
424,8,6,4,1,-1
425,6,4,1,4,-1
426,4,1,4,4,0
427,1,4,4,1,0
428,4,4,1,6,-1
429,4,1,6,6,-1
430,1,6,6,3,1
431,6,6,3,5,-1
432,6,3,5,4,-1
433,3,5,4,3,1
434,5,4,3,3,0
435,4,3,3,2,1
436,3,3,2,1,0
437,3,2,1,0,-1
438,2,1,0,8,1
439,1,0,8,2,1
440,0,8,2,0,-1
441,8,2,0,5,-1
442,2,0,5,3,1
443,0,5,3,6,-1
444,5,3,6,2,1
445,3,6,2,0,-1
446,6,2,0,7,0
447,2,0,7,0,-1
448,0,7,0,8,1
449,7,0,8,8,-1
450,0,8,8,1,-1
451,8,8,1,4,-1
452,8,1,4,2,1
453,1,4,2,1,1
454,4,2,1,7,-1
455,2,1,7,9,1
456,1,7,9,5,-1
457,7,9,5,1,0
458,9,5,1,7,0
459,5,1,7,6,-1
460,1,7,6,4,-1
461,7,6,4,0,0
462,6,4,0,5,-1
463,4,0,5,9,1
464,0,5,9,6,-1
465,5,9,6,9,1
466,9,6,9,2,1
467,6,9,2,1,0
468,9,2,1,0,-1
469,2,1,0,9,1
470,1,0,9,1,0
471,0,9,1,8,1
472,9,1,8,4,-1
473,1,8,4,9,1
474,8,4,9,5,-1
475,4,9,5,1,-1
476,9,5,1,7,0
477,5,1,7,3,1
478,1,7,3,9,-1
479,7,3,9,1,1
480,3,9,1,2,1
481,9,1,2,5,-1
482,1,2,5,4,-1
483,2,5,4,1,-1
484,5,4,1,3,1
485,4,1,3,9,1
486,1,3,9,2,1
487,3,9,2,5,0
488,9,2,5,3,1
489,2,5,3,6,1
490,5,3,6,9,1
491,3,6,9,1,1
492,6,9,1,4,-1
493,9,1,4,1,-1
494,1,4,1,8,1
495,4,1,8,0,0
496,1,8,0,6,-1
497,8,0,6,9,1
498,0,6,9,8,1
499,6,9,8,3,-1
500,9,8,3,0,0
501,8,3,0,5,-1
502,3,0,5,0,-1
503,0,5,0,9,1
504,5,0,9,3,1
505,0,9,3,7,0
506,9,3,7,2,1
507,3,7,2,9,1
508,7,2,9,9,1
509,2,9,9,6,-1
510,9,9,6,7,-1
511,9,6,7,9,1
512,6,7,9,0,0
513,7,9,0,8,0
514,9,0,8,8,-1
515,0,8,8,7,1
516,8,8,7,0,-1
517,8,7,0,1,0
518,7,0,1,9,0
519,0,1,9,5,1
520,1,9,5,6,-1
521,9,5,6,8,1
522,5,6,8,9,1
523,6,8,9,3,-1
524,8,9,3,1,1
525,9,3,1,2,0
526,3,1,2,2,1
527,1,2,2,8,1
528,2,2,8,8,0
529,2,8,8,6,-1
530,8,8,6,1,-1
531,8,6,1,9,1
532,6,1,9,2,0
533,1,9,2,8,1
534,9,2,8,9,-1
535,2,8,9,2,0
536,8,9,2,1,0
537,9,2,1,6,1
538,2,1,6,8,-1
539,1,6,8,5,-1
540,6,8,5,1,0
541,8,5,1,8,0
542,5,1,8,4,-1
543,1,8,4,5,-1
544,8,4,5,2,1
545,4,5,2,6,-1
546,5,2,6,5,-1
547,2,6,5,1,0
548,6,5,1,6,-1
549,5,1,6,2,1
550,1,6,2,0,0
551,6,2,0,2,0
552,2,0,2,2,1
553,0,2,2,9,1
554,2,2,9,5,-1
