,s-3,s-2,s-1,a,r
0,3,2,17,5,-1
1,2,17,5,8,0
2,17,5,8,4,-1
3,5,8,4,1,0
4,8,4,1,19,0
5,4,1,19,7,1
6,1,19,7,19,0
7,19,7,19,13,0
8,7,19,13,17,-1
9,19,13,17,19,-1
10,13,17,19,19,-1
11,17,19,19,17,1
12,19,19,17,12,-1
13,19,17,12,8,1
14,17,12,8,14,1
15,12,8,14,11,-1
16,8,14,11,13,0
17,14,11,13,13,0
18,11,13,13,14,-1
19,13,13,14,14,0
20,13,14,14,2,1
21,14,14,2,3,0
22,14,2,3,0,-1
23,2,3,0,3,1
24,3,0,3,13,0
25,0,3,13,15,1
26,3,13,15,7,0
27,13,15,7,8,-1
28,15,7,8,12,1
29,7,8,12,1,0
30,8,12,1,5,0
31,12,1,5,5,-1
32,1,5,5,3,1
33,5,5,3,1,0
34,5,3,1,16,1
35,3,1,16,12,0
36,1,16,12,5,1
37,16,12,5,17,-1
38,12,5,17,18,1
39,5,17,18,0,1
40,17,18,0,5,-1
41,18,0,5,19,0
42,0,5,19,9,1
43,5,19,9,4,-1
44,19,9,4,2,1
45,9,4,2,6,-1
46,4,2,6,1,0
47,2,6,1,1,0
48,6,1,1,3,-1
49,1,1,3,18,1
50,1,3,18,16,1
51,3,18,16,8,1
52,18,16,8,4,-1
53,16,8,4,14,-1
54,8,4,14,14,1
55,4,14,14,1,0
56,14,14,1,17,-1
57,14,1,17,1,0
58,1,17,1,1,0
59,17,1,1,8,0
60,1,1,8,11,-1
61,1,8,11,15,1
62,8,11,15,12,0
63,11,15,12,1,0
64,15,12,1,6,1
65,12,1,6,18,-1
66,1,6,18,17,-1
67,6,18,17,15,1
68,18,17,15,1,0
69,17,15,1,3,0
70,15,1,3,8,1
71,1,3,8,16,-1
72,3,8,16,6,-1
73,8,16,6,8,1
74,16,6,8,10,1
75,6,8,10,10,1
76,8,10,10,6,1
77,10,10,6,9,1
78,10,6,9,6,-1
79,6,9,6,8,1
80,9,6,8,10,-1
81,6,8,10,14,1
82,8,10,14,5,-1
83,10,14,5,5,-1
84,14,5,5,1,0
85,5,5,1,3,1
86,5,1,3,6,-1
87,1,3,6,13,0
88,3,6,13,12,0
89,6,13,12,10,-1
90,13,12,10,11,-1
91,12,10,11,16,1
92,10,11,16,10,1
93,11,16,10,14,1
94,16,10,14,3,1
95,10,14,3,2,1
96,14,3,2,1,0
97,3,2,1,7,0
98,2,1,7,19,0
99,1,7,19,7,0
100,7,19,7,0,0
101,19,7,0,4,-1
102,7,0,4,14,0
103,0,4,14,10,0
104,4,14,10,7,0
105,14,10,7,18,-1
106,10,7,18,19,-1
107,7,18,19,4,1
108,18,19,4,13,0
109,19,4,13,10,-1
110,4,13,10,16,-1
111,13,10,16,8,0
112,10,16,8,14,1
113,16,8,14,16,-1
114,8,14,16,7,-1
115,14,16,7,12,0
116,16,7,12,0,0
117,7,12,0,1,-1
118,12,0,1,9,-1
119,0,1,9,17,-1
120,1,9,17,11,0
121,9,17,11,9,1
122,17,11,9,7,0
123,11,9,7,4,-1
124,9,7,4,10,-1
125,7,4,10,3,-1
126,4,10,3,14,1
127,10,3,14,17,-1
128,3,14,17,14,1
129,14,17,14,18,0
130,17,14,18,9,1
131,14,18,9,3,-1
132,18,9,3,0,-1
133,9,3,0,2,1
134,3,0,2,11,-1
135,0,2,11,0,-1
136,2,11,0,17,-1
137,11,0,17,18,-1
138,0,17,18,5,-1
139,17,18,5,3,-1
140,18,5,3,10,-1
141,5,3,10,16,-1
142,3,10,16,1,0
143,10,16,1,6,1
144,16,1,6,1,0
145,1,6,1,5,-1
146,6,1,5,17,1
147,1,5,17,17,-1
148,5,17,17,14,-1
149,17,17,14,1,0
150,17,14,1,4,-1
151,14,1,4,4,-1
152,1,4,4,12,-1
153,4,4,12,18,-1
154,4,12,18,8,1
155,12,18,8,1,0
156,18,8,1,9,1
157,8,1,9,13,0
158,1,9,13,6,1
159,9,13,6,14,-1
160,13,6,14,5,-1
161,6,14,5,17,-1
162,14,5,17,16,-1
163,5,17,16,13,-1
164,17,16,13,13,0
165,16,13,13,2,0
166,13,13,2,15,0
167,13,2,15,17,-1
168,2,15,17,4,-1
169,15,17,4,3,1
170,17,4,3,14,0
171,4,3,14,3,1
172,3,14,3,11,-1
173,14,3,11,10,-1
174,3,11,10,11,1
175,11,10,11,6,-1
176,10,11,6,4,1
177,11,6,4,2,1
178,6,4,2,17,-1
179,4,2,17,8,1
180,2,17,8,18,0
181,17,8,18,18,-1
182,8,18,18,6,-1
183,18,18,6,8,0
184,18,6,8,15,1
185,6,8,15,16,-1
186,8,15,16,12,-1
187,15,16,12,2,1
188,16,12,2,12,0
189,12,2,12,4,-1
190,2,12,4,3,1
191,12,4,3,7,0
192,4,3,7,18,0
193,3,7,18,6,0
194,7,18,6,8,-1
195,18,6,8,3,1
196,6,8,3,10,1
