,s-2,s-1,a,r,none
0,4,1,3,-1,
1,1,3,2,1,
2,3,2,5,-1,
3,2,5,0,0,
4,5,0,4,1,
5,0,4,5,-1,
6,4,5,4,0,
7,5,4,5,-1,
8,4,5,4,1,
9,5,4,4,-1,
10,4,4,1,0,
11,4,1,3,-1,
12,1,3,0,-1,
13,3,0,4,-1,
14,0,4,2,-1,
15,4,2,4,1,
16,2,4,4,-1,
17,4,4,2,-1,
18,4,2,2,-1,
19,2,2,1,1,
20,2,1,0,-1,
21,1,0,1,0,
22,0,1,5,-1,
23,1,5,4,-1,
24,5,4,5,-1,
25,4,5,3,1,
26,5,3,2,-1,
27,3,2,3,1,
28,2,3,2,1,
29,3,2,5,-1,
30,2,5,4,-1,
31,5,4,2,1,
32,4,2,4,-1,
33,2,4,2,-1,
34,4,2,0,-1,
35,2,0,1,0,
36,0,1,2,1,
37,1,2,2,1,
38,2,2,3,1,
39,2,3,0,-1,
40,3,0,3,0,
41,0,3,4,-1,
42,3,4,5,1,
43,4,5,1,0,
44,5,1,2,1,
45,1,2,3,0,
46,2,3,2,1,
47,3,2,3,1,
48,2,3,4,1,
49,3,4,3,0,
50,4,3,1,0,
51,3,1,3,1,
52,1,3,2,0,
53,3,2,2,-1,
54,2,2,2,0,
55,2,2,3,1,
56,2,3,3,0,
57,3,3,4,-1,
58,3,4,2,1,
59,4,2,1,0,
60,2,1,1,-1,
61,1,1,2,1,
62,1,2,0,0,
63,2,0,5,-1,
64,0,5,0,-1,
65,5,0,3,1,
66,0,3,1,0,
67,3,1,3,1,
68,1,3,0,-1,
69,3,0,3,1,
70,0,3,2,1,
71,3,2,3,1,
72,2,3,3,1,
73,3,3,0,0,
74,3,0,1,0,
75,0,1,2,1,
76,1,2,2,1,
77,2,2,5,-1,
78,2,5,5,-1,
79,5,5,0,0,
80,5,0,1,0,
81,0,1,2,1,
82,1,2,3,-1,
83,2,3,1,-1,
84,3,1,0,-1,
85,1,0,3,0,
86,0,3,1,0,
87,3,1,1,-1,
88,1,1,5,0,
89,1,5,2,1,
90,5,2,5,0,
91,2,5,0,-1,
92,5,0,5,-1,
93,0,5,1,1,
94,5,1,4,-1,
95,1,4,3,1,
96,4,3,4,-1,
97,3,4,2,1,
98,4,2,1,-1,
99,2,1,5,-1,
100,1,5,3,1,
101,5,3,0,-1,
102,3,0,4,1,
103,0,4,1,0,
104,4,1,2,1,
105,1,2,2,-1,
106,2,2,2,1,
107,2,2,2,1,
108,2,2,4,-1,
109,2,4,3,-1,
110,4,3,0,-1,
111,3,0,4,-1,
112,0,4,1,0,
113,4,1,5,-1,
114,1,5,2,1,
115,5,2,0,0,
116,2,0,3,1,
117,0,3,2,1,
118,3,2,4,-1,
119,2,4,2,1,
120,4,2,4,-1,
121,2,4,5,-1,
122,4,5,5,-1,
123,5,5,1,0,
124,5,1,4,-1,
125,1,4,3,-1,
126,4,3,1,-1,
127,3,1,3,1,
128,1,3,2,0,
129,3,2,0,-1,
130,2,0,2,0,
131,0,2,2,1,
132,2,2,4,-1,
133,2,4,3,1,
134,4,3,5,-1,
135,3,5,2,1,
136,5,2,1,-1,
137,2,1,2,0,
138,1,2,3,1,
139,2,3,4,-1,
140,3,4,2,1,
141,4,2,4,-1,
142,2,4,3,1,
143,4,3,1,-1,
144,3,1,5,-1,
145,1,5,1,0,
146,5,1,0,1,
147,1,0,1,0,
148,0,1,2,1,
149,1,2,2,1,
150,2,2,5,-1,
151,2,5,1,1,
152,5,1,5,-1,
153,1,5,4,1,
154,5,4,2,1,
155,4,2,1,0,
156,2,1,2,1,
157,1,2,0,-1,
158,2,0,2,-1,
159,0,2,3,-1,
160,2,3,3,-1,
161,3,3,5,0,
162,3,5,2,0,
163,5,2,0,-1,
164,2,0,4,-1,
165,0,4,4,-1,
166,4,4,1,0,
167,4,1,0,0,
168,1,0,0,0,
169,0,0,1,0,
170,0,1,2,1,
171,1,2,1,0,
172,2,1,1,0,
173,1,1,1,0,
174,1,1,1,-1,
175,1,1,2,1,
176,1,2,0,-1,
177,2,0,1,0,
178,0,1,5,-1,
179,1,5,3,1,
180,5,3,4,-1,
181,3,4,4,-1,
182,4,4,3,1,
183,4,3,0,-1,
184,3,0,1,0,
185,0,1,2,1,
186,1,2,5,-1,
187,2,5,4,1,
188,5,4,3,-1,
189,4,3,2,1,
