,s-2,s-1,a,r,none
0,1,5,0,0,
1,5,0,5,1,
2,0,5,4,1,
3,5,4,0,1,
4,4,0,0,1,
5,0,0,5,0,
6,0,5,0,1,
7,5,0,4,0,
8,0,4,4,0,
9,4,4,4,0,
10,4,4,4,0,
11,4,4,4,0,
12,4,4,1,1,
13,4,1,2,1,
14,1,2,5,-1,
15,2,5,4,0,
16,5,4,0,1,
17,4,0,4,1,
18,0,4,5,1,
19,4,5,0,1,
20,5,0,5,1,
21,0,5,2,0,
22,5,2,5,0,
23,2,5,2,1,
24,5,2,2,0,
25,2,2,2,0,
26,2,2,3,0,
27,2,3,0,1,
28,3,0,0,1,
29,0,0,5,-1,
30,0,5,4,1,
31,5,4,1,-1,
32,4,1,2,1,
33,1,2,0,1,
34,2,0,1,1,
35,0,1,3,0,
36,1,3,0,1,
37,3,0,3,0,
38,0,3,1,1,
39,3,1,1,-1,
40,1,1,1,1,
41,1,1,3,-1,
42,1,3,4,-1,
43,3,4,2,1,
44,4,2,4,1,
45,2,4,0,1,
46,4,0,0,1,
47,0,0,2,1,
48,0,2,1,0,
49,2,1,2,0,
50,1,2,0,1,
51,2,0,1,0,
52,0,1,3,1,
53,1,3,4,1,
54,3,4,1,1,
55,4,1,0,1,
56,1,0,4,0,
57,0,4,1,1,
58,4,1,5,0,
59,1,5,4,-1,
60,5,4,3,-1,
61,4,3,4,0,
62,3,4,1,1,
63,4,1,5,1,
64,1,5,2,1,
65,5,2,4,0,
66,2,4,0,0,
67,4,0,0,1,
68,0,0,4,0,
69,0,4,5,1,
70,4,5,3,-1,
71,5,3,3,0,
72,3,3,5,0,
73,3,5,5,0,
74,5,5,5,0,
75,5,5,2,0,
76,5,2,1,1,
77,2,1,5,1,
78,1,5,0,1,
79,5,0,1,0,
80,0,1,4,0,
81,1,4,1,-1,
82,4,1,5,0,
83,1,5,1,0,
84,5,1,4,0,
85,1,4,5,0,
86,4,5,2,0,
87,5,2,2,0,
88,2,2,1,1,
89,2,1,4,1,
90,1,4,5,0,
91,4,5,3,0,
92,5,3,3,1,
93,3,3,3,0,
94,3,3,5,0,
95,3,5,3,1,
96,5,3,3,1,
97,3,3,4,-1,
98,3,4,1,0,
99,4,1,2,1,
100,1,2,1,1,
101,2,1,5,0,
102,1,5,5,0,
103,5,5,3,0,
104,5,3,2,0,
105,3,2,5,0,
106,2,5,5,0,
107,5,5,2,1,
108,5,2,1,0,
109,2,1,0,0,
110,1,0,2,0,
111,0,2,2,0,
112,2,2,5,0,
113,2,5,5,0,
114,5,5,2,0,
115,5,2,0,1,
116,2,0,1,1,
117,0,1,3,1,
118,1,3,2,0,
119,3,2,1,0,
120,2,1,1,1,
121,1,1,1,0,
122,1,1,5,0,
123,1,5,2,1,
124,5,2,2,0,
125,2,2,0,1,
126,2,0,0,1,
127,0,0,4,0,
128,0,4,2,0,
129,4,2,5,1,
130,2,5,2,0,
131,5,2,5,0,
132,2,5,4,1,
133,5,4,0,1,
134,4,0,1,0,
135,0,1,3,1,
136,1,3,2,0,
137,3,2,4,0,
138,2,4,0,0,
139,4,0,3,0,
140,0,3,3,1,
141,3,3,1,0,
142,3,1,3,1,
143,1,3,5,1,
144,3,5,2,0,
145,5,2,4,0,
146,2,4,4,0,
147,4,4,5,0,
148,4,5,0,0,
149,5,0,3,1,
