,s-2,s-1,a,r,none
0,0,0,1,0,
1,0,1,2,0,
2,1,2,3,0,
3,2,3,2,0,
4,3,2,5,1,
5,2,5,4,1,
6,5,4,0,0,
7,4,0,0,1,
8,0,0,5,1,
9,0,5,5,0,
10,5,5,4,0,
11,5,4,3,0,
12,4,3,5,0,
13,3,5,0,0,
14,5,0,2,1,
15,0,2,1,0,
16,2,1,1,1,
17,1,1,1,-1,
18,1,1,5,1,
19,1,5,4,0,
20,5,4,0,0,
21,4,0,5,0,
22,0,5,4,1,
23,5,4,3,-1,
24,4,3,3,1,
25,3,3,2,0,
26,3,2,1,0,
27,2,1,4,1,
28,1,4,2,1,
29,4,2,0,0,
30,2,0,3,1,
31,0,3,2,0,
32,3,2,2,0,
33,2,2,3,0,
34,2,3,1,1,
35,3,1,3,1,
36,1,3,5,1,
37,3,5,5,0,
38,5,5,3,-1,
39,5,3,5,1,
40,3,5,0,1,
41,5,0,5,1,
42,0,5,4,0,
43,5,4,4,0,
44,4,4,5,0,
45,4,5,2,1,
46,5,2,1,0,
47,2,1,4,0,
48,1,4,4,0,
49,4,4,1,0,
50,4,1,2,1,
51,1,2,5,0,
52,2,5,4,1,
53,5,4,2,0,
54,4,2,0,1,
55,2,0,5,1,
56,0,5,0,1,
57,5,0,0,1,
58,0,0,3,0,
59,0,3,3,0,
60,3,3,3,0,
61,3,3,0,0,
62,3,0,2,1,
63,0,2,3,1,
64,2,3,0,0,
65,3,0,4,-1,
66,0,4,5,0,
67,4,5,5,0,
68,5,5,5,0,
69,5,5,4,1,
70,5,4,0,1,
71,4,0,3,0,
72,0,3,4,0,
73,3,4,4,0,
74,4,4,3,0,
75,4,3,1,0,
76,3,1,4,0,
77,1,4,3,0,
78,4,3,0,1,
79,3,0,5,1,
80,0,5,0,1,
81,5,0,4,0,
82,0,4,1,0,
83,4,1,2,1,
84,1,2,0,0,
85,2,0,4,0,
86,0,4,2,0,
87,4,2,3,1,
88,2,3,0,1,
89,3,0,5,0,
90,0,5,2,0,
91,5,2,5,1,
92,2,5,3,1,
93,5,3,0,1,
94,3,0,0,1,
95,0,0,3,0,
96,0,3,4,-1,
97,3,4,3,0,
98,4,3,4,1,
99,3,4,5,0,
100,4,5,0,1,
101,5,0,2,1,
102,0,2,3,1,
103,2,3,0,0,
104,3,0,2,1,
105,0,2,4,1,
106,2,4,0,1,
107,4,0,3,1,
108,0,3,5,0,
109,3,5,5,0,
110,5,5,2,1,
111,5,2,5,0,
112,2,5,1,0,
113,5,1,1,-1,
114,1,1,2,0,
115,1,2,2,0,
116,2,2,2,0,
117,2,2,2,0,
118,2,2,5,1,
119,2,5,1,0,
120,5,1,2,1,
121,1,2,4,-1,
122,2,4,2,0,
123,4,2,3,0,
124,2,3,2,1,
125,3,2,1,0,
126,2,1,2,1,
127,1,2,4,-1,
128,2,4,5,1,
129,4,5,0,0,
130,5,0,2,0,
131,0,2,3,1,
132,2,3,1,0,
133,3,1,2,1,
134,1,2,0,0,
135,2,0,3,0,
136,0,3,0,0,
137,3,0,0,1,
138,0,0,5,0,
139,0,5,0,0,
140,5,0,3,0,
141,0,3,2,1,
142,3,2,2,0,
143,2,2,5,-1,
144,2,5,4,1,
145,5,4,3,1,
146,4,3,1,-1,
147,3,1,2,1,
148,1,2,2,0,
149,2,2,1,0,
150,2,1,2,0,
151,1,2,3,1,
152,2,3,0,0,
153,3,0,3,0,
154,0,3,4,1,
155,3,4,1,0,
156,4,1,2,0,
157,1,2,3,0,
158,2,3,2,0,
159,3,2,1,0,
160,2,1,5,-1,
161,1,5,1,1,
162,5,1,2,1,
163,1,2,5,0,
164,2,5,5,0,
165,5,5,0,1,
166,5,0,2,0,
167,0,2,3,0,
168,2,3,2,1,
169,3,2,5,0,
170,2,5,1,1,
171,5,1,1,0,
172,1,1,0,1,
173,1,0,1,0,
174,0,1,1,-1,
175,1,1,0,1,
176,1,0,4,0,
177,0,4,2,1,
178,4,2,0,0,
179,2,0,3,1,
180,0,3,3,1,
181,3,3,3,0,
182,3,3,3,0,
183,3,3,2,-1,
184,3,2,0,1,
185,2,0,1,0,
186,0,1,2,0,
187,1,2,2,1,
188,2,2,3,1,
189,2,3,2,1,
190,3,2,0,0,
191,2,0,0,1,
192,0,0,0,1,
193,0,0,0,1,
