,s-2,s-1,a,r,none
0,4,3,1,0,
1,3,1,5,0,
2,1,5,1,1,
3,5,1,0,1,
4,1,0,3,1,
5,0,3,1,0,
6,3,1,3,0,
7,1,3,3,1,
8,3,3,1,0,
9,3,1,4,0,
10,1,4,2,1,
11,4,2,2,0,
12,2,2,1,0,
13,2,1,2,1,
14,1,2,0,0,
15,2,0,0,1,
16,0,0,2,1,
17,0,2,4,-1,
18,2,4,2,0,
19,4,2,1,1,
20,2,1,5,-1,
21,1,5,1,0,
22,5,1,0,1,
23,1,0,5,0,
24,0,5,1,1,
25,5,1,1,-1,
26,1,1,1,0,
27,1,1,2,0,
28,1,2,4,-1,
29,2,4,2,1,
30,4,2,2,0,
31,2,2,4,0,
32,2,4,2,0,
33,4,2,4,0,
34,2,4,2,1,
35,4,2,2,0,
36,2,2,4,1,
37,2,4,5,1,
38,4,5,3,0,
39,5,3,1,0,
40,3,1,5,-1,
41,1,5,1,0,
42,5,1,0,0,
43,1,0,1,1,
44,0,1,3,1,
45,1,3,3,0,
46,3,3,4,0,
47,3,4,0,0,
48,4,0,3,0,
49,0,3,0,0,
50,3,0,4,0,
51,0,4,1,0,
52,4,1,2,1,
53,1,2,3,-1,
54,2,3,0,0,
55,3,0,0,1,
56,0,0,0,1,
57,0,0,0,1,
58,0,0,5,1,
59,0,5,3,0,
60,5,3,2,1,
61,3,2,3,0,
62,2,3,0,0,
63,3,0,1,0,
64,0,1,1,1,
65,1,1,0,1,
66,1,0,0,1,
67,0,0,2,1,
68,0,2,1,0,
69,2,1,4,1,
70,1,4,5,1,
71,4,5,2,0,
72,5,2,4,0,
73,2,4,2,1,
74,4,2,3,0,
75,2,3,1,0,
76,3,1,3,0,
77,1,3,2,0,
78,3,2,2,1,
79,2,2,0,0,
80,2,0,0,1,
81,0,0,2,1,
82,0,2,4,0,
83,2,4,4,0,
84,4,4,0,0,
85,4,0,4,1,
86,0,4,0,1,
87,4,0,3,0,
88,0,3,5,-1,
89,3,5,0,0,
90,5,0,0,1,
91,0,0,4,-1,
92,0,4,3,0,
93,4,3,4,1,
94,3,4,1,0,
95,4,1,5,0,
96,1,5,2,0,
97,5,2,2,0,
98,2,2,3,-1,
99,2,3,2,1,
100,3,2,0,1,
101,2,0,1,1,
102,0,1,4,0,
103,1,4,5,0,
104,4,5,0,0,
105,5,0,2,1,
106,0,2,0,0,
107,2,0,0,1,
108,0,0,2,1,
109,0,2,3,0,
110,2,3,3,1,
111,3,3,1,0,
112,3,1,5,1,
113,1,5,1,1,
114,5,1,5,0,
115,1,5,1,0,
116,5,1,0,0,
117,1,0,4,0,
118,0,4,0,1,
119,4,0,2,1,
120,0,2,0,1,
121,2,0,0,1,
122,0,0,2,0,
123,0,2,0,1,
124,2,0,1,0,
125,0,1,3,0,
126,1,3,1,0,
127,3,1,4,0,
128,1,4,3,1,
129,4,3,5,0,
130,3,5,4,-1,
131,5,4,1,1,
132,4,1,1,0,
133,1,1,2,1,
134,1,2,1,1,
135,2,1,2,1,
136,1,2,1,0,
137,2,1,2,1,
138,1,2,5,1,
139,2,5,2,0,
140,5,2,0,1,
141,2,0,0,1,
142,0,0,2,0,
143,0,2,3,1,
144,2,3,3,0,
145,3,3,2,0,
146,3,2,5,1,
147,2,5,5,0,
148,5,5,1,0,
149,5,1,0,0,
150,1,0,0,1,
151,0,0,2,1,
152,0,2,0,0,
153,2,0,0,1,
154,0,0,2,0,
155,0,2,0,0,
156,2,0,0,0,
157,0,0,2,1,
158,0,2,5,0,
159,2,5,4,0,
160,5,4,4,0,
161,4,4,1,0,
162,4,1,1,-1,
163,1,1,4,1,
164,1,4,3,1,
165,4,3,0,0,
166,3,0,0,1,
167,0,0,0,1,
168,0,0,0,1,
169,0,0,1,0,
170,0,1,1,1,
171,1,1,3,1,
172,1,3,3,1,
173,3,3,0,0,
174,3,0,5,-1,
175,0,5,4,-1,
176,5,4,2,0,
177,4,2,5,-1,
178,2,5,3,-1,
179,5,3,2,0,
180,3,2,5,1,
181,2,5,2,1,
182,5,2,2,0,
183,2,2,0,1,
184,2,0,1,1,
185,0,1,3,0,
186,1,3,0,0,
187,3,0,4,1,
188,0,4,0,1,
189,4,0,0,0,
190,0,0,2,1,
191,0,2,1,0,
192,2,1,4,1,
193,1,4,5,0,
194,4,5,0,0,
195,5,0,5,1,
196,0,5,1,0,
197,5,1,0,1,
198,1,0,1,1,
199,0,1,1,1,
200,1,1,3,1,
201,1,3,1,1,
202,3,1,3,1,
203,1,3,5,0,
204,3,5,2,0,
205,5,2,1,0,
206,2,1,4,0,
207,1,4,5,-1,
208,4,5,0,1,
209,5,0,4,0,
210,0,4,0,1,
211,4,0,4,0,
212,0,4,0,0,
213,4,0,4,-1,
214,0,4,3,-1,
215,4,3,2,0,
216,3,2,0,0,
217,2,0,0,1,
218,0,0,0,1,
219,0,0,2,0,
220,0,2,3,0,
221,2,3,2,0,
222,3,2,5,0,
223,2,5,1,0,
224,5,1,3,0,
225,1,3,0,0,
226,3,0,0,1,
227,0,0,0,1,
228,0,0,0,1,
229,0,0,5,-1,
230,0,5,4,0,
231,5,4,1,0,
232,4,1,3,-1,
233,1,3,3,0,
234,3,3,5,0,
235,3,5,1,0,
236,5,1,5,0,
237,1,5,4,1,
238,5,4,3,0,
239,4,3,4,1,
240,3,4,2,0,
241,4,2,1,0,
242,2,1,5,-1,
243,1,5,1,0,
244,5,1,0,0,
245,1,0,1,0,
246,0,1,1,1,
247,1,1,1,1,
248,1,1,2,1,
249,1,2,4,-1,
250,2,4,2,1,
251,4,2,4,-1,
252,2,4,4,0,
253,4,4,5,0,
254,4,5,1,1,
255,5,1,0,0,
256,1,0,0,1,
257,0,0,0,1,
258,0,0,0,1,
259,0,0,0,1,
260,0,0,2,0,
261,0,2,0,0,
262,2,0,2,1,
263,0,2,3,0,
264,2,3,2,1,
265,3,2,5,1,
266,2,5,4,0,
267,5,4,5,1,
268,4,5,0,1,
269,5,0,0,1,
270,0,0,0,1,
271,0,0,0,1,
272,0,0,0,1,
273,0,0,0,1,
274,0,0,0,1,
275,0,0,0,1,
276,0,0,2,0,
277,0,2,5,0,
278,2,5,4,1,
279,5,4,4,0,
280,4,4,3,0,
281,4,3,4,-1,
282,3,4,4,0,
283,4,4,4,0,
284,4,4,5,-1,
285,4,5,0,1,
286,5,0,0,1,
287,0,0,0,1,
288,0,0,0,1,
289,0,0,0,1,
290,0,0,2,0,
291,0,2,4,1,
292,2,4,5,1,
293,4,5,0,1,
294,5,0,0,0,
295,0,0,0,1,
296,0,0,0,1,
297,0,0,0,1,
298,0,0,2,1,
299,0,2,3,0,
300,model: REINFORCE,episode: 300,T: 2,Num of Category: 6,M(Batch): 3
