,s-2,s-1,a,r,none
0,0,0,2,0,
1,0,2,4,0,
2,2,4,4,0,
3,4,4,4,0,
4,4,4,5,1,
5,4,5,1,0,
6,5,1,4,0,
7,1,4,0,1,
8,4,0,5,-1,
9,0,5,5,0,
10,5,5,1,0,
11,5,1,2,0,
12,1,2,0,0,
13,2,0,2,1,
14,0,2,1,0,
15,2,1,2,0,
16,1,2,5,1,
17,2,5,5,0,
18,5,5,1,0,
19,5,1,5,1,
20,1,5,1,-1,
21,5,1,3,0,
22,1,3,2,0,
23,3,2,0,1,
24,2,0,2,1,
25,0,2,1,0,
26,2,1,3,0,
27,1,3,3,0,
28,3,3,3,0,
29,3,3,0,1,
30,3,0,1,0,
31,0,1,1,0,
32,1,1,2,0,
33,1,2,5,1,
34,2,5,2,0,
35,5,2,2,0,
36,2,2,4,0,
37,2,4,3,-1,
38,4,3,3,0,
39,3,3,2,0,
40,3,2,5,0,
41,2,5,2,1,
42,5,2,0,1,
43,2,0,2,0,
44,0,2,1,0,
45,2,1,4,0,
46,1,4,3,0,
47,4,3,3,0,
48,3,3,5,1,
49,3,5,5,0,
50,5,5,4,1,
51,5,4,4,0,
52,4,4,5,0,
53,4,5,2,0,
54,5,2,0,1,
55,2,0,1,1,
56,0,1,0,1,
57,1,0,4,0,
58,0,4,2,1,
59,4,2,4,0,
60,2,4,3,0,
61,4,3,4,1,
62,3,4,3,0,
63,4,3,5,0,
64,3,5,2,1,
65,5,2,1,1,
66,2,1,0,0,
67,1,0,3,0,
68,0,3,4,0,
69,3,4,1,0,
70,4,1,4,1,
71,1,4,1,1,
72,4,1,2,1,
73,1,2,0,1,
74,2,0,2,1,
75,0,2,5,-1,
76,2,5,3,0,
77,5,3,3,1,
78,3,3,5,1,
79,3,5,2,0,
80,5,2,1,0,
81,2,1,2,1,
82,1,2,3,1,
83,2,3,2,1,
84,3,2,2,0,
85,2,2,4,0,
86,2,4,4,0,
87,4,4,3,1,
88,4,3,1,0,
89,3,1,0,1,
90,1,0,2,1,
91,0,2,0,0,
92,2,0,4,1,
93,0,4,3,1,
94,4,3,1,1,
95,3,1,5,-1,
96,1,5,0,1,
97,5,0,0,1,
98,0,0,3,0,
99,0,3,4,0,
100,3,4,0,1,
101,4,0,2,1,
102,0,2,4,0,
103,2,4,1,0,
104,4,1,2,1,
105,1,2,3,0,
106,2,3,4,-1,
107,3,4,1,1,
108,4,1,4,0,
109,1,4,0,0,
110,4,0,0,0,
111,0,0,5,0,
112,0,5,1,1,
113,5,1,3,0,
114,1,3,0,1,
115,3,0,2,0,
116,0,2,2,0,
117,2,2,3,0,
118,2,3,0,0,
119,3,0,3,1,
120,0,3,0,0,
121,3,0,5,0,
122,0,5,1,1,
123,5,1,5,0,
124,1,5,4,0,
125,5,4,1,0,
126,4,1,1,0,
127,1,1,5,1,
128,1,5,4,1,
129,5,4,2,0,
130,4,2,0,0,
131,2,0,2,0,
132,0,2,2,0,
133,2,2,5,1,
134,2,5,2,0,
135,5,2,4,-1,
136,2,4,1,0,
137,4,1,4,-1,
138,1,4,1,0,
139,4,1,2,1,
140,1,2,0,0,
141,2,0,2,0,
142,0,2,2,0,
143,2,2,4,0,
144,2,4,2,0,
145,4,2,2,0,
146,2,2,0,1,
147,2,0,4,1,
148,0,4,2,1,
149,4,2,2,0,
150,2,2,0,1,
151,2,0,2,1,
152,0,2,3,-1,
153,2,3,0,0,
154,3,0,3,1,
155,0,3,0,0,
156,3,0,3,1,
157,0,3,1,1,
158,3,1,0,0,
