,s-2,s-1,a,r,none
0,4,4,5,0,
1,4,5,0,1,
2,5,0,4,1,
3,0,4,5,0,
4,4,5,0,0,
5,5,0,4,0,
6,0,4,0,1,
7,4,0,3,0,
8,0,3,3,1,
9,3,3,4,1,
10,3,4,5,0,
11,4,5,5,0,
12,5,5,5,0,
13,5,5,2,0,
14,5,2,0,0,
15,2,0,0,1,
16,0,0,0,1,
17,0,0,3,-1,
18,0,3,0,1,
19,3,0,2,0,
20,0,2,3,0,
21,2,3,0,1,
22,3,0,2,1,
23,0,2,2,0,
24,2,2,4,0,
25,2,4,0,0,
26,4,0,1,0,
27,0,1,2,0,
28,1,2,5,1,
29,2,5,0,1,
30,5,0,3,0,
31,0,3,2,1,
32,3,2,4,1,
33,2,4,1,1,
34,4,1,4,1,
35,1,4,2,0,
36,4,2,3,1,
37,2,3,5,1,
38,3,5,0,0,
39,5,0,5,0,
40,0,5,2,1,
41,5,2,0,0,
42,2,0,0,1,
43,0,0,5,0,
44,0,5,5,0,
45,5,5,3,0,
46,5,3,5,0,
47,3,5,5,0,
48,5,5,2,0,
49,5,2,5,1,
50,2,5,4,0,
51,5,4,0,0,
52,4,0,0,1,
53,0,0,0,1,
54,0,0,0,1,
55,0,0,0,1,
56,0,0,1,0,
57,0,1,1,-1,
58,1,1,4,0,
59,1,4,1,1,
60,4,1,1,1,
61,1,1,1,1,
62,1,1,5,0,
63,1,5,3,0,
64,5,3,2,0,
65,3,2,1,0,
66,2,1,0,0,
67,1,0,5,0,
68,0,5,1,0,
69,5,1,4,1,
70,1,4,2,1,
71,4,2,2,0,
72,2,2,2,0,
73,2,2,1,0,
74,2,1,2,0,
75,1,2,4,-1,
76,2,4,2,1,
77,4,2,3,0,
78,2,3,5,0,
79,3,5,0,0,
80,5,0,2,1,
81,0,2,3,1,
82,2,3,2,1,
83,3,2,4,1,
84,2,4,2,1,
85,4,2,5,0,
86,2,5,4,-1,
87,5,4,5,0,
88,4,5,4,1,
89,5,4,5,0,
90,4,5,4,0,
91,5,4,3,0,
92,4,3,1,0,
93,3,1,3,0,
94,1,3,0,-1,
95,3,0,3,1,
96,0,3,3,0,
97,3,3,5,0,
98,3,5,0,1,
99,5,0,3,1,
100,0,3,2,1,
101,3,2,3,0,
102,2,3,5,1,
103,3,5,2,0,
104,5,2,4,1,
105,2,4,3,-1,
106,4,3,5,0,
107,3,5,4,0,
108,5,4,5,1,
109,4,5,3,1,
110,5,3,1,0,
111,3,1,0,0,
112,1,0,2,1,
113,0,2,2,0,
114,2,2,3,1,
115,2,3,3,0,
116,3,3,4,1,
117,3,4,2,1,
118,4,2,3,0,
119,2,3,5,0,
120,3,5,1,1,
121,5,1,2,1,
122,1,2,4,1,
123,2,4,2,0,
124,4,2,3,1,
125,2,3,5,1,
126,3,5,3,1,
127,5,3,4,1,
128,3,4,5,1,
129,4,5,3,1,
130,5,3,0,0,
131,3,0,5,1,
132,0,5,2,1,
133,5,2,5,1,
134,2,5,0,1,
135,5,0,2,0,
136,0,2,4,-1,
137,2,4,4,0,
138,4,4,3,0,
139,4,3,3,1,
140,3,3,4,0,
141,3,4,2,1,
142,4,2,3,1,
143,2,3,0,1,
144,3,0,2,0,
145,0,2,1,1,
146,2,1,5,0,
147,1,5,4,0,
148,5,4,4,0,
149,4,4,0,1,
150,4,0,2,0,
151,0,2,4,1,
152,2,4,2,0,
153,4,2,3,0,
154,2,3,1,0,
155,3,1,1,0,
156,1,1,1,-1,
157,1,1,3,0,
158,1,3,1,0,
159,3,1,1,-1,
160,1,1,2,0,
161,1,2,5,1,
162,2,5,5,0,
163,5,5,2,0,
164,5,2,5,0,
165,2,5,2,0,
166,5,2,4,0,
167,2,4,1,1,
168,4,1,2,0,
169,1,2,5,0,
170,2,5,5,0,
171,5,5,3,0,
172,5,3,4,1,
173,3,4,2,1,
174,4,2,3,0,
175,2,3,0,1,
176,3,0,3,1,
177,0,3,2,0,
178,3,2,4,1,
179,2,4,1,0,
180,4,1,1,-1,
181,1,1,1,1,
182,1,1,0,0,
183,1,0,1,0,
184,0,1,2,0,
185,1,2,5,0,
186,2,5,1,0,
187,5,1,2,1,
188,1,2,3,1,
189,2,3,0,0,
190,3,0,3,1,
191,0,3,4,0,
192,3,4,2,0,
193,4,2,3,-1,
194,2,3,0,0,
195,3,0,3,0,
196,0,3,2,0,
197,3,2,4,-1,
198,2,4,1,0,
199,4,1,5,1,
200,1,5,5,0,
201,5,5,3,-1,
202,5,3,5,0,
203,3,5,1,1,
204,5,1,5,1,
205,1,5,4,-1,
206,5,4,4,0,
207,4,4,5,1,
208,4,5,4,-1,
209,5,4,1,0,
210,4,1,3,1,
211,1,3,2,1,
212,3,2,4,0,
213,2,4,1,1,
214,4,1,4,1,
215,1,4,1,1,
216,4,1,4,1,
217,1,4,4,0,
218,4,4,5,1,
219,4,5,2,1,
220,5,2,5,0,
221,2,5,0,1,
222,5,0,4,0,
223,0,4,3,1,
224,4,3,4,1,
225,3,4,2,0,
226,4,2,4,0,
227,2,4,0,0,
228,4,0,2,0,
229,0,2,4,1,
230,2,4,1,0,
231,4,1,3,0,
232,1,3,1,1,
233,3,1,3,0,
234,1,3,5,0,
235,3,5,1,-1,
236,5,1,1,1,
237,1,1,5,0,
238,1,5,3,1,
239,5,3,2,0,
240,3,2,1,0,
241,2,1,3,1,
242,1,3,3,1,
243,3,3,3,1,
244,3,3,1,0,
245,3,1,2,0,
246,1,2,4,1,
247,2,4,1,1,
248,4,1,3,0,
249,1,3,2,0,
250,3,2,4,0,
251,2,4,1,1,
252,4,1,2,1,
253,1,2,4,1,
254,2,4,2,0,
255,4,2,5,0,
256,2,5,1,1,
257,5,1,0,1,
258,1,0,1,0,
259,0,1,0,1,
260,1,0,1,0,
261,0,1,0,1,
262,1,0,2,0,
263,0,2,3,1,
264,2,3,3,0,
265,3,3,4,0,
266,3,4,4,0,
