,s-3,s-2,s-1,a,r
0,19,12,3,19,0
1,12,3,19,5,-1
2,3,19,5,19,0
3,19,5,19,13,1
4,5,19,13,19,0
5,19,13,19,19,0
6,13,19,19,19,0
7,19,19,19,10,-1
8,19,19,10,16,-1
9,19,10,16,19,1
10,10,16,19,19,0
11,16,19,19,19,1
12,19,19,19,19,0
13,19,19,19,19,0
14,19,19,19,19,0
15,19,19,19,19,-1
16,19,19,19,13,-1
17,19,19,13,19,-1
18,19,13,19,19,0
19,13,19,19,19,-1
20,19,19,19,19,0
21,19,19,19,19,0
22,19,19,19,19,0
23,19,19,19,19,0
24,19,19,19,19,-1
25,19,19,19,19,0
26,19,19,19,19,0
27,19,19,19,19,0
28,19,19,19,19,-1
29,19,19,19,19,0
30,19,19,19,19,-1
31,19,19,19,8,1
32,19,19,8,19,0
33,19,8,19,19,-1
34,8,19,19,19,0
35,19,19,19,19,0
36,19,19,19,19,0
37,19,19,19,4,-1
38,19,19,4,19,0
39,19,4,19,19,-1
40,4,19,19,12,-1
41,19,19,12,19,0
42,19,12,19,18,-1
43,12,19,18,19,0
44,19,18,19,19,0
45,18,19,19,12,-1
46,19,19,12,18,1
47,19,12,18,8,1
48,12,18,8,13,0
49,18,8,13,6,-1
50,8,13,6,19,0
51,13,6,19,1,-1
52,6,19,1,19,0
53,19,1,19,13,0
54,1,19,13,19,0
55,19,13,19,6,0
56,13,19,6,2,1
57,19,6,2,6,-1
58,6,2,6,19,0
59,2,6,19,5,-1
60,6,19,5,0,-1
61,19,5,0,0,0
62,5,0,0,2,0
63,0,0,2,2,1
64,0,2,2,0,-1
65,2,2,0,5,-1
66,2,0,5,7,0
67,0,5,7,11,1
68,5,7,11,19,0
69,7,11,19,19,0
70,11,19,19,11,-1
71,19,19,11,8,1
72,19,11,8,0,-1
73,11,8,0,19,0
74,8,0,19,0,0
75,0,19,0,2,-1
76,19,0,2,0,1
77,0,2,0,2,1
78,2,0,2,0,1
79,0,2,0,11,-1
80,2,0,11,1,0
81,0,11,1,10,-1
82,11,1,10,0,-1
83,1,10,0,8,-1
84,10,0,8,0,-1
85,0,8,0,0,-1
86,8,0,0,0,0
87,0,0,0,19,0
88,0,0,19,18,-1
89,0,19,18,3,1
90,19,18,3,8,1
91,18,3,8,7,1
92,3,8,7,0,1
93,8,7,0,0,-1
94,7,0,0,0,-1
95,0,0,0,17,0
96,0,0,17,0,-1
97,0,17,0,10,-1
98,17,0,10,0,-1
99,0,10,0,0,-1
100,10,0,0,0,-1
101,0,0,0,1,-1
102,0,0,1,11,-1
103,0,1,11,0,-1
104,1,11,0,0,1
105,11,0,0,0,0
106,0,0,0,1,0
107,0,0,1,1,0
108,0,1,1,0,-1
109,1,1,0,0,-1
110,1,0,0,16,-1
111,0,0,16,12,-1
112,0,16,12,8,1
113,16,12,8,0,-1
114,12,8,0,0,1
115,8,0,0,0,-1
116,0,0,0,1,0
117,0,0,1,1,0
118,0,1,1,0,-1
119,1,1,0,0,-1
120,1,0,0,4,-1
121,0,0,4,0,0
122,0,4,0,0,0
123,4,0,0,0,0
124,0,0,0,1,0
125,0,0,1,1,-1
126,0,1,1,0,0
127,1,1,0,0,-1
128,1,0,0,0,-1
129,0,0,0,1,0
130,0,0,1,1,-1
131,0,1,1,0,0
132,1,1,0,0,0
133,1,0,0,0,-1
134,0,0,0,1,0
135,0,0,1,1,0
136,0,1,1,2,1
137,1,1,2,0,-1
138,1,2,0,17,-1
139,2,0,17,0,0
140,0,17,0,0,-1
141,17,0,0,0,-1
142,0,0,0,1,0
143,0,0,1,1,0
144,0,1,1,0,-1
145,1,1,0,16,-1
146,1,0,16,0,0
147,0,16,0,0,-1
148,16,0,0,0,-1
149,0,0,0,1,-1
150,0,0,1,1,0
151,0,1,1,0,-1
152,1,1,0,0,1
153,1,0,0,0,1
154,0,0,0,1,0
155,0,0,1,16,-1
156,0,1,16,0,-1
157,1,16,0,0,0
158,16,0,0,0,1
159,0,0,0,8,1
160,0,0,8,0,0
161,0,8,0,0,-1
162,8,0,0,0,-1
163,0,0,0,12,-1
164,0,0,12,0,-1
165,0,12,0,0,0
166,12,0,0,15,1
167,0,0,15,0,-1
168,0,15,0,0,-1
169,15,0,0,0,-1
170,0,0,0,1,0
171,0,0,1,1,0
172,0,1,1,0,-1
173,1,1,0,0,-1
174,1,0,0,0,-1
175,0,0,0,1,0
176,0,0,1,1,-1
177,0,1,1,17,-1
178,1,1,17,0,-1
179,1,17,0,0,-1
180,17,0,0,0,0
181,0,0,0,3,-1
182,0,0,3,0,-1
183,0,3,0,0,-1
184,3,0,0,0,-1
185,0,0,0,16,-1
186,0,0,16,0,-1
187,0,16,0,8,1
188,16,0,8,0,-1
189,0,8,0,0,-1
190,8,0,0,0,-1
191,0,0,0,1,0
192,0,0,1,19,0
193,0,1,19,0,-1
194,1,19,0,0,-1
195,19,0,0,0,-1
196,0,0,0,1,0
197,0,0,1,1,1
198,0,1,1,10,-1
199,1,1,10,0,1
200,1,10,0,0,-1
201,10,0,0,0,0
202,0,0,0,1,0
203,0,0,1,1,0
204,0,1,1,0,-1
205,1,1,0,0,-1
206,1,0,0,0,-1
207,0,0,0,1,0
208,0,0,1,16,0
209,0,1,16,19,0
210,1,16,19,0,-1
211,16,19,0,0,-1
212,19,0,0,0,-1
213,0,0,0,1,0
214,0,0,1,1,0
215,0,1,1,0,1
216,1,1,0,0,-1
217,1,0,0,12,-1
218,0,0,12,0,0
219,0,12,0,0,-1
220,12,0,0,0,0
221,0,0,0,13,0
222,0,0,13,0,-1
223,0,13,0,0,1
224,13,0,0,10,-1
225,0,0,10,0,-1
226,0,10,0,0,-1
227,10,0,0,0,-1
228,0,0,0,6,0
229,0,0,6,0,0
230,0,6,0,0,-1
231,6,0,0,0,0
232,0,0,0,4,0
233,0,0,4,0,-1
234,0,4,0,0,-1
235,4,0,0,0,0
236,0,0,0,1,0
237,0,0,1,15,1
238,0,1,15,0,-1
239,1,15,0,0,0
240,15,0,0,5,-1
241,0,0,5,0,-1
242,0,5,0,0,-1
243,5,0,0,0,-1
244,0,0,0,1,1
245,0,0,1,1,0
246,0,1,1,0,-1
247,1,1,0,1,0
248,1,0,1,0,-1
249,0,1,0,0,1
250,1,0,0,0,-1
251,0,0,0,7,-1
252,0,0,7,5,0
253,0,7,5,0,-1
254,7,5,0,0,-1
255,5,0,0,0,1
256,0,0,0,1,1
257,0,0,1,1,-1
258,0,1,1,0,0
259,1,1,0,0,-1
260,1,0,0,0,1
261,0,0,0,1,0
262,0,0,1,1,0
263,0,1,1,0,-1
264,1,1,0,0,-1
265,1,0,0,8,1
266,0,0,8,4,-1
267,0,8,4,15,1
268,8,4,15,0,-1
269,4,15,0,0,1
270,15,0,0,14,1
271,0,0,14,14,-1
272,0,14,14,0,-1
273,14,14,0,16,1
274,14,0,16,0,-1
275,0,16,0,0,0
276,16,0,0,0,-1
277,0,0,0,1,0
278,0,0,1,11,1
279,0,1,11,0,-1
280,1,11,0,0,-1
281,11,0,0,18,-1
282,0,0,18,0,-1
283,0,18,0,0,-1
284,18,0,0,10,-1
285,0,0,10,0,-1
286,0,10,0,0,-1
287,10,0,0,0,0
288,0,0,0,1,0
289,0,0,1,1,-1
290,0,1,1,0,1
291,1,1,0,0,-1
292,1,0,0,0,-1
293,0,0,0,1,0
294,0,0,1,1,0
295,0,1,1,16,-1
296,1,1,16,0,-1
297,1,16,0,0,-1
298,16,0,0,0,-1
299,0,0,0,1,-1
300,0,0,1,1,0
301,0,1,1,0,-1
302,1,1,0,0,0
303,1,0,0,3,0
304,0,0,3,0,-1
305,0,3,0,0,0
306,3,0,0,0,-1
307,0,0,0,1,-1
308,0,0,1,1,-1
309,0,1,1,11,-1
310,1,1,11,0,-1
311,1,11,0,0,-1
312,11,0,0,12,-1
313,0,0,12,0,-1
314,0,12,0,0,0
315,12,0,0,0,0
316,0,0,0,1,-1
317,0,0,1,4,1
318,0,1,4,0,-1
319,1,4,0,0,-1
320,4,0,0,0,0
321,0,0,0,1,0
322,0,0,1,9,1
323,0,1,9,0,-1
324,1,9,0,1,0
325,9,0,1,0,0
326,0,1,0,0,-1
327,1,0,0,8,0
328,0,0,8,0,-1
329,0,8,0,19,0
330,8,0,19,0,0
331,0,19,0,0,-1
332,19,0,0,0,-1
333,0,0,0,1,0
334,0,0,1,1,0
335,0,1,1,0,-1
336,1,1,0,1,0
337,1,0,1,0,0
338,0,1,0,0,-1
339,1,0,0,7,-1
340,0,0,7,1,0
341,0,7,1,0,-1
342,7,1,0,0,-1
343,1,0,0,11,-1
344,0,0,11,0,-1
345,0,11,0,0,0
346,11,0,0,0,-1
347,0,0,0,1,0
348,0,0,1,1,0
349,0,1,1,0,-1
350,1,1,0,0,-1
