,s-5,s-4,s-3,s-2,s-1,a,r
0,28,27,23,26,5,11.0,-1.0
1,27,23,26,5,11,0.0,-1.0
2,23,26,5,11,0,4.0,0.0
3,26,5,11,0,4,0.0,-1.0
4,5,11,0,4,0,0.0,-1.0
5,11,0,4,0,0,5.0,1.0
6,0,4,0,0,5,4.0,0.0
7,4,0,0,5,4,4.0,-1.0
8,0,0,5,4,4,2.0,0.0
9,0,5,4,4,2,32.0,-1.0
10,5,4,4,2,32,0.0,-1.0
11,4,4,2,32,0,6.0,0.0
12,4,2,32,0,6,20.0,1.0
13,2,32,0,6,20,9.0,-1.0
14,32,0,6,20,9,1.0,0.0
15,0,6,20,9,1,22.0,-1.0
16,6,20,9,1,22,19.0,0.0
17,20,9,1,22,19,6.0,-1.0
18,9,1,22,19,6,27.0,1.0
19,1,22,19,6,27,23.0,1.0
20,22,19,6,27,23,36.0,-1.0
21,19,6,27,23,36,29.0,-1.0
22,6,27,23,36,29,39.0,0.0
23,27,23,36,29,39,39.0,0.0
24,23,36,29,39,39,39.0,0.0
25,36,29,39,39,39,39.0,1.0
26,29,39,39,39,39,39.0,1.0
27,39,39,39,39,39,39.0,0.0
28,39,39,39,39,39,39.0,1.0
29,39,39,39,39,39,39.0,-1.0
30,39,39,39,39,39,0.0,0.0
31,39,39,39,39,0,23.0,1.0
32,39,39,39,0,23,35.0,1.0
33,39,39,0,23,35,29.0,1.0
34,39,0,23,35,29,0.0,-1.0
35,0,23,35,29,0,22.0,1.0
36,23,35,29,0,22,0.0,0.0
37,35,29,0,22,0,12.0,0.0
38,29,0,22,0,12,28.0,1.0
39,0,22,0,12,28,0.0,-1.0
40,22,0,12,28,0,4.0,1.0
41,0,12,28,0,4,0.0,-1.0
42,12,28,0,4,0,10.0,1.0
43,28,0,4,0,10,11.0,-1.0
44,0,4,0,10,11,0.0,0.0
45,4,0,10,11,0,31.0,0.0
46,0,10,11,0,31,0.0,-1.0
47,10,11,0,31,0,12.0,0.0
48,11,0,31,0,12,39.0,1.0
49,0,31,0,12,39,0.0,-1.0
50,31,0,12,39,0,19.0,-1.0
51,0,12,39,0,19,34.0,1.0
52,12,39,0,19,34,0.0,-1.0
53,39,0,19,34,0,4.0,1.0
54,0,19,34,0,4,2.0,1.0
55,19,34,0,4,2,31.0,-1.0
56,34,0,4,2,31,0.0,-1.0
57,0,4,2,31,0,0.0,1.0
58,4,2,31,0,0,11.0,1.0
59,2,31,0,0,11,0.0,1.0
60,31,0,0,11,0,0.0,0.0
61,0,0,11,0,0,3.0,-1.0
62,0,11,0,0,3,0.0,-1.0
63,11,0,0,3,0,4.0,1.0
64,0,0,3,0,4,0.0,-1.0
65,0,3,0,4,0,0.0,-1.0
66,3,0,4,0,0,13.0,0.0
67,0,4,0,0,13,10.0,0.0
68,4,0,0,13,10,0.0,1.0
69,0,0,13,10,0,4.0,1.0
70,0,13,10,0,4,0.0,-1.0
71,13,10,0,4,0,0.0,0.0
72,10,0,4,0,0,5.0,-1.0
73,0,4,0,0,5,0.0,-1.0
74,4,0,0,5,0,0.0,-1.0
75,0,0,5,0,0,1.0,0.0
76,0,5,0,0,1,1.0,0.0
77,5,0,0,1,1,0.0,-1.0
78,0,0,1,1,0,0.0,-1.0
79,0,1,1,0,0,1.0,-1.0
80,1,1,0,0,1,1.0,0.0
81,1,0,0,1,1,0.0,-1.0
82,0,0,1,1,0,1.0,-1.0
83,0,1,1,0,1,26.0,-1.0
84,1,1,0,1,26,0.0,-1.0
85,1,0,1,26,0,0.0,-1.0
86,0,1,26,0,0,2.0,-1.0
87,1,26,0,0,2,0.0,0.0
88,26,0,0,2,0,0.0,-1.0
89,0,0,2,0,0,18.0,-1.0
90,0,2,0,0,18,12.0,-1.0
91,2,0,0,18,12,0.0,-1.0
92,0,0,18,12,0,12.0,-1.0
93,0,18,12,0,12,8.0,-1.0
94,18,12,0,12,8,0.0,-1.0
95,12,0,12,8,0,20.0,-1.0
96,0,12,8,0,20,5.0,-1.0
97,12,8,0,20,5,36.0,1.0
98,8,0,20,5,36,13.0,-1.0
99,0,20,5,36,13,25.0,0.0
100,20,5,36,13,25,39.0,1.0
101,5,36,13,25,39,15.0,1.0
102,36,13,25,39,15,0.0,-1.0
103,13,25,39,15,0,39.0,1.0
104,25,39,15,0,39,19.0,0.0
105,39,15,0,39,19,13.0,0.0
106,15,0,39,19,13,38.0,1.0
107,0,39,19,13,38,39.0,-1.0
108,39,19,13,38,39,28.0,1.0
109,19,13,38,39,28,17.0,1.0
110,13,38,39,28,17,10.0,1.0
111,38,39,28,17,10,4.0,-1.0
112,39,28,17,10,4,31.0,0.0
113,28,17,10,4,31,22.0,1.0
114,17,10,4,31,22,16.0,-1.0
115,10,4,31,22,16,39.0,1.0
116,4,31,22,16,39,39.0,-1.0
117,31,22,16,39,39,0.0,-1.0
118,22,16,39,39,0,39.0,1.0
119,16,39,39,0,39,5.0,1.0
120,39,39,0,39,5,0.0,0.0
121,39,0,39,5,0,39.0,1.0
122,0,39,5,0,39,33.0,-1.0
123,39,5,0,39,33,7.0,0.0
124,5,0,39,33,7,39.0,1.0
125,0,39,33,7,39,39.0,0.0
126,39,33,7,39,39,0.0,-1.0
127,33,7,39,39,0,19.0,-1.0
128,7,39,39,0,19,39.0,0.0
129,39,39,0,19,39,0.0,-1.0
130,39,0,19,39,0,6.0,-1.0
131,0,19,39,0,6,12.0,1.0
132,19,39,0,6,12,0.0,-1.0
133,39,0,6,12,0,0.0,-1.0
134,0,6,12,0,0,2.0,1.0
135,6,12,0,0,2,12.0,-1.0
136,12,0,0,2,12,39.0,-1.0
137,0,0,2,12,39,0.0,0.0
138,0,2,12,39,0,39.0,1.0
139,2,12,39,0,39,11.0,1.0
140,12,39,0,39,11,0.0,-1.0
141,39,0,39,11,0,39.0,-1.0
142,0,39,11,0,39,0.0,-1.0
143,39,11,0,39,0,39.0,1.0
144,11,0,39,0,39,39.0,1.0
145,0,39,0,39,39,12.0,-1.0
146,39,0,39,39,12,39.0,1.0
147,0,39,39,12,39,39.0,1.0
148,39,39,12,39,39,0.0,-1.0
149,39,12,39,39,0,39.0,1.0
150,12,39,39,0,39,39.0,-1.0
151,39,39,0,39,39,39.0,1.0
152,39,0,39,39,39,39.0,0.0
153,0,39,39,39,39,39.0,1.0
154,39,39,39,39,39,28.0,1.0
155,39,39,39,39,28,39.0,1.0
156,39,39,39,28,39,34.0,1.0
157,39,39,28,39,34,19.0,0.0
158,39,28,39,34,19,39.0,-1.0
159,28,39,34,19,39,39.0,0.0
160,39,34,19,39,39,39.0,0.0
161,34,19,39,39,39,39.0,1.0
162,19,39,39,39,39,39.0,-1.0
163,39,39,39,39,39,39.0,0.0
164,39,39,39,39,39,39.0,-1.0
165,39,39,39,39,39,39.0,0.0
166,39,39,39,39,39,39.0,0.0
167,39,39,39,39,39,39.0,-1.0
168,39,39,39,39,39,39.0,0.0
169,39,39,39,39,39,39.0,0.0
170,39,39,39,39,39,39.0,-1.0
171,39,39,39,39,39,39.0,-1.0
172,39,39,39,39,39,39.0,0.0
173,39,39,39,39,39,39.0,1.0
174,39,39,39,39,39,30.0,0.0
175,39,39,39,39,30,39.0,1.0
176,39,39,39,30,39,39.0,-1.0
177,39,39,30,39,39,39.0,1.0
178,39,30,39,39,39,39.0,1.0
179,30,39,39,39,39,5.0,-1.0
