,s-3,s-2,s-1,a,r
0,3,16,5,14,0
1,16,5,14,3,0
2,5,14,3,1,0
3,14,3,1,11,-1
4,3,1,11,17,-1
5,1,11,17,10,0
6,11,17,10,0,-1
7,17,10,0,19,0
8,10,0,19,5,-1
9,0,19,5,11,-1
10,19,5,11,0,-1
11,5,11,0,14,1
12,11,0,14,13,0
13,0,14,13,4,0
14,14,13,4,4,-1
15,13,4,4,9,1
16,4,4,9,3,1
17,4,9,3,18,0
18,9,3,18,1,1
19,3,18,1,15,1
20,18,1,15,1,-1
21,1,15,1,0,-1
22,15,1,0,11,-1
23,1,0,11,19,1
24,0,11,19,14,-1
25,11,19,14,9,0
26,19,14,9,17,-1
27,14,9,17,15,1
28,9,17,15,9,1
29,17,15,9,10,-1
30,15,9,10,6,-1
31,9,10,6,3,1
32,10,6,3,2,1
33,6,3,2,17,1
34,3,2,17,18,-1
35,2,17,18,1,0
36,17,18,1,1,0
37,18,1,1,13,0
38,1,1,13,13,0
39,1,13,13,5,-1
40,13,13,5,17,-1
41,13,5,17,14,1
42,5,17,14,5,-1
43,17,14,5,5,0
44,14,5,5,4,-1
45,5,5,4,4,-1
46,5,4,4,1,-1
47,4,4,1,8,-1
48,4,1,8,8,-1
49,1,8,8,2,1
50,8,8,2,13,0
51,8,2,13,16,-1
52,2,13,16,13,0
53,13,16,13,3,1
54,16,13,3,5,-1
55,13,3,5,9,1
56,3,5,9,9,-1
57,5,9,9,18,-1
58,9,9,18,19,0
59,9,18,19,8,1
60,18,19,8,6,0
61,19,8,6,1,0
62,8,6,1,12,1
63,6,1,12,8,1
64,1,12,8,8,1
65,12,8,8,17,-1
66,8,8,17,5,-1
67,8,17,5,19,0
68,17,5,19,11,0
69,5,19,11,9,1
70,19,11,9,1,0
71,11,9,1,8,0
72,9,1,8,13,0
73,1,8,13,8,1
74,8,13,8,11,-1
75,13,8,11,16,-1
76,8,11,16,16,-1
77,11,16,16,3,1
78,16,16,3,12,-1
79,16,3,12,0,-1
