,s-2,s-1,a,r,none
279,2,1,3,-1,
280,1,3,0,-1,
281,3,0,2,1,
282,0,2,3,-1,
283,2,3,0,-1,
284,3,0,1,0,
285,0,1,4,-1,
286,1,4,2,-1,
287,4,2,5,-1,
288,2,5,2,0,
289,5,2,3,1,
290,2,3,3,-1,
291,3,3,1,0,
292,3,1,3,1,
293,1,3,2,1,
294,3,2,3,-1,
295,2,3,2,0,
296,3,2,3,-1,
297,2,3,1,0,
298,3,1,1,0,
299,1,1,4,-1,
300,1,4,5,-1,
301,4,5,3,-1,
302,5,3,4,-1,
303,3,4,5,-1,
304,4,5,0,-1,
305,5,0,1,-1,
306,0,1,1,-1,
307,1,1,4,-1,
308,1,4,3,1,
309,4,3,3,-1,
310,3,3,0,1,
311,3,0,3,1,
312,0,3,4,1,
313,3,4,1,0,
314,4,1,0,-1,
315,1,0,1,0,
316,0,1,3,1,
317,1,3,0,0,
318,3,0,0,-1,
319,0,0,2,1,
320,0,2,4,-1,
321,2,4,0,1,
322,4,0,2,1,
323,0,2,1,0,
324,2,1,2,1,
325,1,2,3,1,
326,2,3,2,1,
327,3,2,5,0,
328,2,5,2,1,
329,5,2,0,1,
330,2,0,2,0,
331,0,2,5,-1,
332,2,5,3,1,
333,5,3,1,0,
334,3,1,2,1,
335,1,2,0,0,
336,2,0,3,1,
337,0,3,3,1,
338,3,3,4,-1,
339,3,4,2,-1,
340,4,2,3,1,
341,2,3,2,1,
342,3,2,0,-1,
343,2,0,2,0,
344,0,2,0,-1,
345,2,0,1,0,
346,0,1,3,1,
347,1,3,4,-1,
348,3,4,0,-1,
349,4,0,0,-1,
350,0,0,1,0,
351,0,1,2,-1,
352,1,2,2,1,
353,2,2,2,0,
354,2,2,5,-1,
355,2,5,4,1,
356,5,4,2,0,
357,4,2,4,0,
358,2,4,2,0,
359,4,2,4,1,
360,2,4,1,0,
361,4,1,3,1,
362,1,3,3,-1,
363,3,3,2,1,
364,3,2,2,1,
365,2,2,5,-1,
366,2,5,4,-1,
367,5,4,0,0,
368,4,0,4,-1,
369,0,4,5,-1,
370,4,5,3,1,
371,5,3,3,0,
372,3,3,5,-1,
373,3,5,5,-1,
374,5,5,0,-1,
375,5,0,3,0,
376,0,3,3,-1,
377,3,3,2,1,
378,3,2,2,1,
379,2,2,4,-1,
380,2,4,1,0,
381,4,1,1,-1,
382,1,1,3,1,
383,1,3,2,1,
384,3,2,2,1,
385,2,2,3,1,
386,2,3,2,0,
387,3,2,3,1,
388,2,3,2,1,
389,3,2,3,1,
390,2,3,4,-1,
