0.16,0.09,0.16,0.13,0.24,0.22,0.2,0.13,0.21,0.13,0.12,0.21,0.29,0.13,0.18,0.16,0.13,0.11,16.0,9.0,16.0,13.0,24.0,22.0,20.0,13.0,21.0,13.0,12.0,21.0,29.0,13.0,18.0,16.0,13.0,11.0
0.26,0.14,0.15,0.16,0.15,0.14,0.09,0.19,0.17,0.16,0.25,0.14,0.18,0.15,0.15,0.15,0.3,0.07,26.0,14.0,15.0,16.0,15.0,14.0,9.0,19.0,17.0,16.0,25.0,14.0,18.0,15.0,15.0,15.0,30.0,7.0
0.2,0.23,0.19,0.12,0.1,0.16,0.17,0.15,0.21,0.17,0.11,0.19,0.14,0.15,0.18,0.18,0.15,0.2,20.0,23.0,19.0,12.0,10.0,16.0,17.0,15.0,21.0,17.0,11.0,19.0,14.0,15.0,18.0,18.0,15.0,20.0
0.18,0.2,0.16,0.12,0.17,0.17,0.14,0.15,0.18,0.19,0.17,0.17,0.19,0.22,0.15,0.14,0.16,0.14,18.0,20.0,16.0,12.0,17.0,17.0,14.0,15.0,18.0,19.0,17.0,17.0,19.0,22.0,15.0,14.0,16.0,14.0
0.18,0.13,0.11,0.21,0.17,0.2,0.21,0.18,0.19,0.11,0.12,0.19,0.12,0.18,0.17,0.19,0.21,0.13,18.0,13.0,11.0,21.0,17.0,20.0,21.0,18.0,19.0,11.0,12.0,19.0,12.0,18.0,17.0,19.0,21.0,13.0
0.19,0.16,0.21,0.15,0.2,0.09,0.18,0.15,0.18,0.16,0.18,0.15,0.17,0.14,0.12,0.19,0.11,0.27,19.0,16.0,21.0,15.0,20.0,9.0,18.0,15.0,18.0,16.0,18.0,15.0,17.0,14.0,12.0,19.0,11.0,27.0
0.11,0.2,0.14,0.16,0.15,0.24,0.17,0.21,0.18,0.14,0.19,0.11,0.14,0.16,0.2,0.19,0.1,0.21,11.0,20.0,14.0,16.0,15.0,24.0,17.0,21.0,18.0,14.0,19.0,11.0,14.0,16.0,20.0,19.0,10.0,21.0
0.23,0.17,0.15,0.2,0.14,0.11,0.16,0.14,0.16,0.17,0.15,0.22,0.23,0.14,0.19,0.19,0.08,0.17,23.0,17.0,15.0,20.0,14.0,11.0,16.0,14.0,16.0,17.0,15.0,22.0,23.0,14.0,19.0,19.0,8.0,17.0
0.17,0.23,0.16,0.15,0.11,0.18,0.22,0.22,0.16,0.15,0.13,0.12,0.26,0.18,0.13,0.12,0.16,0.15,17.0,23.0,16.0,15.0,11.0,18.0,22.0,22.0,16.0,15.0,13.0,12.0,26.0,18.0,13.0,12.0,16.0,15.0
0.13,0.15,0.25,0.11,0.16,0.2,0.17,0.16,0.21,0.17,0.16,0.13,0.15,0.2,0.19,0.17,0.17,0.12,13.0,15.0,25.0,11.0,16.0,20.0,17.0,16.0,21.0,17.0,16.0,13.0,15.0,20.0,19.0,17.0,17.0,12.0
