0.18,0.14,0.12,0.21,0.18,0.17,0.2,0.13,0.17,0.14,0.21,0.15,0.32,0.15,0.15,0.09,0.16,0.13,18.0,14.0,12.0,21.0,18.0,17.0,20.0,13.0,17.0,14.0,21.0,15.0,32.0,15.0,15.0,9.0,16.0,13.0
0.15,0.15,0.15,0.2,0.16,0.19,0.38,0.16,0.15,0.08,0.14,0.09,0.36,0.11,0.12,0.11,0.2,0.1,15.0,15.0,15.0,20.0,16.0,19.0,38.0,16.0,15.0,8.0,14.0,9.0,36.0,11.0,12.0,11.0,20.0,10.0
0.21,0.16,0.15,0.23,0.15,0.1,0.15,0.19,0.14,0.19,0.13,0.2,0.17,0.19,0.14,0.12,0.16,0.22,21.0,16.0,15.0,23.0,15.0,10.0,15.0,19.0,14.0,19.0,13.0,20.0,17.0,19.0,14.0,12.0,16.0,22.0
0.17,0.23,0.16,0.11,0.18,0.15,0.15,0.19,0.18,0.15,0.15,0.18,0.18,0.16,0.18,0.12,0.19,0.17,17.0,23.0,16.0,11.0,18.0,15.0,15.0,19.0,18.0,15.0,15.0,18.0,18.0,16.0,18.0,12.0,19.0,17.0
0.19,0.09,0.16,0.15,0.19,0.22,0.17,0.19,0.15,0.15,0.13,0.21,0.23,0.17,0.16,0.14,0.16,0.14,19.0,9.0,16.0,15.0,19.0,22.0,17.0,19.0,15.0,15.0,13.0,21.0,23.0,17.0,16.0,14.0,16.0,14.0
0.2,0.19,0.14,0.14,0.22,0.11,0.22,0.15,0.12,0.19,0.19,0.13,0.19,0.19,0.16,0.13,0.14,0.19,20.0,19.0,14.0,14.0,22.0,11.0,22.0,15.0,12.0,19.0,19.0,13.0,19.0,19.0,16.0,13.0,14.0,19.0
0.25,0.17,0.2,0.09,0.07,0.22,0.2,0.26,0.16,0.11,0.11,0.16,0.21,0.09,0.29,0.17,0.11,0.13,25.0,17.0,20.0,9.0,7.0,22.0,20.0,26.0,16.0,11.0,11.0,16.0,21.0,9.0,29.0,17.0,11.0,13.0
0.13,0.1,0.25,0.21,0.15,0.16,0.11,0.22,0.14,0.21,0.14,0.18,0.16,0.09,0.21,0.17,0.22,0.15,13.0,10.0,25.0,21.0,15.0,16.0,11.0,22.0,14.0,21.0,14.0,18.0,16.0,9.0,21.0,17.0,22.0,15.0
0.22,0.24,0.15,0.16,0.12,0.11,0.12,0.16,0.24,0.19,0.17,0.12,0.2,0.17,0.17,0.14,0.18,0.14,22.0,24.0,15.0,16.0,12.0,11.0,12.0,16.0,24.0,19.0,17.0,12.0,20.0,17.0,17.0,14.0,18.0,14.0
0.22,0.15,0.12,0.2,0.15,0.16,0.11,0.24,0.18,0.12,0.18,0.17,0.2,0.15,0.2,0.12,0.17,0.16,22.0,15.0,12.0,20.0,15.0,16.0,11.0,24.0,18.0,12.0,18.0,17.0,20.0,15.0,20.0,12.0,17.0,16.0
