,s-3,s-2,s-1,a,r
0,0,9,9,2,-1
1,9,9,2,6,-1
2,9,2,6,2,1
3,2,6,2,0,0
4,6,2,0,0,0
5,2,0,0,5,-1
6,0,0,5,1,0
7,0,5,1,11,-1
8,5,1,11,9,1
9,1,11,9,10,-1
10,11,9,10,7,0
11,9,10,7,9,1
12,10,7,9,5,0
13,7,9,5,9,-1
14,9,5,9,0,0
15,5,9,0,0,-1
16,9,0,0,1,-1
17,0,0,1,8,1
18,0,1,8,10,1
19,1,8,10,7,0
20,8,10,7,0,-1
21,10,7,0,7,0
22,7,0,7,0,1
23,0,7,0,11,-1
24,7,0,11,5,-1
25,0,11,5,6,-1
26,11,5,6,5,-1
27,5,6,5,5,-1
28,6,5,5,5,0
29,5,5,5,2,0
30,5,5,2,5,-1
31,5,2,5,11,-1
32,2,5,11,6,0
33,5,11,6,0,-1
34,11,6,0,7,-1
35,6,0,7,10,-1
36,0,7,10,8,0
37,7,10,8,0,0
38,10,8,0,4,-1
39,8,0,4,0,-1
40,0,4,0,8,1
41,4,0,8,4,-1
42,0,8,4,6,-1
43,8,4,6,9,1
44,4,6,9,6,-1
45,6,9,6,3,1
46,9,6,3,5,-1
47,6,3,5,2,1
48,3,5,2,7,-1
49,5,2,7,0,-1
50,2,7,0,7,0
51,7,0,7,11,-1
52,0,7,11,4,1
53,7,11,4,6,-1
54,11,4,6,8,0
55,4,6,8,10,-1
56,6,8,10,9,1
57,8,10,9,1,0
58,10,9,1,10,-1
59,9,1,10,9,0
60,1,10,9,2,1
61,10,9,2,5,-1
62,9,2,5,8,-1
63,2,5,8,11,-1
64,5,8,11,4,-1
65,8,11,4,7,0
66,11,4,7,4,-1
67,4,7,4,6,0
68,7,4,6,2,1
69,4,6,2,4,-1
70,6,2,4,0,0
71,2,4,0,7,1
72,4,0,7,1,0
73,0,7,1,11,-1
74,7,1,11,3,1
75,1,11,3,10,-1
76,11,3,10,9,1
77,3,10,9,11,-1
78,10,9,11,4,-1
79,9,11,4,4,-1
80,11,4,4,11,-1
81,4,4,11,9,1
82,4,11,9,1,-1
83,11,9,1,11,0
84,9,1,11,11,0
85,1,11,11,9,1
86,11,11,9,8,1
87,11,9,8,5,1
88,9,8,5,4,-1
89,8,5,4,9,1
90,5,4,9,4,-1
91,4,9,4,4,1
92,9,4,4,3,0
93,4,4,3,8,1
94,4,3,8,4,-1
95,3,8,4,11,-1
96,8,4,11,8,1
97,4,11,8,11,-1
98,11,8,11,3,1
99,8,11,3,8,1
100,11,3,8,0,-1
101,3,8,0,9,-1
102,8,0,9,5,-1
103,0,9,5,5,1
104,9,5,5,7,0
105,5,5,7,0,-1
106,5,7,0,2,1
107,7,0,2,7,0
108,0,2,7,5,-1
109,2,7,5,3,1
110,7,5,3,8,0
111,5,3,8,0,-1
112,3,8,0,2,1
113,8,0,2,4,1
114,0,2,4,1,0
115,2,4,1,3,1
116,4,1,3,2,1
117,1,3,2,0,-1
118,3,2,0,1,-1
119,2,0,1,7,-1
120,0,1,7,11,-1
121,1,7,11,6,-1
122,7,11,6,11,-1
123,11,6,11,7,-1
124,6,11,7,9,1
125,11,7,9,3,1
126,7,9,3,0,0
127,9,3,0,10,-1
128,3,0,10,2,1
129,0,10,2,9,1
130,10,2,9,0,-1
131,2,9,0,3,1
132,9,0,3,7,0
133,0,3,7,1,0
134,3,7,1,11,-1
135,7,1,11,2,0
136,1,11,2,4,-1
137,11,2,4,2,1
138,2,4,2,5,-1
139,4,2,5,5,-1
140,2,5,5,11,1
141,5,5,11,8,-1
142,5,11,8,11,0
143,11,8,11,10,-1
144,8,11,10,0,-1
145,11,10,0,2,1
146,10,0,2,2,0
147,0,2,2,3,1
148,2,2,3,2,1
149,2,3,2,3,1
150,3,2,3,7,0
151,2,3,7,5,-1
152,3,7,5,8,-1
153,7,5,8,7,0
154,5,8,7,10,-1
155,8,7,10,3,1
156,7,10,3,6,-1
157,10,3,6,3,1
158,3,6,3,2,1
159,6,3,2,2,1
160,3,2,2,4,-1
161,2,2,4,10,-1
162,2,4,10,1,-1
163,4,10,1,6,-1
164,10,1,6,7,0
165,1,6,7,1,1
166,6,7,1,1,0
167,7,1,1,7,0
168,1,1,7,0,-1
169,1,7,0,0,-1
170,7,0,0,10,-1
171,0,0,10,5,-1
172,0,10,5,1,0
173,10,5,1,8,1
174,5,1,8,11,-1
175,1,8,11,1,-1
176,8,11,1,11,0
177,11,1,11,6,-1
178,1,11,6,2,1
179,11,6,2,7,0
180,6,2,7,0,0
181,2,7,0,4,-1
182,7,0,4,7,0
183,0,4,7,8,1
184,4,7,8,5,0
185,7,8,5,11,-1
186,8,5,11,10,-1
187,5,11,10,0,1
188,11,10,0,6,-1
189,10,0,6,8,1
190,0,6,8,11,-1
191,6,8,11,3,1
192,8,11,3,1,0
193,11,3,1,3,1
194,3,1,3,3,0
195,1,3,3,7,0
196,3,3,7,11,-1
197,3,7,11,0,-1
198,7,11,0,6,-1
199,11,0,6,8,0
200,0,6,8,2,1
201,6,8,2,9,1
202,8,2,9,6,-1
203,2,9,6,2,1
204,9,6,2,4,-1
205,6,2,4,3,-1
206,2,4,3,1,-1
207,4,3,1,1,0
208,3,1,1,6,-1
209,1,1,6,7,0
210,1,6,7,2,1
211,6,7,2,5,-1
212,7,2,5,0,0
213,2,5,0,10,1
214,5,0,10,10,-1
215,0,10,10,0,-1
216,10,10,0,8,1
217,10,0,8,10,-1
218,0,8,10,7,0
219,8,10,7,8,1
220,10,7,8,8,1
221,7,8,8,0,-1
222,8,8,0,6,0
223,8,0,6,0,-1
224,0,6,0,1,0
225,6,0,1,6,-1
226,0,1,6,6,-1
227,1,6,6,11,-1
228,6,6,11,7,0
229,6,11,7,1,-1
230,11,7,1,7,0
231,7,1,7,3,1
232,1,7,3,9,1
233,7,3,9,7,1
234,3,9,7,7,0
235,9,7,7,1,-1
236,7,7,1,0,-1
237,7,1,0,6,-1
238,1,0,6,0,0
239,0,6,0,4,-1
240,6,0,4,0,0
241,0,4,0,3,1
242,4,0,3,4,-1
243,0,3,4,8,1
244,3,4,8,10,-1
245,4,8,10,3,1
246,8,10,3,0,1
247,10,3,0,5,-1
248,3,0,5,1,1
249,0,5,1,1,0
250,5,1,1,4,1
251,1,1,4,10,1
252,1,4,10,8,0
253,4,10,8,9,-1
254,10,8,9,9,1
255,8,9,9,8,0
256,9,9,8,9,1
257,9,8,9,1,0
258,8,9,1,7,0
259,9,1,7,2,1
260,1,7,2,3,1
261,7,2,3,3,-1
262,2,3,3,5,-1
263,3,3,5,9,1
264,3,5,9,7,-1
265,5,9,7,1,0
266,9,7,1,11,0
267,7,1,11,3,-1
268,1,11,3,0,0
269,11,3,0,4,-1
270,3,0,4,4,-1
271,0,4,4,8,0
272,4,4,8,1,0
273,4,8,1,7,1
274,8,1,7,3,-1
275,1,7,3,10,-1
276,7,3,10,11,-1
277,3,10,11,8,1
278,10,11,8,7,0
279,11,8,7,3,1
280,8,7,3,4,1
281,7,3,4,4,-1
282,3,4,4,10,-1
283,4,4,10,2,1
284,4,10,2,2,1
285,10,2,2,5,0
286,2,2,5,8,1
287,2,5,8,5,-1
288,5,8,5,5,-1
289,8,5,5,2,1
290,5,5,2,2,1
291,5,2,2,4,1
292,2,2,4,0,0
293,2,4,0,4,1
294,4,0,4,2,1
295,0,4,2,3,-1
296,4,2,3,6,-1
297,2,3,6,11,0
298,3,6,11,2,1
299,6,11,2,9,1
300,11,2,9,1,0
301,2,9,1,0,1
302,9,1,0,9,1
303,1,0,9,0,0
304,0,9,0,5,-1
305,9,0,5,7,-1
306,0,5,7,1,0
307,5,7,1,5,1
308,7,1,5,4,-1
309,1,5,4,5,-1
310,5,4,5,0,-1
311,4,5,0,8,1
312,5,0,8,1,-1
313,0,8,1,6,-1
314,8,1,6,9,1
315,1,6,9,2,1
316,6,9,2,3,-1
317,9,2,3,1,-1
318,2,3,1,8,0
319,3,1,8,9,1
320,1,8,9,0,-1
321,8,9,0,6,-1
322,9,0,6,6,-1
323,0,6,6,1,0
324,6,6,1,0,1
325,6,1,0,11,-1
326,1,0,11,1,0
327,0,11,1,2,1
328,11,1,2,6,-1
329,1,2,6,0,-1
330,2,6,0,0,-1
331,6,0,0,2,1
332,0,0,2,0,-1
333,0,2,0,1,0
334,2,0,1,0,-1
335,0,1,0,7,0
336,1,0,7,2,1
337,0,7,2,8,1
338,7,2,8,6,0
339,2,8,6,3,1
340,8,6,3,4,-1
341,6,3,4,2,1
342,3,4,2,10,-1
343,4,2,10,11,-1
344,2,10,11,0,-1
345,10,11,0,8,0
346,11,0,8,2,1
347,0,8,2,7,0
348,8,2,7,5,-1
349,2,7,5,6,-1
350,7,5,6,7,0
351,5,6,7,3,1
352,6,7,3,6,-1
353,7,3,6,8,1
354,3,6,8,1,0
355,6,8,1,2,1
356,8,1,2,2,1
357,1,2,2,6,-1
358,2,2,6,2,1
359,2,6,2,1,0
360,6,2,1,7,0
361,2,1,7,2,-1
362,1,7,2,3,0
363,7,2,3,7,0
364,2,3,7,8,0
365,3,7,8,9,1
366,7,8,9,4,-1
367,8,9,4,5,-1
368,9,4,5,6,0
369,4,5,6,1,0
370,5,6,1,2,0
371,6,1,2,10,-1
372,1,2,10,6,-1
373,2,10,6,5,-1
374,10,6,5,6,-1
375,6,5,6,7,0
376,5,6,7,11,-1
377,6,7,11,9,1
378,7,11,9,3,1
379,11,9,3,10,-1
380,9,3,10,10,1
381,3,10,10,6,-1
382,10,10,6,6,-1
