,s-3,s-2,s-1,a,r
0,11,0,8,19,0
1,0,8,19,19,1
2,8,19,19,19,0
3,19,19,19,19,0
4,19,19,19,19,0
5,19,19,19,19,0
6,19,19,19,19,0
7,19,19,19,19,0
8,19,19,19,19,0
9,19,19,19,19,0
10,19,19,19,19,-1
11,19,19,19,14,1
12,19,19,14,3,1
13,19,14,3,16,-1
14,14,3,16,19,1
15,3,16,19,0,-1
16,16,19,0,0,-1
17,19,0,0,0,1
18,0,0,0,0,-1
19,0,0,0,0,-1
20,0,0,0,0,-1
21,0,0,0,15,-1
22,0,0,15,8,0
23,0,15,8,6,-1
24,15,8,6,0,-1
25,8,6,0,0,-1
26,6,0,0,0,-1
27,0,0,0,2,-1
28,0,0,2,2,0
29,0,2,2,2,0
30,2,2,2,0,-1
31,2,2,0,0,0
32,2,0,0,1,0
33,0,0,1,2,1
34,0,1,2,3,1
35,1,2,3,4,1
36,2,3,4,6,1
37,3,4,6,2,1
38,4,6,2,0,-1
39,6,2,0,0,-1
40,2,0,0,0,-1
41,0,0,0,6,-1
42,0,0,6,12,1
43,0,6,12,13,0
44,6,12,13,0,-1
45,12,13,0,19,-1
46,13,0,19,0,-1
47,0,19,0,5,1
48,19,0,5,8,1
49,0,5,8,3,-1
50,5,8,3,2,0
51,8,3,2,4,-1
52,3,2,4,2,1
53,2,4,2,9,1
54,4,2,9,4,-1
55,2,9,4,4,-1
56,9,4,4,10,-1
57,4,4,10,6,-1
58,4,10,6,13,0
59,10,6,13,11,-1
60,6,13,11,19,-1
61,13,11,19,2,0
62,11,19,2,0,-1
63,19,2,0,0,-1
64,2,0,0,19,0
65,0,0,19,3,1
66,0,19,3,19,-1
67,19,3,19,3,1
68,3,19,3,16,-1
69,19,3,16,18,-1
70,3,16,18,4,-1
71,16,18,4,1,0
72,18,4,1,2,1
73,4,1,2,9,0
74,1,2,9,6,-1
75,2,9,6,17,-1
76,9,6,17,19,0
77,6,17,19,14,0
78,17,19,14,2,1
79,19,14,2,2,1
80,14,2,2,7,0
81,2,2,7,7,0
82,2,7,7,17,-1
83,7,7,17,0,-1
84,7,17,0,9,-1
85,17,0,9,2,1
86,0,9,2,14,-1
87,9,2,14,16,-1
88,2,14,16,12,-1
89,14,16,12,1,-1
90,16,12,1,2,1
91,12,1,2,2,0
92,1,2,2,16,-1
93,2,2,16,10,-1
94,2,16,10,12,-1
95,16,10,12,2,1
96,10,12,2,2,0
97,12,2,2,2,1
98,2,2,2,12,1
99,2,2,12,14,1
100,2,12,14,11,-1
101,12,14,11,8,1
102,14,11,8,1,1
103,11,8,1,2,1
104,8,1,2,14,1
105,1,2,14,1,0
106,2,14,1,2,1
107,14,1,2,8,1
108,1,2,8,17,-1
109,2,8,17,6,0
110,8,17,6,3,1
111,17,6,3,3,1
112,6,3,3,2,1
113,3,3,2,1,0
114,3,2,1,1,0
115,2,1,1,2,1
116,1,1,2,2,1
117,1,2,2,15,1
118,2,2,15,1,0
119,2,15,1,0,-1
120,15,1,0,6,-1
121,1,0,6,1,-1
122,0,6,1,19,0
123,6,1,19,1,0
124,1,19,1,0,-1
125,19,1,0,1,0
126,1,0,1,18,-1
127,0,1,18,0,-1
128,1,18,0,0,0
129,18,0,0,5,-1
130,0,0,5,0,-1
131,0,5,0,0,-1
132,5,0,0,7,1
133,0,0,7,16,-1
134,0,7,16,18,-1
135,7,16,18,2,1
136,16,18,2,2,0
137,18,2,2,2,0
138,2,2,2,1,0
139,2,2,1,1,0
140,2,1,1,2,1
141,1,1,2,2,1
142,1,2,2,5,-1
143,2,2,5,17,-1
144,2,5,17,18,0
145,5,17,18,19,-1
146,17,18,19,12,-1
147,18,19,12,19,-1
148,19,12,19,2,-1
149,12,19,2,6,-1
150,19,2,6,1,0
151,2,6,1,1,-1
152,6,1,1,8,-1
153,1,1,8,1,0
154,1,8,1,1,0
155,8,1,1,1,0
156,1,1,1,10,-1
157,1,1,10,1,0
