,s-3,s-2,s-1,a,r
257,19,19,0,0,-1
258,19,0,0,3,1
259,0,0,3,1,0
260,0,3,1,15,1
261,3,1,15,10,-1
262,1,15,10,19,-1
263,15,10,19,0,-1
264,10,19,0,0,-1
265,19,0,0,4,0
266,0,0,4,2,-1
267,0,4,2,19,0
268,4,2,19,19,1
269,2,19,19,15,1
270,19,19,15,8,1
271,19,15,8,0,1
272,15,8,0,0,-1
273,8,0,0,19,0
274,0,0,19,19,0
275,0,19,19,19,0
276,19,19,19,3,1
277,19,19,3,0,-1
278,19,3,0,1,0
279,3,0,1,18,-1
280,0,1,18,19,0
281,1,18,19,4,-1
282,18,19,4,0,-1
283,19,4,0,13,0
284,4,0,13,19,0
285,0,13,19,19,0
286,13,19,19,2,1
287,19,19,2,0,-1
288,19,2,0,0,-1
289,2,0,0,3,1
290,0,0,3,4,-1
291,0,3,4,15,1
292,3,4,15,6,0
293,4,15,6,0,-1
294,15,6,0,0,1
295,6,0,0,12,-1
296,0,0,12,12,-1
297,0,12,12,14,-1
298,12,12,14,0,1
299,12,14,0,0,-1
300,14,0,0,0,0
301,0,0,0,2,1
302,0,0,2,2,1
303,0,2,2,12,-1
304,2,2,12,13,-1
305,2,12,13,12,-1
306,12,13,12,2,0
307,13,12,2,2,1
308,12,2,2,14,0
309,2,2,14,0,-1
310,2,14,0,13,-1
311,14,0,13,9,1
312,0,13,9,14,1
313,13,9,14,14,0
314,9,14,14,15,-1
315,14,14,15,19,1
316,14,15,19,19,0
317,15,19,19,0,0
318,19,19,0,0,-1
319,19,0,0,0,0
320,0,0,0,7,0
321,0,0,7,3,1
322,0,7,3,15,1
323,7,3,15,1,0
324,3,15,1,9,1
325,15,1,9,12,-1
326,1,9,12,0,-1
327,9,12,0,10,-1
328,12,0,10,8,1
329,0,10,8,17,-1
330,10,8,17,2,-1
331,8,17,2,18,1
332,17,2,18,15,1
333,2,18,15,0,0
334,18,15,0,4,-1
335,15,0,4,18,-1
336,0,4,18,15,1
337,4,18,15,4,-1
338,18,15,4,14,1
339,15,4,14,3,-1
340,4,14,3,5,0
341,14,3,5,6,1
342,3,5,6,0,-1
343,5,6,0,0,-1
344,6,0,0,5,-1
345,0,0,5,19,0
346,0,5,19,2,1
347,5,19,2,9,1
348,19,2,9,0,1
349,2,9,0,7,0
350,9,0,7,0,-1
351,0,7,0,6,-1
352,7,0,6,12,-1
353,0,6,12,1,-1
354,6,12,1,4,-1
355,12,1,4,0,-1
356,1,4,0,4,1
357,4,0,4,19,0
358,0,4,19,1,1
359,4,19,1,7,0
360,19,1,7,11,1
361,1,7,11,0,0
362,7,11,0,9,0
363,11,0,9,0,-1
364,0,9,0,5,1
365,9,0,5,0,0
366,0,5,0,4,-1
367,5,0,4,15,-1
368,0,4,15,1,-1
369,4,15,1,4,-1
370,15,1,4,6,-1
371,1,4,6,0,-1
372,4,6,0,4,1
373,6,0,4,19,0
374,0,4,19,10,-1
375,4,19,10,6,-1
376,19,10,6,9,1
377,10,6,9,2,1
378,6,9,2,4,-1
379,9,2,4,2,-1
380,2,4,2,0,1
381,4,2,0,3,0
382,2,0,3,3,0
383,0,3,3,2,0
384,3,3,2,0,-1
385,3,2,0,3,1
386,2,0,3,3,-1
387,0,3,3,2,0
388,3,3,2,0,0
389,3,2,0,3,1
390,2,0,3,4,-1
391,0,3,4,0,-1
392,3,4,0,3,1
393,4,0,3,8,0
394,0,3,8,0,-1
395,3,8,0,4,-1
396,8,0,4,0,-1
397,0,4,0,2,1
