,s-2,s-1,a,r,none
281,3,5,2,0,
282,5,2,1,0,
283,2,1,2,0,
284,1,2,2,1,
285,2,2,2,-1,
286,2,2,2,0,
287,2,2,2,-1,
288,2,2,2,-1,
289,2,2,2,0,
290,2,2,5,-1,
291,2,5,2,1,
292,5,2,1,0,
293,2,1,2,1,
294,1,2,2,-1,
295,2,2,2,1,
296,2,2,2,-1,
297,2,2,2,1,
298,2,2,2,0,
299,2,2,2,-1,
300,2,2,2,-1,
301,2,2,1,0,
302,2,1,2,1,
303,1,2,2,-1,
304,2,2,2,0,
305,2,2,2,0,
306,2,2,2,1,
307,2,2,2,-1,
308,2,2,4,-1,
309,2,4,2,0,
310,4,2,2,1,
311,2,2,2,0,
312,2,2,5,0,
313,2,5,1,0,
314,5,1,2,1,
315,1,2,0,1,
316,2,0,2,1,
317,0,2,2,1,
318,2,2,2,0,
319,2,2,2,0,
320,2,2,2,-1,
321,2,2,2,0,
322,2,2,2,0,
323,2,2,2,0,
324,2,2,0,-1,
325,2,0,2,1,
326,0,2,2,1,
327,2,2,2,1,
328,2,2,2,1,
329,2,2,2,1,
330,2,2,2,0,
331,2,2,5,-1,
332,2,5,2,1,
333,5,2,2,1,
334,2,2,3,-1,
335,2,3,3,1,
336,3,3,2,1,
337,3,2,2,1,
338,2,2,3,-1,
339,2,3,3,1,
340,3,3,3,1,
341,3,3,2,-1,
342,3,2,2,1,
343,2,2,2,0,
344,2,2,2,1,
345,2,2,3,-1,
346,2,3,3,-1,
347,3,3,3,1,
348,3,3,3,1,
349,3,3,5,-1,
350,3,5,4,-1,
351,5,4,4,1,
352,4,4,0,-1,
353,4,0,0,-1,
354,0,0,3,1,
355,0,3,4,-1,
356,3,4,3,1,
357,4,3,2,1,
358,3,2,4,-1,
359,2,4,3,1,
360,4,3,3,1,
361,3,3,3,0,
362,3,3,3,0,
363,3,3,3,0,
364,3,3,1,0,
365,3,1,2,0,
366,1,2,3,1,
367,2,3,3,0,
368,3,3,3,-1,
369,3,3,3,1,
370,3,3,3,-1,
371,3,3,5,-1,
372,3,5,2,1,
373,5,2,0,-1,
374,2,0,2,0,
375,0,2,1,-1,
376,2,1,2,1,
377,1,2,3,1,
378,2,3,1,0,
379,3,1,2,-1,
380,1,2,1,0,
381,2,1,5,-1,
382,1,5,0,0,
383,5,0,2,1,
384,0,2,0,-1,
385,2,0,2,1,
386,0,2,1,-1,
387,2,1,2,1,
388,1,2,0,0,
389,2,0,2,-1,
390,0,2,1,-1,
391,2,1,2,1,
392,1,2,0,-1,
393,2,0,2,-1,
394,0,2,1,0,
395,2,1,2,1,
396,1,2,2,-1,
397,2,2,2,1,
398,2,2,2,1,
399,2,2,4,0,
400,2,4,1,0,
401,4,1,3,1,
402,1,3,2,0,
403,3,2,2,1,
404,2,2,2,0,
405,2,2,2,0,
406,2,2,5,0,
407,2,5,5,-1,
408,5,5,5,0,
409,5,5,2,-1,
410,5,2,3,1,
411,2,3,2,-1,
412,3,2,4,-1,
413,2,4,3,-1,
414,4,3,2,0,
415,3,2,2,1,
416,2,2,2,1,
417,2,2,2,0,
418,2,2,2,-1,
419,2,2,2,1,
420,2,2,2,-1,
421,2,2,2,1,
422,2,2,2,-1,
423,2,2,2,1,
424,2,2,2,0,
425,2,2,2,-1,
426,2,2,2,0,
427,2,2,2,0,
428,2,2,2,-1,
429,2,2,4,-1,
430,2,4,2,1,
431,4,2,3,1,
432,2,3,2,1,
433,3,2,2,1,
434,2,2,2,-1,
435,2,2,2,-1,
436,2,2,2,1,
437,2,2,2,-1,
438,2,2,2,0,
439,2,2,2,-1,
440,2,2,2,1,
441,2,2,2,0,
442,2,2,2,0,
443,2,2,2,0,
444,2,2,2,0,
445,2,2,2,0,
446,2,2,1,0,
