,s-3,s-2,s-1,a,r
0,1,6,18,8,1
1,6,18,8,13,0
2,18,8,13,19,0
3,8,13,19,14,0
4,13,19,14,11,-1
5,19,14,11,10,-1
6,14,11,10,0,-1
7,11,10,0,8,-1
8,10,0,8,9,1
9,0,8,9,1,0
10,8,9,1,9,1
11,9,1,9,4,-1
12,1,9,4,11,-1
13,9,4,11,0,0
14,4,11,0,12,0
15,11,0,12,4,-1
16,0,12,4,13,1
17,12,4,13,17,-1
18,4,13,17,8,-1
19,13,17,8,10,-1
20,17,8,10,9,1
21,8,10,9,15,1
22,10,9,15,16,-1
23,9,15,16,13,0
24,15,16,13,11,-1
25,16,13,11,5,-1
26,13,11,5,14,1
27,11,5,14,0,-1
28,5,14,0,11,-1
29,14,0,11,10,-1
30,0,11,10,16,1
31,11,10,16,8,1
32,10,16,8,19,-1
33,16,8,19,14,1
34,8,19,14,12,0
35,19,14,12,7,-1
36,14,12,7,19,-1
37,12,7,19,15,1
38,7,19,15,9,1
39,19,15,9,15,1
40,15,9,15,13,-1
41,9,15,13,6,-1
42,15,13,6,4,-1
43,13,6,4,12,-1
44,6,4,12,15,0
45,4,12,15,7,0
46,12,15,7,7,0
47,15,7,7,12,0
48,7,7,12,1,0
49,7,12,1,11,-1
50,12,1,11,5,-1
51,1,11,5,14,0
52,11,5,14,9,-1
53,5,14,9,0,-1
54,14,9,0,4,-1
55,9,0,4,15,1
56,0,4,15,5,-1
57,4,15,5,17,-1
58,15,5,17,18,-1
59,5,17,18,1,0
60,17,18,1,3,-1
61,18,1,3,3,-1
62,1,3,3,5,-1
63,3,3,5,15,1
64,3,5,15,4,-1
65,5,15,4,2,-1
66,15,4,2,1,0
67,4,2,1,1,0
68,2,1,1,9,1
69,1,1,9,15,1
70,1,9,15,14,1
71,9,15,14,14,1
72,15,14,14,1,0
73,14,14,1,7,0
74,14,1,7,2,0
75,1,7,2,12,0
76,7,2,12,1,0
77,2,12,1,12,-1
78,12,1,12,17,-1
79,1,12,17,3,1
80,12,17,3,19,0
81,17,3,19,17,1
82,3,19,17,7,0
83,19,17,7,5,-1
84,17,7,5,17,-1
85,7,5,17,13,0
86,5,17,13,19,-1
87,17,13,19,18,-1
88,13,19,18,6,0
89,19,18,6,11,1
90,18,6,11,9,1
91,6,11,9,13,0
92,11,9,13,0,-1
93,9,13,0,5,0
94,13,0,5,10,-1
95,0,5,10,7,1
96,5,10,7,12,-1
97,10,7,12,8,1
98,7,12,8,2,1
99,12,8,2,8,1
100,8,2,8,11,0
101,2,8,11,1,0
102,8,11,1,0,-1
103,11,1,0,2,1
104,1,0,2,11,-1
105,0,2,11,13,0
106,2,11,13,0,-1
107,11,13,0,1,1
108,13,0,1,6,-1
109,0,1,6,14,1
110,1,6,14,3,0
111,6,14,3,14,-1
112,14,3,14,10,-1
113,3,14,10,15,1
114,14,10,15,12,-1
115,10,15,12,8,1
116,15,12,8,11,-1
117,12,8,11,18,-1
118,8,11,18,3,1
119,11,18,3,12,-1
120,18,3,12,10,-1
121,3,12,10,0,-1
122,12,10,0,13,0
123,10,0,13,0,-1
124,0,13,0,9,-1
125,13,0,9,16,-1
126,0,9,16,19,0
127,9,16,19,5,0
128,16,19,5,16,-1
129,19,5,16,6,-1
130,5,16,6,19,0
131,16,6,19,17,0
132,6,19,17,18,0
133,19,17,18,9,1
134,17,18,9,6,1
135,18,9,6,12,-1
136,9,6,12,18,0
137,6,12,18,7,0
138,12,18,7,17,-1
139,18,7,17,0,1
140,7,17,0,15,1
141,17,0,15,11,-1
142,0,15,11,18,-1
143,15,11,18,11,-1
144,11,18,11,7,0
145,18,11,7,15,1
146,11,7,15,16,-1
147,7,15,16,3,1
148,15,16,3,18,-1
149,16,3,18,7,1
150,3,18,7,5,-1
151,18,7,5,2,0
152,7,5,2,7,0
153,5,2,7,11,-1
154,2,7,11,15,1
155,7,11,15,3,1
156,11,15,3,10,-1
157,15,3,10,18,-1
158,3,10,18,0,-1
159,10,18,0,16,-1
160,18,0,16,6,-1
161,0,16,6,10,-1
162,16,6,10,5,-1
163,6,10,5,5,-1
164,10,5,5,10,-1
165,5,5,10,4,-1
166,5,10,4,9,1
167,10,4,9,11,-1
168,4,9,11,4,-1
169,9,11,4,4,-1
170,11,4,4,11,-1
171,4,4,11,10,1
172,4,11,10,0,0
173,11,10,0,3,1
174,10,0,3,14,0
175,0,3,14,2,0
176,3,14,2,12,1
177,14,2,12,10,-1
178,2,12,10,8,0
179,12,10,8,1,0
180,10,8,1,9,1
181,8,1,9,9,-1
182,1,9,9,0,-1
183,9,9,0,10,1
184,9,0,10,2,1
185,0,10,2,12,0
186,10,2,12,15,1
187,2,12,15,16,-1
188,12,15,16,5,-1
189,15,16,5,6,-1
190,16,5,6,8,1
191,5,6,8,17,-1
192,6,8,17,4,-1
193,8,17,4,12,-1
194,17,4,12,17,-1
195,4,12,17,15,1
196,12,17,15,19,0
197,17,15,19,8,1
198,15,19,8,14,1
199,19,8,14,17,-1
200,8,14,17,2,0
201,14,17,2,14,1
202,17,2,14,5,-1
203,2,14,5,11,-1
204,14,5,11,15,1
205,5,11,15,9,1
206,11,15,9,4,1
207,15,9,4,13,0
208,9,4,13,14,1
209,4,13,14,6,0
210,13,14,6,4,1
211,14,6,4,16,-1
212,6,4,16,9,1
213,4,16,9,8,1
214,16,9,8,19,0
215,9,8,19,12,-1
216,8,19,12,11,-1
217,19,12,11,10,-1
218,12,11,10,11,-1
219,11,10,11,18,-1
220,10,11,18,9,-1
221,11,18,9,9,-1
222,18,9,9,1,1
223,9,9,1,0,-1
224,9,1,0,16,-1
225,1,0,16,11,1
226,0,16,11,0,0
227,16,11,0,10,-1
228,11,0,10,5,-1
229,0,10,5,11,-1
230,10,5,11,2,1
231,5,11,2,19,0
232,11,2,19,3,1
233,2,19,3,19,0
234,19,3,19,15,1
235,3,19,15,16,-1
236,19,15,16,7,-1
237,15,16,7,10,-1
238,16,7,10,3,1
239,7,10,3,14,1
240,10,3,14,17,0
241,3,14,17,0,0
242,14,17,0,13,0
243,17,0,13,4,-1
244,0,13,4,2,1
245,13,4,2,13,0
246,4,2,13,8,1
247,2,13,8,6,-1
248,13,8,6,16,1
249,8,6,16,19,0
250,6,16,19,10,1
251,16,19,10,15,1
252,19,10,15,16,-1
253,10,15,16,18,-1
254,15,16,18,7,0
255,16,18,7,11,-1
256,18,7,11,5,-1
257,7,11,5,9,1
258,11,5,9,8,1
259,5,9,8,10,-1
260,9,8,10,6,-1
261,8,10,6,0,-1
262,10,6,0,10,1
263,6,0,10,9,-1
264,0,10,9,19,0
265,10,9,19,19,0
266,9,19,19,11,1
267,19,19,11,0,-1
268,19,11,0,14,1
269,11,0,14,1,0
270,0,14,1,10,0
271,14,1,10,16,-1
272,1,10,16,14,1
273,10,16,14,1,0
274,16,14,1,19,-1
275,14,1,19,7,1
276,1,19,7,12,0
277,19,7,12,5,-1
278,7,12,5,13,1
279,12,5,13,14,-1
280,5,13,14,9,-1
281,13,14,9,16,-1
282,14,9,16,6,-1
283,9,16,6,1,0
284,16,6,1,2,1
285,6,1,2,15,1
286,1,2,15,12,-1
287,2,15,12,0,-1
288,15,12,0,11,-1
289,12,0,11,19,0
290,0,11,19,10,-1
291,11,19,10,18,1
292,19,10,18,7,0
293,10,18,7,7,1
294,18,7,7,5,-1
295,7,7,5,10,-1
296,7,5,10,8,1
297,5,10,8,14,1
298,10,8,14,18,0
299,8,14,18,2,1
300,14,18,2,2,-1
301,18,2,2,12,-1
302,2,2,12,7,1
303,2,12,7,9,-1
304,12,7,9,16,-1
305,7,9,16,13,0
306,9,16,13,4,-1
307,16,13,4,1,0
308,13,4,1,2,-1
