,s-2,s-1,a,r,none
0,0,5,5,0,
1,5,5,4,1,
2,5,4,1,1,
3,4,1,5,1,
4,1,5,5,0,
5,5,5,3,0,
6,5,3,5,1,
7,3,5,3,1,
8,5,3,0,0,
9,3,0,5,1,
10,0,5,4,0,
11,5,4,3,0,
12,4,3,4,0,
13,3,4,3,1,
14,4,3,2,1,
15,3,2,1,0,
16,2,1,4,0,
17,1,4,0,1,
18,4,0,5,0,
19,0,5,1,1,
20,5,1,0,1,
21,1,0,1,0,
22,0,1,1,0,
23,1,1,3,0,
24,1,3,0,0,
25,3,0,5,0,
26,0,5,2,0,
27,5,2,2,0,
28,2,2,4,1,
29,2,4,2,0,
30,4,2,1,-1,
31,2,1,1,1,
32,1,1,1,-1,
33,1,1,5,0,
34,1,5,1,0,
35,5,1,2,0,
36,1,2,0,1,
37,2,0,4,1,
38,0,4,1,0,
39,4,1,0,0,
40,1,0,4,1,
41,0,4,5,0,
42,4,5,4,0,
43,5,4,1,1,
44,4,1,5,-1,
45,1,5,1,1,
46,5,1,2,0,
47,1,2,3,0,
48,2,3,0,1,
49,3,0,3,-1,
50,0,3,4,-1,
51,3,4,3,1,
52,4,3,5,-1,
53,3,5,5,0,
54,5,5,3,-1,
55,5,3,1,0,
56,3,1,3,0,
57,1,3,5,0,
58,3,5,2,1,
59,5,2,1,1,
60,2,1,2,1,
61,1,2,0,0,
62,2,0,1,1,
63,0,1,5,1,
64,1,5,5,0,
65,5,5,1,0,
66,5,1,5,0,
67,1,5,4,0,
68,5,4,1,1,
69,4,1,4,0,
70,1,4,2,0,
71,4,2,1,1,
72,2,1,5,0,
73,1,5,3,0,
74,5,3,0,0,
75,3,0,5,1,
76,0,5,0,0,
77,5,0,4,0,
78,0,4,2,1,
79,4,2,2,0,
80,2,2,4,1,
81,2,4,2,0,
82,4,2,3,0,
83,2,3,2,1,
84,3,2,4,0,
85,2,4,5,-1,
86,4,5,1,0,
87,5,1,3,0,
88,1,3,5,1,
89,3,5,3,0,
90,5,3,4,0,
91,3,4,5,1,
92,4,5,2,1,
93,5,2,0,1,
94,2,0,1,1,
95,0,1,3,0,
96,1,3,5,0,
97,3,5,5,0,
98,5,5,5,0,
99,5,5,3,1,
100,5,3,3,1,
101,3,3,2,0,
102,3,2,4,0,
103,2,4,5,0,
104,4,5,2,0,
105,5,2,1,0,
106,2,1,5,0,
107,1,5,5,0,
108,5,5,4,0,
109,5,4,1,0,
110,4,1,2,0,
111,1,2,4,1,
112,2,4,1,-1,
113,4,1,4,0,
114,1,4,0,1,
115,4,0,2,0,
116,0,2,2,0,
117,2,2,4,0,
118,2,4,2,0,
119,4,2,3,0,
120,2,3,2,1,
121,3,2,0,1,
122,2,0,2,0,
123,0,2,3,1,
124,2,3,2,1,
125,3,2,2,0,
126,2,2,4,1,
127,2,4,3,0,
128,4,3,0,0,
129,3,0,2,0,
130,0,2,2,1,
131,2,2,4,1,
132,2,4,3,1,
133,4,3,0,0,
134,3,0,0,1,
135,0,0,3,0,
136,0,3,3,1,
137,3,3,2,1,
138,3,2,0,0,
139,2,0,2,1,
140,0,2,5,-1,
141,2,5,0,1,
142,5,0,4,1,
143,0,4,1,1,
144,4,1,4,1,
145,1,4,2,0,
146,4,2,1,0,
147,2,1,1,-1,
148,1,1,1,0,
149,1,1,0,0,
150,1,0,2,0,
151,0,2,3,1,
152,2,3,2,1,
153,3,2,0,0,
154,2,0,0,1,
155,0,0,4,0,
156,0,4,0,1,
157,4,0,1,-1,
158,0,1,3,1,
159,1,3,5,0,
160,3,5,1,1,
161,5,1,3,1,
162,1,3,5,0,
163,3,5,5,0,
164,5,5,2,0,
165,5,2,5,1,
166,2,5,0,0,
167,5,0,3,0,
168,0,3,0,1,
169,3,0,1,1,
170,0,1,1,1,
171,1,1,1,1,
172,1,1,5,-1,
173,1,5,0,1,
174,5,0,4,-1,
175,0,4,4,0,
176,4,4,4,0,
177,4,4,0,1,
178,4,0,1,0,
179,0,1,1,1,
180,1,1,4,1,
181,1,4,4,0,
182,4,4,3,1,
183,4,3,0,1,
184,3,0,1,1,
185,0,1,1,0,
186,1,1,0,1,
187,1,0,3,1,
188,0,3,1,0,
189,3,1,1,0,
190,1,1,1,0,
191,1,1,3,1,
192,1,3,5,0,
193,3,5,4,-1,
194,5,4,5,0,
195,4,5,4,0,
196,5,4,1,0,
197,4,1,4,0,
198,1,4,4,0,
199,4,4,1,1,
200,4,1,1,0,
201,1,1,4,0,
202,1,4,0,1,
203,4,0,5,1,
204,0,5,2,0,
205,5,2,1,1,
206,2,1,2,1,
207,1,2,5,1,
208,2,5,2,1,
209,5,2,3,1,
210,2,3,2,0,
211,3,2,5,0,
212,2,5,5,0,
213,5,5,3,0,
214,5,3,3,1,
215,3,3,3,1,
216,3,3,2,0,
217,3,2,4,1,
218,2,4,1,1,
219,4,1,1,0,
