,s-2,s-1,a,r,none
0,1,2,0,1,
1,2,0,5,1,
2,0,5,4,-1,
3,5,4,0,1,
4,4,0,5,0,
5,0,5,2,1,
6,5,2,1,0,
7,2,1,3,1,
8,1,3,1,0,
9,3,1,5,0,
10,1,5,5,0,
11,5,5,1,1,
12,5,1,3,0,
13,1,3,4,0,
14,3,4,1,1,
15,4,1,3,0,
16,1,3,0,1,
17,3,0,3,1,
18,0,3,3,0,
19,3,3,2,1,
20,3,2,1,1,
21,2,1,1,0,
22,1,1,5,0,
23,1,5,2,1,
24,5,2,0,0,
25,2,0,1,0,
26,0,1,2,0,
27,1,2,0,1,
28,2,0,5,1,
29,0,5,3,1,
30,5,3,0,0,
31,3,0,1,1,
32,0,1,1,-1,
33,1,1,1,0,
34,1,1,0,0,
35,1,0,3,1,
36,0,3,1,0,
37,3,1,2,0,
38,1,2,0,0,
39,2,0,1,0,
40,0,1,5,1,
41,1,5,2,1,
42,5,2,4,0,
43,2,4,0,0,
44,4,0,2,0,
45,0,2,5,0,
46,2,5,3,0,
47,5,3,5,1,
48,3,5,2,1,
49,5,2,5,1,
50,2,5,0,0,
51,5,0,2,0,
52,0,2,2,0,
53,2,2,5,0,
54,2,5,2,0,
55,5,2,3,1,
56,2,3,1,1,
57,3,1,1,-1,
58,1,1,2,0,
59,1,2,5,0,
60,2,5,5,0,
61,5,5,1,1,
62,5,1,2,0,
63,1,2,0,1,
64,2,0,2,0,
65,0,2,5,1,
66,2,5,1,0,
67,5,1,0,1,
68,1,0,1,1,
69,0,1,1,-1,
70,1,1,0,0,
71,1,0,0,1,
72,0,0,4,-1,
73,0,4,1,0,
74,4,1,5,1,
75,1,5,1,0,
76,5,1,1,0,
77,1,1,0,0,
78,1,0,1,0,
79,0,1,2,1,
80,1,2,4,0,
81,2,4,5,1,
82,4,5,0,1,
83,5,0,3,0,
84,0,3,4,-1,
85,3,4,2,0,
86,4,2,1,1,
87,2,1,0,1,
88,1,0,2,1,
89,0,2,4,0,
90,2,4,0,1,
91,4,0,2,0,
92,0,2,0,0,
93,2,0,4,0,
94,0,4,2,1,
95,4,2,3,0,
96,2,3,4,1,
97,3,4,4,0,
98,4,4,3,0,
99,4,3,0,0,
100,3,0,2,1,
101,0,2,5,0,
102,2,5,2,0,
103,5,2,4,1,
104,2,4,0,0,
105,4,0,3,0,
106,0,3,0,1,
107,3,0,3,0,
108,0,3,1,0,
109,3,1,2,1,
110,1,2,0,1,
111,2,0,3,0,
112,0,3,0,1,
113,3,0,1,1,
114,0,1,3,0,
115,1,3,3,1,
116,3,3,2,1,
117,3,2,2,0,
118,2,2,1,0,
119,2,1,3,0,
120,1,3,2,-1,
121,3,2,3,0,
122,2,3,4,-1,
123,3,4,5,1,
124,4,5,5,0,
125,5,5,1,-1,
126,5,1,5,1,
127,1,5,5,0,
128,5,5,5,0,
129,5,5,1,1,
130,5,1,0,0,
131,1,0,3,1,
132,0,3,0,0,
133,3,0,4,0,
134,0,4,3,0,
135,4,3,2,1,
136,3,2,1,1,
137,2,1,0,0,
138,1,0,2,0,
139,0,2,0,1,
140,2,0,2,0,
141,0,2,3,0,
142,2,3,2,1,
143,3,2,1,0,
144,2,1,0,0,
145,1,0,3,-1,
146,0,3,3,0,
147,3,3,5,-1,
148,3,5,3,-1,
149,5,3,5,0,
150,3,5,3,1,
151,5,3,2,1,
152,3,2,1,1,
153,2,1,4,1,
154,1,4,1,0,
155,4,1,5,1,
156,1,5,3,1,
157,5,3,5,0,
158,3,5,2,1,
159,5,2,1,1,
160,2,1,4,0,
161,1,4,4,0,
162,4,4,5,0,
163,4,5,1,1,
164,5,1,4,1,
165,1,4,2,0,
166,4,2,1,1,
167,2,1,4,1,
168,1,4,0,0,
169,4,0,5,1,
170,0,5,1,0,
171,5,1,5,-1,
172,1,5,2,0,
173,5,2,0,1,
174,2,0,4,1,
175,0,4,0,1,
176,4,0,1,0,
177,0,1,2,1,
178,1,2,2,0,
179,2,2,3,1,
180,2,3,2,0,
181,3,2,4,1,
182,2,4,5,1,
183,4,5,0,1,
184,5,0,5,1,
185,0,5,0,1,
186,5,0,0,1,
187,0,0,0,1,
188,0,0,2,0,
189,0,2,5,1,
190,2,5,5,0,
191,5,5,3,0,
192,5,3,2,0,
193,3,2,2,0,
194,2,2,5,0,
195,2,5,2,1,
