,s-2,s-1,a,r,none
0,4,0,2,1,
1,0,2,4,1,
2,2,4,3,0,
3,4,3,2,0,
4,3,2,2,0,
5,2,2,0,0,
6,2,0,0,1,
7,0,0,5,0,
8,0,5,2,1,
9,5,2,5,0,
10,2,5,0,1,
11,5,0,3,1,
12,0,3,0,0,
13,3,0,2,0,
14,0,2,3,1,
15,2,3,1,1,
16,3,1,2,0,
17,1,2,0,1,
18,2,0,4,1,
19,0,4,1,1,
20,4,1,0,0,
21,1,0,4,1,
22,0,4,3,1,
23,4,3,1,0,
24,3,1,0,1,
25,1,0,5,0,
26,0,5,2,-1,
27,5,2,4,1,
28,2,4,2,0,
29,4,2,1,1,
30,2,1,3,1,
31,1,3,1,1,
32,3,1,1,0,
33,1,1,1,-1,
34,1,1,4,-1,
35,1,4,2,1,
36,4,2,0,1,
37,2,0,3,1,
38,0,3,5,1,
39,3,5,4,1,
40,5,4,2,1,
41,4,2,3,0,
42,2,3,1,1,
43,3,1,0,0,
44,1,0,5,-1,
45,0,5,4,1,
46,5,4,3,0,
47,4,3,3,0,
48,3,3,3,0,
49,3,3,2,0,
50,3,2,5,-1,
51,2,5,2,1,
52,5,2,3,0,
53,2,3,1,0,
54,3,1,0,0,
55,1,0,4,0,
56,0,4,0,0,
57,4,0,1,1,
58,0,1,4,1,
59,1,4,2,0,
60,4,2,5,0,
61,2,5,2,0,
62,5,2,4,0,
63,2,4,0,0,
64,4,0,0,1,
65,0,0,4,0,
66,0,4,3,0,
67,4,3,2,0,
68,3,2,3,-1,
69,2,3,3,1,
70,3,3,5,0,
71,3,5,1,0,
72,5,1,4,0,
73,1,4,0,0,
74,4,0,4,-1,
75,0,4,3,0,
76,4,3,2,1,
77,3,2,2,0,
78,2,2,0,0,
79,2,0,2,0,
80,0,2,4,0,
81,2,4,2,0,
82,4,2,4,1,
83,2,4,2,1,
84,4,2,4,-1,
85,2,4,0,0,
86,4,0,5,1,
87,0,5,2,1,
88,5,2,4,-1,
89,2,4,4,0,
90,4,4,4,0,
91,4,4,0,1,
92,4,0,0,1,
93,0,0,1,0,
94,0,1,4,1,
95,1,4,0,0,
96,4,0,1,1,
97,0,1,1,-1,
98,1,1,1,0,
99,1,1,1,-1,
100,1,1,0,0,
101,1,0,3,0,
102,0,3,5,1,
103,3,5,3,0,
104,5,3,3,1,
105,3,3,2,0,
106,3,2,2,0,
107,2,2,3,1,
108,2,3,0,0,
109,3,0,1,0,
110,0,1,3,0,
111,1,3,3,1,
112,3,3,0,0,
113,3,0,1,0,
114,0,1,4,0,
115,1,4,2,1,
116,4,2,0,0,
117,2,0,4,0,
118,0,4,4,0,
119,4,4,1,1,
120,4,1,5,1,
121,1,5,0,0,
122,5,0,2,0,
123,0,2,2,0,
124,2,2,5,1,
125,2,5,2,1,
126,5,2,0,1,
127,2,0,4,-1,
128,0,4,3,1,
129,4,3,3,1,
130,3,3,5,1,
131,3,5,1,1,
132,5,1,4,0,
133,1,4,5,0,
134,4,5,2,1,
135,5,2,5,1,
136,2,5,2,1,
137,5,2,0,0,
138,2,0,2,0,
139,0,2,4,0,
140,2,4,0,0,
141,4,0,1,1,
142,0,1,5,0,
143,1,5,0,-1,
144,5,0,4,1,
145,0,4,5,1,
146,4,5,2,0,
147,5,2,1,0,
148,2,1,3,1,
149,1,3,5,0,
150,3,5,1,1,
151,5,1,4,1,
152,1,4,2,1,
153,4,2,2,0,
154,2,2,0,1,
155,2,0,2,1,
156,0,2,1,0,
157,2,1,4,-1,
158,1,4,0,1,
159,4,0,2,0,
160,0,2,4,0,
161,2,4,3,1,
162,4,3,4,0,
163,3,4,1,0,
164,4,1,5,1,
165,1,5,1,1,
166,5,1,1,1,
167,1,1,0,1,
168,1,0,5,1,
169,0,5,4,0,
170,5,4,3,0,
171,4,3,2,1,
172,3,2,3,1,
173,2,3,1,0,
174,3,1,5,0,
175,1,5,3,1,
176,5,3,4,1,
177,3,4,0,1,
178,4,0,0,1,
179,0,0,2,1,
180,0,2,1,0,
181,2,1,0,0,
182,1,0,0,1,
183,0,0,4,1,
184,0,4,4,0,
185,4,4,0,0,
186,4,0,2,1,
187,0,2,5,1,
188,2,5,1,1,
189,5,1,4,0,
190,1,4,0,1,
191,4,0,2,1,
192,0,2,4,-1,
193,2,4,5,0,
194,4,5,3,0,
